timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752589560000,2.828,3.05,2.76,34,3.05,5239,2.913588,2025-07-15 14:26:00+00:00
1752589620000,2.76,2.76,2.76,4,2.76,1223,2.76,2025-07-15 14:27:00+00:00
1752589920000,2.67,2.67,2.67,2,2.67,1525,2.67,2025-07-15 14:32:00+00:00
1752589980000,3.04,3.04,2.94,8,2.94,397,2.981667,2025-07-15 14:33:00+00:00
1752590040000,2.9199,2.9199,2.9199,3,2.9199,320,2.9199,2025-07-15 14:34:00+00:00
1752590160000,2.86,2.86,2.86,6,2.86,233,2.86,2025-07-15 14:36:00+00:00
1752590220000,2.77,2.85,2.77,4,2.85,700,2.804286,2025-07-15 14:37:00+00:00
1752590280000,2.7577,2.7577,2.71,5,2.71,893,2.747497,2025-07-15 14:38:00+00:00
1752590340000,2.8,2.85,2.8,4,2.8,3356,2.837879,2025-07-15 14:39:00+00:00
1752590400000,2.8488,2.85,2.825,13,2.825,1845,2.839993,2025-07-15 14:40:00+00:00
1752590460000,2.9389,2.94,2.849,22,2.86,3496,2.876495,2025-07-15 14:41:00+00:00
1752590520000,2.9,2.9,2.9,7,2.9,619,2.9,2025-07-15 14:42:00+00:00
1752590880000,2.89,2.89,2.89,4,2.89,516,2.89,2025-07-15 14:48:00+00:00
1752590940000,2.9,2.9201,2.86,16,2.86,1909,2.873289,2025-07-15 14:49:00+00:00
1752591120000,2.9,2.9,2.9,1,2.9,100,2.9,2025-07-15 14:52:00+00:00
1752591480000,2.8607,2.8607,2.8607,2,2.8607,225,2.8607,2025-07-15 14:58:00+00:00
1752591540000,2.9219,2.9219,2.86,2,2.86,1258,2.874762,2025-07-15 14:59:00+00:00
1752591660000,2.9232,2.9232,2.92,4,2.92,634,2.922675,2025-07-15 15:01:00+00:00
1752591780000,2.8801,2.9204,2.8801,9,2.9124,2100,2.910506,2025-07-15 15:03:00+00:00
1752591840000,2.898,2.898,2.898,2,2.898,430,2.898,2025-07-15 15:04:00+00:00
1752591900000,2.9,2.9,2.9,2,2.9,800,2.9,2025-07-15 15:05:00+00:00
1752591960000,2.93,2.93,2.91,3,2.91,400,2.9225,2025-07-15 15:06:00+00:00
1752592020000,2.905,2.93,2.9025,7,2.9025,1602,2.918419,2025-07-15 15:07:00+00:00
1752592080000,2.91,2.94,2.91,2,2.94,1400,2.931429,2025-07-15 15:08:00+00:00
1752592140000,2.9386,3.0,2.9386,6,2.94,428,2.9543,2025-07-15 15:09:00+00:00
1752592200000,2.95,2.95,2.95,5,2.95,632,2.95,2025-07-15 15:10:00+00:00
1752592320000,3.023,3.023,3.023,3,3.023,150,3.023,2025-07-15 15:12:00+00:00
