timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758720600000,0.41,0.41,0.4,9,0.4,5403,0.409741,2025-09-24 13:30:00+00:00
1758720660000,0.4,0.4,0.4,13,0.4,4023,0.4,2025-09-24 13:31:00+00:00
1758720720000,0.398,0.4001,0.3965,46,0.4001,22832,0.397071,2025-09-24 13:32:00+00:00
1758720780000,0.3965,0.3996,0.3965,29,0.3995,54295,0.39844,2025-09-24 13:33:00+00:00
1758720840000,0.398,0.4012,0.3965,5,0.3965,1700,0.399091,2025-09-24 13:34:00+00:00
1758720900000,0.398,0.398,0.398,8,0.398,11000,0.398,2025-09-24 13:35:00+00:00
1758720960000,0.398,0.4058,0.398,6,0.399,6020,0.404628,2025-09-24 13:36:00+00:00
1758721020000,0.398,0.4018,0.398,11,0.4018,12206,0.398379,2025-09-24 13:37:00+00:00
1758721080000,0.3986,0.4011,0.3965,17,0.3988,17088,0.398963,2025-09-24 13:38:00+00:00
1758721140000,0.3966,0.4002,0.3965,15,0.3988,5646,0.397917,2025-09-24 13:39:00+00:00
1758721200000,0.397,0.397,0.3966,9,0.3966,1828,0.396859,2025-09-24 13:40:00+00:00
1758721260000,0.3997,0.4,0.3969,17,0.3981,14412,0.398213,2025-09-24 13:41:00+00:00
1758721320000,0.4,0.4,0.3984,19,0.3997,13552,0.399869,2025-09-24 13:42:00+00:00
1758721380000,0.3999,0.4004,0.3999,13,0.4004,2772,0.399973,2025-09-24 13:43:00+00:00
1758721440000,0.4004,0.4008,0.4,23,0.4,13630,0.400228,2025-09-24 13:44:00+00:00
1758721500000,0.4,0.4005,0.4,12,0.4003,22822,0.400046,2025-09-24 13:45:00+00:00
1758721560000,0.3995,0.3999,0.3971,11,0.3994,3769,0.398347,2025-09-24 13:46:00+00:00
1758721620000,0.3975,0.3975,0.397,10,0.3975,1111,0.397284,2025-09-24 13:47:00+00:00
1758721680000,0.397,0.3975,0.397,7,0.397,3322,0.397157,2025-09-24 13:48:00+00:00
1758721740000,0.397,0.3974,0.3963,45,0.3974,31319,0.396889,2025-09-24 13:49:00+00:00
1758721800000,0.3989,0.3999,0.397,13,0.397,13710,0.397314,2025-09-24 13:50:00+00:00
1758721860000,0.3977,0.3999,0.3971,10,0.3987,11200,0.398042,2025-09-24 13:51:00+00:00
1758721920000,0.4,0.4001,0.3975,6,0.3977,3828,0.398151,2025-09-24 13:52:00+00:00
1758721980000,0.4002,0.402,0.4001,6,0.4001,1770,0.400788,2025-09-24 13:53:00+00:00
1758722040000,0.4002,0.4002,0.4002,4,0.4002,1106,0.4002,2025-09-24 13:54:00+00:00
1758722100000,0.4022,0.4022,0.4021,10,0.4022,2381,0.402113,2025-09-24 13:55:00+00:00
1758722160000,0.4027,0.4027,0.4001,10,0.4023,4152,0.402281,2025-09-24 13:56:00+00:00
1758722220000,0.4011,0.4011,0.4,25,0.4002,28715,0.400079,2025-09-24 13:57:00+00:00
1758722280000,0.4001,0.4001,0.4001,3,0.4001,600,0.4001,2025-09-24 13:58:00+00:00
1758722340000,0.4022,0.4022,0.4,5,0.4001,672,0.400431,2025-09-24 13:59:00+00:00
1758722400000,0.4001,0.4009,0.4001,7,0.4009,1410,0.400777,2025-09-24 14:00:00+00:00
1758722460000,0.4012,0.4012,0.4001,4,0.4002,1665,0.400474,2025-09-24 14:01:00+00:00
1758722520000,0.4003,0.4003,0.4002,6,0.4002,1071,0.40023,2025-09-24 14:02:00+00:00
1758722580000,0.4012,0.4012,0.4003,5,0.4012,3800,0.401058,2025-09-24 14:03:00+00:00
1758722640000,0.4038,0.4038,0.4008,9,0.4008,16442,0.403646,2025-09-24 14:04:00+00:00
1758722700000,0.404,0.404,0.4013,11,0.4025,2002,0.403499,2025-09-24 14:05:00+00:00
1758722760000,0.4046,0.4046,0.4042,11,0.4042,1040,0.40446,2025-09-24 14:06:00+00:00
1758722820000,0.404,0.4043,0.404,13,0.4043,2138,0.404238,2025-09-24 14:07:00+00:00
1758722880000,0.4016,0.404,0.4016,11,0.404,7064,0.40284,2025-09-24 14:08:00+00:00
1758722940000,0.4017,0.4017,0.4017,5,0.4017,718,0.4017,2025-09-24 14:09:00+00:00
1758723000000,0.4012,0.4018,0.4012,10,0.4018,566,0.40146,2025-09-24 14:10:00+00:00
1758723060000,0.4018,0.4018,0.4015,21,0.4016,15802,0.401778,2025-09-24 14:11:00+00:00
1758723120000,0.4012,0.4013,0.4012,7,0.4013,1521,0.40128,2025-09-24 14:12:00+00:00
1758723180000,0.3999,0.4012,0.3999,43,0.4012,22193,0.400121,2025-09-24 14:13:00+00:00
1758723240000,0.3999,0.3999,0.3999,3,0.3999,616,0.3999,2025-09-24 14:14:00+00:00
1758723300000,0.4009,0.4009,0.3994,18,0.3999,8253,0.400423,2025-09-24 14:15:00+00:00
1758723360000,0.4,0.4013,0.4,3,0.4013,2101,0.401052,2025-09-24 14:16:00+00:00
1758723420000,0.401,0.401,0.4,8,0.401,2235,0.400909,2025-09-24 14:17:00+00:00
1758723480000,0.4027,0.4043,0.4009,48,0.4009,101630,0.401479,2025-09-24 14:18:00+00:00
1758723540000,0.4043,0.4043,0.4028,9,0.4028,901,0.4038,2025-09-24 14:19:00+00:00
1758723600000,0.4043,0.4049,0.4043,7,0.4049,805,0.40445,2025-09-24 14:20:00+00:00
1758723660000,0.402,0.4052,0.4015,15,0.4052,5733,0.403868,2025-09-24 14:21:00+00:00
1758723720000,0.4014,0.4014,0.4014,8,0.4014,677,0.4014,2025-09-24 14:22:00+00:00
1758723780000,0.4014,0.4014,0.4014,10,0.4014,7119,0.4014,2025-09-24 14:23:00+00:00
1758723840000,0.4013,0.4014,0.4013,14,0.4014,13932,0.401306,2025-09-24 14:24:00+00:00
1758723900000,0.4001,0.4014,0.4001,14,0.4014,91754,0.401241,2025-09-24 14:25:00+00:00
1758723960000,0.4001,0.4001,0.4001,4,0.4001,375,0.4001,2025-09-24 14:26:00+00:00
1758724020000,0.4018,0.4018,0.4001,11,0.4008,36525,0.400257,2025-09-24 14:27:00+00:00
1758724080000,0.4018,0.4018,0.4002,6,0.4003,616,0.400483,2025-09-24 14:28:00+00:00
1758724140000,0.4,0.4005,0.4,19,0.4005,30703,0.400282,2025-09-24 14:29:00+00:00
1758724200000,0.4,0.4016,0.4,11,0.4001,12351,0.400399,2025-09-24 14:30:00+00:00
1758724260000,0.4009,0.4009,0.4001,3,0.4001,535,0.400285,2025-09-24 14:31:00+00:00
1758724320000,0.4001,0.4001,0.4001,5,0.4001,302,0.4001,2025-09-24 14:32:00+00:00
1758724380000,0.4001,0.4017,0.4001,4,0.4017,1400,0.401243,2025-09-24 14:33:00+00:00
1758724440000,0.4017,0.4017,0.4001,3,0.4001,900,0.400952,2025-09-24 14:34:00+00:00
1758724500000,0.3999,0.4001,0.3994,23,0.4001,6027,0.399846,2025-09-24 14:35:00+00:00
1758724560000,0.3994,0.4002,0.3994,8,0.4002,1010,0.399648,2025-09-24 14:36:00+00:00
1758724620000,0.3991,0.3996,0.3991,17,0.3996,12125,0.399566,2025-09-24 14:37:00+00:00
1758724680000,0.3989,0.3989,0.3988,10,0.3989,1117,0.398836,2025-09-24 14:38:00+00:00
1758724740000,0.3976,0.3982,0.3975,18,0.3975,9094,0.397543,2025-09-24 14:39:00+00:00
1758724800000,0.3972,0.3976,0.397,26,0.3976,27129,0.397242,2025-09-24 14:40:00+00:00
1758724860000,0.3971,0.3972,0.397,10,0.3972,5514,0.3971,2025-09-24 14:41:00+00:00
1758724920000,0.3972,0.3973,0.3972,5,0.3972,3200,0.397231,2025-09-24 14:42:00+00:00
1758724980000,0.3973,0.3973,0.3973,6,0.3973,2051,0.3973,2025-09-24 14:43:00+00:00
1758725040000,0.3971,0.3971,0.397,3,0.397,1843,0.397027,2025-09-24 14:44:00+00:00
1758725160000,0.3975,0.3975,0.3973,6,0.3973,5202,0.397415,2025-09-24 14:46:00+00:00
1758725220000,0.3974,0.3975,0.3974,6,0.3975,30581,0.397499,2025-09-24 14:47:00+00:00
1758725280000,0.3985,0.3996,0.397,32,0.3973,16981,0.398583,2025-09-24 14:48:00+00:00
1758725340000,0.399,0.3996,0.3983,8,0.3996,1063,0.399153,2025-09-24 14:49:00+00:00
