timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758900660000,0.1292,0.1293,0.1292,32,0.1292,15822,0.129211,2025-09-26 15:31:00+00:00
1758900720000,0.1283,0.1288,0.1275,121,0.1288,143085,0.127619,2025-09-26 15:32:00+00:00
1758900780000,0.129,0.1294,0.1284,66,0.1286,53276,0.12873,2025-09-26 15:33:00+00:00
1758900840000,0.1288,0.129,0.1288,22,0.129,59459,0.128825,2025-09-26 15:34:00+00:00
1758900900000,0.1284,0.1288,0.1284,17,0.1288,76423,0.128484,2025-09-26 15:35:00+00:00
1758900960000,0.1287,0.1288,0.1286,20,0.1288,24947,0.128701,2025-09-26 15:36:00+00:00
1758901020000,0.1282,0.1287,0.1279,46,0.1286,198673,0.128217,2025-09-26 15:37:00+00:00
1758901080000,0.1283,0.1284,0.1279,30,0.1283,84355,0.128359,2025-09-26 15:38:00+00:00
1758901140000,0.1283,0.1284,0.1283,14,0.1284,13773,0.128302,2025-09-26 15:39:00+00:00
1758901200000,0.1283,0.1284,0.1283,9,0.1283,4800,0.128348,2025-09-26 15:40:00+00:00
1758901260000,0.1283,0.1283,0.1283,10,0.1283,5176,0.1283,2025-09-26 15:41:00+00:00
1758901320000,0.1283,0.1284,0.1283,13,0.1284,11906,0.128335,2025-09-26 15:42:00+00:00
1758901380000,0.1284,0.1284,0.1283,8,0.1283,2759,0.128304,2025-09-26 15:43:00+00:00
1758901440000,0.1284,0.1284,0.1283,7,0.1283,5483,0.128313,2025-09-26 15:44:00+00:00
1758901500000,0.1283,0.1284,0.1283,11,0.1284,28166,0.128389,2025-09-26 15:45:00+00:00
1758901560000,0.1281,0.1284,0.1281,49,0.1284,78749,0.12822,2025-09-26 15:46:00+00:00
1758901620000,0.128,0.1281,0.1279,15,0.1281,6134,0.128028,2025-09-26 15:47:00+00:00
1758901680000,0.1279,0.128,0.1279,18,0.128,4887,0.127991,2025-09-26 15:48:00+00:00
1758901740000,0.1276,0.1279,0.1275,22,0.1276,38610,0.127721,2025-09-26 15:49:00+00:00
1758901800000,0.1276,0.1276,0.1273,19,0.1276,13695,0.127556,2025-09-26 15:50:00+00:00
1758901860000,0.1279,0.1279,0.1275,80,0.1275,79166,0.127608,2025-09-26 15:51:00+00:00
1758901920000,0.128,0.128,0.128,13,0.128,18843,0.128,2025-09-26 15:52:00+00:00
1758901980000,0.128,0.128,0.1279,4,0.1279,3685,0.127984,2025-09-26 15:53:00+00:00
1758902040000,0.128,0.1281,0.128,18,0.128,44416,0.128014,2025-09-26 15:54:00+00:00
1758902100000,0.128,0.1281,0.128,4,0.1281,10110,0.128082,2025-09-26 15:55:00+00:00
1758902160000,0.1281,0.1281,0.128,10,0.128,2506,0.128004,2025-09-26 15:56:00+00:00
1758902220000,0.1281,0.1281,0.128,12,0.128,4486,0.128098,2025-09-26 15:57:00+00:00
1758902280000,0.128,0.1281,0.128,8,0.1281,6421,0.128092,2025-09-26 15:58:00+00:00
1758902340000,0.1281,0.1281,0.1281,6,0.1281,7744,0.1281,2025-09-26 15:59:00+00:00
1758902400000,0.128,0.1281,0.128,9,0.1281,18303,0.128097,2025-09-26 16:00:00+00:00
1758902460000,0.1281,0.1281,0.1281,3,0.1281,6649,0.1281,2025-09-26 16:01:00+00:00
1758902520000,0.128,0.1281,0.128,8,0.1281,7981,0.128013,2025-09-26 16:02:00+00:00
1758902580000,0.1281,0.1281,0.128,9,0.128,11217,0.128054,2025-09-26 16:03:00+00:00
1758902640000,0.1281,0.1281,0.128,12,0.128,19872,0.128064,2025-09-26 16:04:00+00:00
