timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758635880000,0.7607,0.7629,0.7606,33,0.7629,44912,0.761022,2025-09-23 13:58:00+00:00
1758635940000,0.7606,0.7608,0.7606,27,0.7608,6966,0.760676,2025-09-23 13:59:00+00:00
1758636000000,0.763,0.7656,0.7606,218,0.7606,422784,0.761762,2025-09-23 14:00:00+00:00
1758636060000,0.7663,0.7666,0.765,102,0.7657,179680,0.765727,2025-09-23 14:01:00+00:00
1758636120000,0.7659,0.7664,0.7659,55,0.766,130735,0.765997,2025-09-23 14:02:00+00:00
1758636180000,0.7659,0.766,0.7659,20,0.7659,18732,0.765903,2025-09-23 14:03:00+00:00
1758636240000,0.7679,0.7679,0.7659,111,0.766,145894,0.76685,2025-09-23 14:04:00+00:00
1758636300000,0.7679,0.768,0.7662,31,0.7662,39845,0.767134,2025-09-23 14:05:00+00:00
1758636360000,0.7682,0.7685,0.7672,57,0.7679,85918,0.767918,2025-09-23 14:06:00+00:00
1758636420000,0.77,0.77,0.7682,130,0.7685,334233,0.769352,2025-09-23 14:07:00+00:00
1758636480000,0.7719,0.772,0.7699,110,0.77,297547,0.770687,2025-09-23 14:08:00+00:00
1758636540000,0.7719,0.772,0.7702,97,0.7717,326021,0.77138,2025-09-23 14:09:00+00:00
1758636600000,0.7766,0.7767,0.7717,106,0.772,370248,0.774419,2025-09-23 14:10:00+00:00
1758636660000,0.7791,0.78,0.7766,182,0.7767,325340,0.777752,2025-09-23 14:11:00+00:00
1758636720000,0.7721,0.7788,0.772,193,0.7788,194538,0.774892,2025-09-23 14:12:00+00:00
1758636780000,0.7749,0.7763,0.772,162,0.7721,231266,0.773383,2025-09-23 14:13:00+00:00
1758636840000,0.778,0.778,0.7749,92,0.7749,156344,0.777244,2025-09-23 14:14:00+00:00
1758636900000,0.7811,0.7847,0.7779,259,0.779,398652,0.78147,2025-09-23 14:15:00+00:00
1758636960000,0.7807,0.7836,0.779,194,0.781,393826,0.781246,2025-09-23 14:16:00+00:00
1758637020000,0.7754,0.7803,0.7753,113,0.7801,187880,0.779002,2025-09-23 14:17:00+00:00
1758637080000,0.7754,0.7778,0.7754,81,0.7755,150784,0.776547,2025-09-23 14:18:00+00:00
1758637140000,0.7757,0.777,0.7756,94,0.777,84344,0.776453,2025-09-23 14:19:00+00:00
1758637200000,0.7713,0.7766,0.771,65,0.7757,168950,0.775182,2025-09-23 14:20:00+00:00
1758637260000,0.7721,0.7728,0.77,141,0.7714,168664,0.771632,2025-09-23 14:21:00+00:00
1758637320000,0.7701,0.7727,0.7701,77,0.7721,117650,0.771755,2025-09-23 14:22:00+00:00
1758637380000,0.7669,0.7701,0.7662,86,0.7701,200927,0.767361,2025-09-23 14:23:00+00:00
1758637440000,0.7714,0.7717,0.7664,110,0.7675,172673,0.767822,2025-09-23 14:24:00+00:00
1758637500000,0.7648,0.7692,0.7634,215,0.768,167230,0.765961,2025-09-23 14:25:00+00:00
