timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758132120000,16.1,16.1,16.0,12,16.0,1221,16.016032,2025-09-17 18:02:00+00:00
1758132180000,16.2799,16.32,16.16,38,16.16,1654,16.266591,2025-09-17 18:03:00+00:00
1758132240000,16.45,16.45,16.4061,106,16.42,5154,16.427029,2025-09-17 18:04:00+00:00
1758132300000,16.32,16.32,16.32,23,16.32,849,16.32,2025-09-17 18:05:00+00:00
1758132360000,16.08,16.28,16.06,64,16.24,3782,16.153603,2025-09-17 18:06:00+00:00
1758132420000,15.98,16.01,15.98,24,16.01,1402,16.004917,2025-09-17 18:07:00+00:00
1758132480000,15.97,16.0819,15.97,21,16.0313,1725,16.000527,2025-09-17 18:08:00+00:00
1758132600000,15.7,15.82,15.7,27,15.82,2534,15.717041,2025-09-17 18:10:00+00:00
1758132660000,15.12,15.78,15.12,169,15.76,9716,15.409682,2025-09-17 18:11:00+00:00
1758132720000,15.1701,15.23,15.1,67,15.23,6184,15.149139,2025-09-17 18:12:00+00:00
1758132780000,14.84,15.02,14.83,154,15.0,12482,14.920236,2025-09-17 18:13:00+00:00
1758132840000,14.89,14.96,14.79,100,14.79,6690,14.873816,2025-09-17 18:14:00+00:00
1758132900000,15.04,15.04,14.79,88,14.89,10113,14.939887,2025-09-17 18:15:00+00:00
1758132960000,15.14,15.14,15.0,87,15.04,4475,15.076516,2025-09-17 18:16:00+00:00
1758133020000,15.09,15.21,15.09,56,15.19,2455,15.176429,2025-09-17 18:17:00+00:00
1758133080000,15.1211,15.1211,15.03,83,15.03,2215,15.093976,2025-09-17 18:18:00+00:00
1758133140000,15.13,15.24,15.12,59,15.12,2106,15.175526,2025-09-17 18:19:00+00:00
1758133200000,15.08,15.15,15.08,71,15.15,2518,15.126119,2025-09-17 18:20:00+00:00
1758133260000,15.15,15.15,15.05,81,15.14,4001,15.107837,2025-09-17 18:21:00+00:00
1758133320000,15.43,15.43,15.27,36,15.27,2754,15.400588,2025-09-17 18:22:00+00:00
1758133380000,15.33,15.3592,15.33,25,15.34,2128,15.351571,2025-09-17 18:23:00+00:00
1758133440000,15.45,15.45,15.42,29,15.45,1887,15.44243,2025-09-17 18:24:00+00:00
1758133500000,15.35,15.44,15.34,53,15.4,3283,15.364995,2025-09-17 18:25:00+00:00
1758133560000,15.37,15.37,15.29,26,15.3,1914,15.311039,2025-09-17 18:26:00+00:00
1758133620000,15.38,15.38,15.28,42,15.34,2343,15.341929,2025-09-17 18:27:00+00:00
1758133680000,15.47,15.47,15.41,19,15.41,1363,15.440632,2025-09-17 18:28:00+00:00
1758133740000,15.44,15.49,15.38,37,15.38,2398,15.436348,2025-09-17 18:29:00+00:00
1758133800000,15.42,15.52,15.34,93,15.49,5437,15.42874,2025-09-17 18:30:00+00:00
1758133860000,15.37,15.5,15.37,28,15.5,1504,15.444709,2025-09-17 18:31:00+00:00
1758133920000,15.16,15.29,15.16,25,15.29,1398,15.191017,2025-09-17 18:32:00+00:00
1758133980000,15.12,15.12,15.12,6,15.12,270,15.12,2025-09-17 18:33:00+00:00
1758134040000,15.17,15.24,15.17,15,15.24,738,15.2225,2025-09-17 18:34:00+00:00
1758134100000,15.17,15.21,15.17,6,15.21,1705,15.204234,2025-09-17 18:35:00+00:00
1758134160000,15.35,15.3656,15.35,2,15.3656,350,15.354457,2025-09-17 18:36:00+00:00
1758134220000,15.3,15.3,15.3,4,15.3,568,15.3,2025-09-17 18:37:00+00:00
1758134280000,15.32,15.37,15.3,28,15.33,1575,15.340497,2025-09-17 18:38:00+00:00
1758134340000,15.15,15.21,15.15,51,15.21,4395,15.184631,2025-09-17 18:39:00+00:00
