timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758650520000,14.7,14.707,14.63,41,14.63,5679,14.666217,2025-09-23 18:02:00+00:00
1758650580000,14.65,14.69,14.65,26,14.69,2293,14.678929,2025-09-23 18:03:00+00:00
1758650640000,14.6,14.62,14.6,21,14.62,1097,14.61,2025-09-23 18:04:00+00:00
1758650700000,14.58,14.58,14.565,13,14.565,558,14.575,2025-09-23 18:05:00+00:00
1758650760000,14.62,14.62,14.57,30,14.57,3172,14.579796,2025-09-23 18:06:00+00:00
1758650820000,14.635,14.64,14.62,29,14.62,6335,14.62226,2025-09-23 18:07:00+00:00
1758650880000,14.6788,14.6797,14.66,17,14.66,1723,14.668913,2025-09-23 18:08:00+00:00
1758650940000,14.7,14.71,14.695,16,14.7,2435,14.70577,2025-09-23 18:09:00+00:00
1758651000000,14.6999,14.7096,14.69,33,14.7,3410,14.699037,2025-09-23 18:10:00+00:00
1758651060000,14.61,14.71,14.61,58,14.71,7124,14.683068,2025-09-23 18:11:00+00:00
1758651120000,14.63,14.63,14.57,104,14.6,12310,14.58204,2025-09-23 18:12:00+00:00
1758651240000,14.63,14.63,14.63,10,14.63,1401,14.63,2025-09-23 18:14:00+00:00
1758651300000,14.63,14.63,14.63,12,14.63,867,14.63,2025-09-23 18:15:00+00:00
1758651360000,14.6694,14.6694,14.64,15,14.64,519,14.655059,2025-09-23 18:16:00+00:00
1758651420000,14.6499,14.6499,14.62,20,14.62,1191,14.63,2025-09-23 18:17:00+00:00
1758651480000,14.59,14.635,14.59,30,14.62,3553,14.618551,2025-09-23 18:18:00+00:00
1758651540000,14.58,14.61,14.58,10,14.605,696,14.599925,2025-09-23 18:19:00+00:00
1758651600000,14.57,14.61,14.56,60,14.6,4054,14.583501,2025-09-23 18:20:00+00:00
1758651660000,14.49,14.56,14.48,145,14.56,10415,14.507159,2025-09-23 18:21:00+00:00
1758651720000,14.53,14.53,14.4809,34,14.49,8555,14.504743,2025-09-23 18:22:00+00:00
1758651780000,14.53,14.54,14.5264,23,14.54,1721,14.530467,2025-09-23 18:23:00+00:00
1758651840000,14.51,14.5392,14.5,19,14.5392,2083,14.508173,2025-09-23 18:24:00+00:00
1758651900000,14.6,14.6,14.56,12,14.56,958,14.576842,2025-09-23 18:25:00+00:00
1758651960000,14.72,14.72,14.6424,13,14.6424,1944,14.670604,2025-09-23 18:26:00+00:00
1758652020000,14.78,14.78,14.72,35,14.73,4819,14.746351,2025-09-23 18:27:00+00:00
1758652080000,14.78,14.78,14.7625,12,14.78,2955,14.771057,2025-09-23 18:28:00+00:00
1758652140000,14.7947,14.8,14.78,28,14.785,3933,14.793803,2025-09-23 18:29:00+00:00
1758652200000,14.78,14.81,14.78,12,14.81,1616,14.803529,2025-09-23 18:30:00+00:00
1758652260000,14.78,14.8,14.78,11,14.79,1167,14.79,2025-09-23 18:31:00+00:00
1758652320000,14.79,14.805,14.77,99,14.805,15869,14.789516,2025-09-23 18:32:00+00:00
1758652380000,14.8207,14.8207,14.7588,15,14.785,1793,14.794858,2025-09-23 18:33:00+00:00
1758652440000,14.8,14.8,14.8,5,14.8,282,14.8,2025-09-23 18:34:00+00:00
1758652500000,14.8182,14.8182,14.8,13,14.8,621,14.8091,2025-09-23 18:35:00+00:00
1758652560000,14.83,14.85,14.82,20,14.85,2479,14.825169,2025-09-23 18:36:00+00:00
1758652620000,14.825,14.83,14.82,12,14.82,1193,14.822672,2025-09-23 18:37:00+00:00
1758652680000,14.81,14.82,14.805,35,14.82,3719,14.813477,2025-09-23 18:38:00+00:00
1758652740000,14.75,14.8199,14.7466,29,14.81,3531,14.796409,2025-09-23 18:39:00+00:00
1758652800000,14.75,14.75,14.75,6,14.75,410,14.75,2025-09-23 18:40:00+00:00
1758652860000,14.68,14.7397,14.68,25,14.7397,2749,14.699212,2025-09-23 18:41:00+00:00
1758652920000,14.68,14.7127,14.68,20,14.68,4884,14.687541,2025-09-23 18:42:00+00:00
1758652980000,14.73,14.73,14.7001,21,14.7035,14766,14.70563,2025-09-23 18:43:00+00:00
1758653040000,14.7315,14.7315,14.7315,4,14.7315,285,14.7315,2025-09-23 18:44:00+00:00
1758653100000,14.7001,14.7002,14.7,13,14.7002,2196,14.700033,2025-09-23 18:45:00+00:00
1758653160000,14.75,14.75,14.71,30,14.71,2465,14.722257,2025-09-23 18:46:00+00:00
1758653220000,14.7497,14.7497,14.7236,3,14.7236,3152,14.748608,2025-09-23 18:47:00+00:00
1758653280000,14.735,14.74,14.735,10,14.74,6028,14.736956,2025-09-23 18:48:00+00:00
1758653340000,14.6848,14.72,14.6848,29,14.72,1543,14.703972,2025-09-23 18:49:00+00:00
1758653400000,14.66,14.68,14.66,29,14.68,4651,14.662746,2025-09-23 18:50:00+00:00
1758653460000,14.66,14.66,14.62,22,14.66,2326,14.6483,2025-09-23 18:51:00+00:00
1758653520000,14.6447,14.65,14.6447,7,14.65,617,14.645576,2025-09-23 18:52:00+00:00
1758653580000,14.66,14.67,14.66,12,14.67,1288,14.669103,2025-09-23 18:53:00+00:00
1758653640000,14.63,14.6476,14.63,12,14.6476,774,14.632933,2025-09-23 18:54:00+00:00
1758653700000,14.59,14.6288,14.59,37,14.6288,7356,14.6066,2025-09-23 18:55:00+00:00
1758653760000,14.557,14.59,14.5201,45,14.59,5227,14.539348,2025-09-23 18:56:00+00:00
1758653820000,14.55,14.55,14.54,21,14.55,960,14.547908,2025-09-23 18:57:00+00:00
1758653880000,14.57,14.59,14.57,25,14.57,3657,14.585759,2025-09-23 18:58:00+00:00
1758653940000,14.57,14.58,14.53,45,14.56,8003,14.565915,2025-09-23 18:59:00+00:00
1758654000000,14.61,14.61,14.57,43,14.57,5495,14.583889,2025-09-23 19:00:00+00:00
1758654060000,14.6106,14.64,14.6106,12,14.63,3254,14.618262,2025-09-23 19:01:00+00:00
1758654120000,14.6398,14.65,14.62,12,14.65,1652,14.640811,2025-09-23 19:02:00+00:00
1758654180000,14.63,14.6424,14.61,24,14.62,2523,14.623148,2025-09-23 19:03:00+00:00
1758654240000,14.585,14.63,14.585,27,14.63,2862,14.612291,2025-09-23 19:04:00+00:00
1758654300000,14.585,14.6,14.58,33,14.58,7808,14.58929,2025-09-23 19:05:00+00:00
1758654360000,14.58,14.59,14.58,48,14.59,12156,14.581117,2025-09-23 19:06:00+00:00
1758654480000,14.61,14.61,14.6,12,14.6,812,14.608261,2025-09-23 19:08:00+00:00
1758654540000,14.58,14.58,14.58,5,14.58,481,14.58,2025-09-23 19:09:00+00:00
1758654600000,14.57,14.57,14.57,9,14.57,304,14.57,2025-09-23 19:10:00+00:00
1758654660000,14.5825,14.5825,14.5825,5,14.5825,417,14.5825,2025-09-23 19:11:00+00:00
1758654720000,14.57,14.5736,14.57,15,14.5736,1047,14.57104,2025-09-23 19:12:00+00:00
1758654780000,14.649,14.649,14.61,5,14.61,461,14.625341,2025-09-23 19:13:00+00:00
1758654840000,14.65,14.65,14.6436,9,14.6436,2075,14.649663,2025-09-23 19:14:00+00:00
1758654900000,14.63,14.65,14.63,15,14.65,671,14.64,2025-09-23 19:15:00+00:00
1758654960000,14.68,14.69,14.64,15,14.64,1245,14.657333,2025-09-23 19:16:00+00:00
1758655080000,14.73,14.73,14.7,13,14.7,4103,14.714699,2025-09-23 19:18:00+00:00
1758655140000,14.72,14.735,14.72,11,14.735,744,14.731,2025-09-23 19:19:00+00:00
1758655260000,14.67,14.7,14.67,24,14.7,4346,14.690321,2025-09-23 19:21:00+00:00
1758655320000,14.685,14.6898,14.683,8,14.683,3171,14.688828,2025-09-23 19:22:00+00:00
1758655380000,14.68,14.68,14.68,10,14.68,736,14.68,2025-09-23 19:23:00+00:00
1758655440000,14.6636,14.67,14.6636,27,14.67,3532,14.669584,2025-09-23 19:24:00+00:00
1758655500000,14.68,14.68,14.66,7,14.67,924,14.664722,2025-09-23 19:25:00+00:00
1758655560000,14.68,14.69,14.6724,33,14.68,4448,14.680138,2025-09-23 19:26:00+00:00
1758655620000,14.62,14.62,14.62,13,14.62,187,14.62,2025-09-23 19:27:00+00:00
1758655680000,14.64,14.64,14.61,15,14.625,4450,14.614642,2025-09-23 19:28:00+00:00
1758655800000,14.63,14.649,14.62,27,14.64,4043,14.638453,2025-09-23 19:30:00+00:00
1758655920000,14.62,14.62,14.6,14,14.61,3338,14.604813,2025-09-23 19:32:00+00:00
1758655980000,14.65,14.6564,14.65,4,14.6564,260,14.6532,2025-09-23 19:33:00+00:00
1758656100000,14.615,14.615,14.61,11,14.61,1195,14.61232,2025-09-23 19:35:00+00:00
1758656160000,14.6,14.61,14.58,35,14.61,7606,14.60007,2025-09-23 19:36:00+00:00
1758656220000,14.58,14.61,14.58,22,14.595,6976,14.594685,2025-09-23 19:37:00+00:00
1758656280000,14.545,14.585,14.54,47,14.585,7457,14.555587,2025-09-23 19:38:00+00:00
1758656340000,14.54,14.54,14.53,38,14.53,2397,14.5339,2025-09-23 19:39:00+00:00
1758656400000,14.505,14.54,14.5,46,14.5298,7863,14.519356,2025-09-23 19:40:00+00:00
1758656460000,14.52,14.54,14.51,18,14.51,3669,14.534822,2025-09-23 19:41:00+00:00
1758656520000,14.47,14.515,14.47,103,14.515,13457,14.487491,2025-09-23 19:42:00+00:00
1758656580000,14.505,14.505,14.5,15,14.5014,3681,14.501469,2025-09-23 19:43:00+00:00
1758656640000,14.485,14.52,14.485,33,14.5,6303,14.50517,2025-09-23 19:44:00+00:00
1758656700000,14.52,14.53,14.48,29,14.49,4174,14.495848,2025-09-23 19:45:00+00:00
1758656760000,14.52,14.5299,14.52,20,14.52,1083,14.521739,2025-09-23 19:46:00+00:00
1758656820000,14.51,14.54,14.51,26,14.54,1546,14.526532,2025-09-23 19:47:00+00:00
1758656880000,14.53,14.54,14.52,39,14.54,7199,14.523206,2025-09-23 19:48:00+00:00
1758656940000,14.53,14.53,14.53,19,14.53,6137,14.53,2025-09-23 19:49:00+00:00
1758657000000,14.4802,14.53,14.47,127,14.53,23760,14.492014,2025-09-23 19:50:00+00:00
1758657060000,14.52,14.55,14.49,14,14.49,1007,14.517778,2025-09-23 19:51:00+00:00
1758657120000,14.5799,14.67,14.53,107,14.53,18632,14.603887,2025-09-23 19:52:00+00:00
1758657180000,14.5801,14.5801,14.53,24,14.5397,4491,14.569842,2025-09-23 19:53:00+00:00
1758657240000,14.586,14.5887,14.586,10,14.5887,2306,14.588025,2025-09-23 19:54:00+00:00
1758657300000,14.5436,14.58,14.5436,20,14.58,2779,14.560239,2025-09-23 19:55:00+00:00
1758657360000,14.5003,14.57,14.5003,39,14.57,8932,14.534444,2025-09-23 19:56:00+00:00
1758657420000,14.445,14.5,14.43,67,14.5,13259,14.473556,2025-09-23 19:57:00+00:00
1758657480000,14.38,14.435,14.38,114,14.435,6518,14.417289,2025-09-23 19:58:00+00:00
1758657540000,14.44,14.45,14.38,175,14.39,23232,14.423575,2025-09-23 19:59:00+00:00
1758657600000,14.75,14.75,14.46,8,14.46,1762,14.511197,2025-09-23 20:00:00+00:00
1758720600000,14.96,15.22,14.9,235,15.22,15456,15.087715,2025-09-24 13:30:00+00:00
