timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758650520000,9.2994,9.2994,9.24,10,9.24,1738,9.267182,2025-09-23 18:02:00+00:00
1758650580000,9.24,9.26,9.24,12,9.25,4423,9.253366,2025-09-23 18:03:00+00:00
1758650640000,9.22,9.24,9.203,14,9.2288,2358,9.223925,2025-09-23 18:04:00+00:00
1758650700000,9.2,9.21,9.2,10,9.21,1285,9.201332,2025-09-23 18:05:00+00:00
1758650760000,9.23,9.23,9.2,10,9.2,880,9.215333,2025-09-23 18:06:00+00:00
1758650820000,9.24,9.24,9.24,5,9.24,1150,9.24,2025-09-23 18:07:00+00:00
1758650880000,9.287,9.289,9.25,8,9.25,1079,9.268492,2025-09-23 18:08:00+00:00
1758650940000,9.2787,9.29,9.2787,16,9.2899,3494,9.286736,2025-09-23 18:09:00+00:00
1758651000000,9.27,9.28,9.27,10,9.275,1454,9.274669,2025-09-23 18:10:00+00:00
1758651060000,9.27,9.3,9.27,18,9.29,2576,9.283749,2025-09-23 18:11:00+00:00
1758651120000,9.25,9.25,9.2073,8,9.22,1073,9.234005,2025-09-23 18:12:00+00:00
1758651180000,9.2483,9.2483,9.239,3,9.239,1589,9.24086,2025-09-23 18:13:00+00:00
1758651240000,9.23,9.23,9.2039,30,9.2039,3236,9.224535,2025-09-23 18:14:00+00:00
1758651300000,9.26,9.26,9.24,8,9.24,1201,9.258333,2025-09-23 18:15:00+00:00
1758651360000,9.23,9.245,9.23,5,9.2301,23670,9.230161,2025-09-23 18:16:00+00:00
1758651420000,9.23,9.235,9.23,8,9.235,1453,9.233846,2025-09-23 18:17:00+00:00
1758651540000,9.2,9.21,9.2,18,9.205,1231,9.203581,2025-09-23 18:19:00+00:00
1758651600000,9.195,9.22,9.195,21,9.219,2885,9.215243,2025-09-23 18:20:00+00:00
1758651660000,9.16,9.18,9.16,26,9.18,2575,9.165728,2025-09-23 18:21:00+00:00
1758651720000,9.19,9.19,9.1609,36,9.165,3991,9.166321,2025-09-23 18:22:00+00:00
1758651780000,9.17,9.19,9.165,15,9.19,1147,9.1708,2025-09-23 18:23:00+00:00
1758651840000,9.17,9.17,9.16,13,9.17,2687,9.165501,2025-09-23 18:24:00+00:00
1758651900000,9.2567,9.2567,9.185,10,9.185,568,9.216449,2025-09-23 18:25:00+00:00
1758651960000,9.28,9.28,9.259,4,9.259,1283,9.26323,2025-09-23 18:26:00+00:00
1758652020000,9.3301,9.3301,9.32,3,9.32,250,9.324353,2025-09-23 18:27:00+00:00
1758652080000,9.3306,9.34,9.33,13,9.3325,5363,9.338565,2025-09-23 18:28:00+00:00
1758652140000,9.359,9.359,9.35,2,9.35,600,9.3575,2025-09-23 18:29:00+00:00
1758652200000,9.3201,9.34,9.3201,8,9.34,585,9.330019,2025-09-23 18:30:00+00:00
1758652260000,9.33,9.35,9.32,5,9.35,450,9.33,2025-09-23 18:31:00+00:00
1758652320000,9.34,9.34,9.3137,5,9.3137,4238,9.314802,2025-09-23 18:32:00+00:00
1758652380000,9.34,9.34,9.319,7,9.32,1723,9.326187,2025-09-23 18:33:00+00:00
1758652440000,9.3301,9.3593,9.3301,5,9.3593,730,9.337114,2025-09-23 18:34:00+00:00
1758652560000,9.36,9.36,9.35,3,9.35,6245,9.354804,2025-09-23 18:36:00+00:00
1758652620000,9.35,9.3699,9.35,8,9.36,3706,9.361048,2025-09-23 18:37:00+00:00
