timeStamp,close,high,low,trade_count,open,volume,vwap,date
1748371380000,9.52,9.52,9.52,1,9.52,100,9.52,2025-05-27 18:43:00+00:00
1748371620000,9.45,9.45,9.45,3,9.45,201,9.45,2025-05-27 18:47:00+00:00
1748372280000,9.37,9.37,9.37,2,9.37,1387,9.37,2025-05-27 18:58:00+00:00
1748372340000,9.43,9.43,9.43,4,9.43,134,9.43,2025-05-27 18:59:00+00:00
1748372640000,9.445,9.445,9.445,4,9.445,270,9.445,2025-05-27 19:04:00+00:00
1748372880000,9.38,9.38,9.38,10,9.38,423,9.38,2025-05-27 19:08:00+00:00
1748373360000,9.38,9.38,9.38,2,9.38,118,9.38,2025-05-27 19:16:00+00:00
1748373600000,9.43,9.43,9.43,1,9.43,150,9.43,2025-05-27 19:20:00+00:00
1748373780000,9.38,9.38,9.38,12,9.38,271,9.38,2025-05-27 19:23:00+00:00
1748373840000,9.4,9.4,9.4,2,9.4,191,9.4,2025-05-27 19:24:00+00:00
1748374020000,9.31,9.37,9.31,57,9.37,549,9.35,2025-05-27 19:27:00+00:00
1748374080000,9.32,9.32,9.32,13,9.32,555,9.32,2025-05-27 19:28:00+00:00
1748374440000,9.37,9.37,9.37,4,9.37,216,9.37,2025-05-27 19:34:00+00:00
1748374560000,9.35,9.35,9.31,3,9.32,300,9.326667,2025-05-27 19:36:00+00:00
1748375040000,9.3,9.31,9.3,8,9.31,404,9.305,2025-05-27 19:44:00+00:00
1748375100000,9.46,9.46,9.39,30,9.39,2661,9.3975,2025-05-27 19:45:00+00:00
1748375460000,9.4,9.4,9.4,49,9.4,502,9.4,2025-05-27 19:51:00+00:00
1748375520000,9.335,9.335,9.335,3,9.335,151,9.335,2025-05-27 19:52:00+00:00
1748375580000,9.335,9.335,9.335,4,9.335,132,9.335,2025-05-27 19:53:00+00:00
1748375820000,9.41,9.41,9.41,21,9.41,464,9.41,2025-05-27 19:57:00+00:00
1748375880000,9.39,9.41,9.34,29,9.39,3966,9.40082,2025-05-27 19:58:00+00:00
1748375940000,9.33,9.34,9.33,27,9.34,1050,9.335157,2025-05-27 19:59:00+00:00
1748376000000,9.29,9.29,9.29,1,9.29,7875,9.29,2025-05-27 20:00:00+00:00
1748439000000,9.68,9.68,9.68,4,9.68,6169,9.68,2025-05-28 13:30:00+00:00
1748439180000,9.7243,9.7243,9.7243,4,9.7243,2573,9.7243,2025-05-28 13:33:00+00:00
1748439300000,9.59,9.73,9.59,13,9.73,4407,9.622637,2025-05-28 13:35:00+00:00
1748439600000,9.51,9.52,9.51,7,9.52,820,9.515319,2025-05-28 13:40:00+00:00
1748440020000,9.4192,9.4192,9.4192,4,9.4192,1064,9.4192,2025-05-28 13:47:00+00:00
1748440080000,9.2801,9.2801,9.28,5,9.28,1502,9.280021,2025-05-28 13:48:00+00:00
1748440440000,9.24,9.24,9.24,6,9.24,262,9.24,2025-05-28 13:54:00+00:00
1748441100000,9.42,9.42,9.28,32,9.28,6878,9.381441,2025-05-28 14:05:00+00:00
1748441160000,9.49,9.49,9.49,2,9.49,202,9.49,2025-05-28 14:06:00+00:00
1748441280000,9.4266,9.4266,9.4266,3,9.4266,1063,9.4266,2025-05-28 14:08:00+00:00
1748441340000,9.45,9.45,9.39,15,9.42,2238,9.412974,2025-05-28 14:09:00+00:00
1748441460000,9.405,9.405,9.4,5,9.4,500,9.403,2025-05-28 14:11:00+00:00
1748441700000,9.35,9.36,9.35,8,9.355,900,9.352778,2025-05-28 14:15:00+00:00
1748441940000,9.27,9.28,9.27,2,9.28,500,9.272,2025-05-28 14:19:00+00:00
1748443140000,9.4,9.4,9.4,1,9.4,788,9.4,2025-05-28 14:39:00+00:00
1748443200000,9.4,9.4,9.4,2,9.4,517,9.4,2025-05-28 14:40:00+00:00
1748444940000,9.2701,9.306,9.2701,3,9.306,300,9.292704,2025-05-28 15:09:00+00:00
1748445720000,9.4,9.41,9.38,13,9.38,5270,9.397714,2025-05-28 15:22:00+00:00
1748445780000,9.405,9.405,9.405,1,9.405,100,9.405,2025-05-28 15:23:00+00:00
1748446080000,9.38,9.41,9.38,13,9.41,738,9.400864,2025-05-28 15:28:00+00:00
1748446440000,9.34,9.34,9.34,1,9.34,1258,9.34,2025-05-28 15:34:00+00:00
1748450580000,9.335,9.4,9.335,19,9.335,3000,9.3831,2025-05-28 16:43:00+00:00
1748450880000,9.3908,9.3908,9.3908,2,9.3908,151,9.3908,2025-05-28 16:48:00+00:00
1748451060000,9.39,9.39,9.39,6,9.39,261,9.39,2025-05-28 16:51:00+00:00
1748452200000,9.27,9.28,9.27,3,9.28,300,9.273344,2025-05-28 17:10:00+00:00
1748452980000,9.39,9.39,9.33,10,9.39,1500,9.385,2025-05-28 17:23:00+00:00
1748453580000,9.3155,9.3155,9.3155,1,9.3155,100,9.3155,2025-05-28 17:33:00+00:00
1748454180000,9.3264,9.3264,9.32,2,9.32,350,9.321829,2025-05-28 17:43:00+00:00
1748457060000,9.325,9.325,9.325,5,9.325,546,9.325,2025-05-28 18:31:00+00:00
1748458140000,9.27,9.41,9.27,55,9.38,3373,9.3608,2025-05-28 18:49:00+00:00
1748458680000,9.1801,9.1801,9.1801,1,9.1801,961,9.1801,2025-05-28 18:58:00+00:00
1748459880000,9.2,9.2,9.2,5,9.2,288,9.2,2025-05-28 19:18:00+00:00
1748460780000,9.19,9.2672,9.19,7,9.2672,378,9.246279,2025-05-28 19:33:00+00:00
1748460960000,9.21,9.21,9.21,1,9.21,100,9.21,2025-05-28 19:36:00+00:00
1748461380000,9.33,9.34,9.275,12,9.275,1601,9.3325,2025-05-28 19:43:00+00:00
1748461860000,9.33,9.34,9.33,8,9.33,1534,9.336667,2025-05-28 19:51:00+00:00
1748462040000,9.23,9.23,9.23,3,9.23,108,9.23,2025-05-28 19:54:00+00:00
1748462160000,9.26,9.28,9.26,6,9.28,756,9.266747,2025-05-28 19:56:00+00:00
1748462220000,9.32,9.33,9.32,23,9.33,1226,9.327753,2025-05-28 19:57:00+00:00
1748462280000,9.35,9.37,9.26,32,9.26,1687,9.333319,2025-05-28 19:58:00+00:00
1748462340000,9.385,9.41,9.35,45,9.36,3526,9.386346,2025-05-28 19:59:00+00:00
1748462400000,9.35,9.35,9.35,1,9.35,1767,9.35,2025-05-28 20:00:00+00:00
1748525400000,8.565,8.59,8.5001,19,8.59,4240,8.565542,2025-05-29 13:30:00+00:00
1748525520000,8.4128,8.515,8.4128,19,8.515,1679,8.491578,2025-05-29 13:32:00+00:00
1748525580000,8.5276,8.5276,8.499,3,8.499,983,8.520252,2025-05-29 13:33:00+00:00
1748525640000,8.41,8.42,8.41,15,8.42,2693,8.415833,2025-05-29 13:34:00+00:00
1748526000000,8.4602,8.62,8.4602,4,8.62,935,8.541742,2025-05-29 13:40:00+00:00
1748526060000,8.4626,8.5289,8.4626,3,8.5289,600,8.489283,2025-05-29 13:41:00+00:00
1748526120000,8.495,8.495,8.495,6,8.495,232,8.495,2025-05-29 13:42:00+00:00
1748526240000,8.5977,8.5977,8.5164,4,8.5164,202,8.55705,2025-05-29 13:44:00+00:00
1748526420000,8.4723,8.4723,8.4723,2,8.4723,112,8.4723,2025-05-29 13:47:00+00:00
1748526600000,8.59,8.61,8.59,5,8.61,4500,8.607778,2025-05-29 13:50:00+00:00
1748526660000,8.53,8.53,8.53,1,8.53,500,8.53,2025-05-29 13:51:00+00:00
1748527020000,8.5998,8.5998,8.5998,2,8.5998,215,8.5998,2025-05-29 13:57:00+00:00
1748527080000,8.61,8.61,8.61,3,8.61,624,8.61,2025-05-29 13:58:00+00:00
1748527140000,8.61,8.61,8.61,9,8.61,712,8.61,2025-05-29 13:59:00+00:00
1748527560000,8.45,8.515,8.45,10,8.515,2579,8.457466,2025-05-29 14:06:00+00:00
1748527740000,8.575,8.61,8.575,12,8.6,707,8.598904,2025-05-29 14:09:00+00:00
1748528160000,8.61,8.61,8.61,2,8.61,200,8.61,2025-05-29 14:16:00+00:00
1748528580000,8.61,8.64,8.61,8,8.64,511,8.617212,2025-05-29 14:23:00+00:00
1748529240000,8.64,8.64,8.6379,3,8.6379,1210,8.638769,2025-05-29 14:34:00+00:00
1748529960000,8.63,8.64,8.63,6,8.63,511,8.631984,2025-05-29 14:46:00+00:00
1748530380000,8.6,8.63,8.53,9,8.53,716,8.5725,2025-05-29 14:53:00+00:00
1748530980000,8.6,8.6,8.6,3,8.6,151,8.6,2025-05-29 15:03:00+00:00
1748531040000,8.61,8.61,8.6,13,8.6,2396,8.600907,2025-05-29 15:04:00+00:00
1748531160000,8.6,8.6,8.6,6,8.6,658,8.6,2025-05-29 15:06:00+00:00
1748531640000,8.69,8.69,8.69,8,8.69,900,8.69,2025-05-29 15:14:00+00:00
1748532480000,8.69,8.69,8.69,5,8.69,500,8.69,2025-05-29 15:28:00+00:00
1748533080000,9.0206,9.0206,9.0206,1,9.0206,389,9.0206,2025-05-29 15:38:00+00:00
1748533200000,8.5601,8.88,8.5601,9,8.88,1147,8.709446,2025-05-29 15:40:00+00:00
1748533440000,8.97,8.97,8.97,1,8.97,100,8.97,2025-05-29 15:44:00+00:00
1748534220000,8.8124,8.8124,8.8124,1,8.8124,300,8.8124,2025-05-29 15:57:00+00:00
1748534400000,8.98,8.98,8.98,6,8.98,500,8.98,2025-05-29 16:00:00+00:00
