timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758895440000,0.4904,0.492,0.4893,544,0.4908,341781,0.490956,2025-09-26 14:04:00+00:00
1758895500000,0.4901,0.4902,0.49,299,0.4901,277484,0.490077,2025-09-26 14:05:00+00:00
1758895560000,0.49,0.4901,0.49,227,0.4901,158098,0.49005,2025-09-26 14:06:00+00:00
1758895620000,0.49,0.4901,0.49,187,0.4901,233370,0.49004,2025-09-26 14:07:00+00:00
1758895680000,0.49,0.4901,0.49,298,0.49,290030,0.490068,2025-09-26 14:08:00+00:00
1758895740000,0.48,0.49,0.48,486,0.49,514722,0.484162,2025-09-26 14:09:00+00:00
1758895800000,0.4889,0.4898,0.4785,599,0.4801,596209,0.48261,2025-09-26 14:10:00+00:00
1758895860000,0.4888,0.4898,0.4852,390,0.4889,453855,0.488115,2025-09-26 14:11:00+00:00
1758895920000,0.4897,0.49,0.4861,320,0.4888,472829,0.488835,2025-09-26 14:12:00+00:00
1758895980000,0.489,0.4898,0.4875,236,0.4896,136104,0.488968,2025-09-26 14:13:00+00:00
1758896040000,0.485,0.489,0.4841,173,0.4884,133509,0.486828,2025-09-26 14:14:00+00:00
1758896100000,0.4868,0.4871,0.4841,313,0.4841,120284,0.48582,2025-09-26 14:15:00+00:00
1758896160000,0.4962,0.4977,0.486,441,0.4863,463103,0.493448,2025-09-26 14:16:00+00:00
1758896220000,0.5071,0.5099,0.4954,763,0.4963,823948,0.505706,2025-09-26 14:17:00+00:00
1758896280000,0.5084,0.517,0.5071,938,0.5071,828639,0.512085,2025-09-26 14:18:00+00:00
1758896340000,0.5016,0.5083,0.5,422,0.5083,389692,0.503981,2025-09-26 14:19:00+00:00
1758896400000,0.5115,0.52,0.5,720,0.5001,624335,0.509742,2025-09-26 14:20:00+00:00
1758896460000,0.509,0.5113,0.5055,290,0.5113,278240,0.509375,2025-09-26 14:21:00+00:00
1758896520000,0.5089,0.51,0.5056,344,0.5097,351253,0.508033,2025-09-26 14:22:00+00:00
1758896580000,0.5096,0.5121,0.5076,445,0.509,443380,0.510352,2025-09-26 14:23:00+00:00
1758896640000,0.51,0.5113,0.505,272,0.5096,264896,0.509214,2025-09-26 14:24:00+00:00
1758896700000,0.505,0.51,0.505,226,0.51,231510,0.505627,2025-09-26 14:25:00+00:00
1758896760000,0.5054,0.5089,0.505,211,0.505,268195,0.50635,2025-09-26 14:26:00+00:00
1758896820000,0.4933,0.5054,0.49,461,0.5053,346373,0.496218,2025-09-26 14:27:00+00:00
1758896880000,0.4862,0.4942,0.4862,409,0.4933,317092,0.49031,2025-09-26 14:28:00+00:00
1758896940000,0.4905,0.4917,0.4862,383,0.4885,206077,0.489217,2025-09-26 14:29:00+00:00
1758897000000,0.4963,0.4989,0.4905,316,0.4905,214230,0.492776,2025-09-26 14:30:00+00:00
1758897060000,0.494,0.4988,0.49,244,0.4983,269526,0.491372,2025-09-26 14:31:00+00:00
1758897120000,0.4935,0.494,0.4913,139,0.494,124740,0.493006,2025-09-26 14:32:00+00:00
1758897180000,0.4927,0.4935,0.4926,102,0.4935,78294,0.493243,2025-09-26 14:33:00+00:00
1758897240000,0.495,0.4958,0.49,267,0.4927,210730,0.494171,2025-09-26 14:34:00+00:00
1758897300000,0.4946,0.4951,0.4926,183,0.4949,196769,0.494424,2025-09-26 14:35:00+00:00
1758897360000,0.4941,0.4946,0.493,112,0.4945,49559,0.494325,2025-09-26 14:36:00+00:00
1758897420000,0.4862,0.4945,0.4862,299,0.4938,319259,0.490674,2025-09-26 14:37:00+00:00
1758897480000,0.4868,0.49,0.4856,203,0.4863,138962,0.486523,2025-09-26 14:38:00+00:00
1758897540000,0.488,0.4897,0.4866,124,0.4868,120715,0.487954,2025-09-26 14:39:00+00:00
1758897600000,0.4863,0.493,0.486,277,0.488,319162,0.488731,2025-09-26 14:40:00+00:00
1758897660000,0.4841,0.4869,0.4834,233,0.4857,142639,0.484696,2025-09-26 14:41:00+00:00
1758897720000,0.4847,0.485,0.484,151,0.4841,135747,0.484512,2025-09-26 14:42:00+00:00
1758897780000,0.4786,0.4847,0.4785,295,0.4843,207032,0.480696,2025-09-26 14:43:00+00:00
1758897840000,0.4742,0.4788,0.472,480,0.4788,353654,0.473804,2025-09-26 14:44:00+00:00
1758897900000,0.477,0.477,0.4741,232,0.4742,192740,0.474725,2025-09-26 14:45:00+00:00
1758897960000,0.48,0.48,0.4765,191,0.4765,175853,0.479282,2025-09-26 14:46:00+00:00
1758898020000,0.477,0.48,0.477,240,0.4799,182436,0.479249,2025-09-26 14:47:00+00:00
1758898080000,0.4799,0.4799,0.4765,181,0.477,175449,0.477651,2025-09-26 14:48:00+00:00
1758898140000,0.4842,0.485,0.4798,210,0.4798,235931,0.482355,2025-09-26 14:49:00+00:00
1758898200000,0.4865,0.49,0.4839,220,0.4839,154125,0.486547,2025-09-26 14:50:00+00:00
1758898260000,0.4873,0.4899,0.4865,202,0.4866,188123,0.487883,2025-09-26 14:51:00+00:00
1758898320000,0.4945,0.499,0.487,295,0.4871,226609,0.492186,2025-09-26 14:52:00+00:00
1758898380000,0.4961,0.4963,0.4903,182,0.4935,208929,0.493316,2025-09-26 14:53:00+00:00
1758898440000,0.4985,0.4986,0.4962,223,0.4963,206749,0.497844,2025-09-26 14:54:00+00:00
1758898500000,0.4981,0.4999,0.4978,310,0.4985,272897,0.499316,2025-09-26 14:55:00+00:00
1758898560000,0.4968,0.4987,0.4964,179,0.4981,166653,0.497549,2025-09-26 14:56:00+00:00
1758898620000,0.4972,0.4975,0.4948,131,0.4967,114658,0.49663,2025-09-26 14:57:00+00:00
1758898680000,0.4984,0.4985,0.495,165,0.4972,117943,0.497153,2025-09-26 14:58:00+00:00
1758898740000,0.4983,0.4984,0.4983,67,0.4983,50855,0.498342,2025-09-26 14:59:00+00:00
1758898800000,0.4974,0.4984,0.4973,164,0.4983,102230,0.498114,2025-09-26 15:00:00+00:00
1758898860000,0.4982,0.4983,0.4974,120,0.4974,61759,0.497949,2025-09-26 15:01:00+00:00
1758898920000,0.4977,0.4985,0.4971,179,0.4983,94086,0.497876,2025-09-26 15:02:00+00:00
1758898980000,0.4999,0.4999,0.4977,153,0.4978,115209,0.498508,2025-09-26 15:03:00+00:00
1758899040000,0.5187,0.519,0.4999,754,0.4999,745788,0.508173,2025-09-26 15:04:00+00:00
1758899100000,0.515,0.519,0.5112,470,0.5189,343412,0.515354,2025-09-26 15:05:00+00:00
1758899160000,0.5121,0.519,0.512,356,0.5146,447317,0.51639,2025-09-26 15:06:00+00:00
