timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758117240000,8.22,8.22,8.22,2,8.22,5035,8.22,2025-09-17 13:54:00+00:00
1758117300000,8.3,8.3,8.3,2,8.3,172,8.3,2025-09-17 13:55:00+00:00
1758117360000,8.2031,8.28,8.2031,16,8.28,5505,8.272575,2025-09-17 13:56:00+00:00
1758117540000,8.28,8.28,8.28,10,8.28,5006,8.28,2025-09-17 13:59:00+00:00
1758117660000,8.3974,8.3974,8.3974,1,8.3974,100,8.3974,2025-09-17 14:01:00+00:00
1758117900000,8.26,8.26,8.26,5,8.26,5275,8.26,2025-09-17 14:05:00+00:00
1758118260000,8.26,8.26,8.26,5,8.26,5272,8.26,2025-09-17 14:11:00+00:00
1758118380000,8.26,8.26,8.26,4,8.26,5272,8.26,2025-09-17 14:13:00+00:00
1758118500000,8.25,8.25,8.25,7,8.25,5274,8.25,2025-09-17 14:15:00+00:00
1758118620000,8.25,8.25,8.25,5,8.25,5000,8.25,2025-09-17 14:17:00+00:00
1758118740000,8.27,8.27,8.27,5,8.27,5000,8.27,2025-09-17 14:19:00+00:00
1758118800000,8.26,8.265,8.26,7,8.265,5375,8.260094,2025-09-17 14:20:00+00:00
1758118920000,8.27,8.27,8.27,14,8.27,5418,8.27,2025-09-17 14:22:00+00:00
1758119280000,8.26,8.26,8.26,3,8.26,5272,8.26,2025-09-17 14:28:00+00:00
1758119340000,8.3,8.3,8.3,2,8.3,500,8.3,2025-09-17 14:29:00+00:00
1758119520000,8.27,8.27,8.27,9,8.27,5354,8.27,2025-09-17 14:32:00+00:00
1758119760000,8.3355,8.3875,8.2562,10,8.27,1000,8.30607,2025-09-17 14:36:00+00:00
1758120000000,8.26,8.26,8.26,5,8.26,5272,8.26,2025-09-17 14:40:00+00:00
1758120060000,8.515,8.515,8.37,19,8.37,2234,8.406866,2025-09-17 14:41:00+00:00
1758120240000,8.45,8.4527,8.45,2,8.4527,700,8.452314,2025-09-17 14:44:00+00:00
1758120360000,8.4193,8.45,8.4193,3,8.45,700,8.440971,2025-09-17 14:46:00+00:00
1758120420000,8.31,8.315,8.31,20,8.315,5272,8.310097,2025-09-17 14:47:00+00:00
1758120780000,8.37,8.37,8.37,6,8.37,5050,8.37,2025-09-17 14:53:00+00:00
1758120900000,8.375,8.375,8.27,2,8.27,400,8.29625,2025-09-17 14:55:00+00:00
1758121020000,8.38,8.38,8.38,6,8.38,5002,8.38,2025-09-17 14:57:00+00:00
1758121260000,8.55,8.55,8.2001,12,8.2001,1639,8.326876,2025-09-17 15:01:00+00:00
1758121440000,8.4,8.4,8.4,5,8.4,5000,8.4,2025-09-17 15:04:00+00:00
1758121620000,8.2708,8.2708,8.2708,3,8.2708,3002,8.2708,2025-09-17 15:07:00+00:00
1758121680000,8.42,8.42,8.42,9,8.42,5000,8.42,2025-09-17 15:08:00+00:00
1758121980000,8.34,8.43,8.32,13,8.3209,3203,8.370821,2025-09-17 15:13:00+00:00
1758122040000,8.34,8.34,8.34,9,8.34,1095,8.34,2025-09-17 15:14:00+00:00
1758122280000,8.31,8.34,8.31,16,8.34,1217,8.326,2025-09-17 15:18:00+00:00
1758122340000,8.0,8.2,7.8,68,8.2,4985,7.879889,2025-09-17 15:19:00+00:00
1758122400000,7.8,8.0,7.78,20,8.0,2910,7.9312,2025-09-17 15:20:00+00:00
1758122460000,7.67,7.79,7.63,82,7.74,3394,7.729725,2025-09-17 15:21:00+00:00
1758122580000,7.81,7.81,7.79,4,7.79,380,7.8,2025-09-17 15:23:00+00:00
1758122640000,7.77,7.77,7.55,12,7.55,936,7.623333,2025-09-17 15:24:00+00:00
1758122760000,7.7,7.7702,7.7,25,7.7702,4320,7.742661,2025-09-17 15:26:00+00:00
1758122820000,7.45,7.51,7.45,15,7.51,890,7.498571,2025-09-17 15:27:00+00:00
