timeStamp,close,high,low,trade_count,open,volume,vwap,date
1743537060000,3.82,3.82,3.82,4,3.82,143,3.82,2025-04-01 19:51:00+00:00
1743602460000,3.995,3.995,3.995,4,3.995,110,3.995,2025-04-02 14:01:00+00:00
1743604500000,4.0,4.0,4.0,1,4.0,500,4.0,2025-04-02 14:35:00+00:00
1743604560000,4.1,4.1,4.1,1,4.1,897,4.1,2025-04-02 14:36:00+00:00
1743612000000,3.995,3.995,3.995,3,3.995,168,3.995,2025-04-02 16:40:00+00:00
1743687000000,3.9,3.9,3.88,6,3.88,364,3.887389,2025-04-03 13:30:00+00:00
1743687300000,3.74,3.8,3.74,23,3.8,1046,3.748706,2025-04-03 13:35:00+00:00
1743687960000,3.6192,3.6192,3.6192,2,3.6192,792,3.6192,2025-04-03 13:46:00+00:00
1743689280000,3.617,3.617,3.617,3,3.617,389,3.617,2025-04-03 14:08:00+00:00
1743689340000,3.619,3.619,3.619,2,3.619,102,3.619,2025-04-03 14:09:00+00:00
1743689400000,3.611,3.611,3.611,1,3.611,100,3.611,2025-04-03 14:10:00+00:00
1743689460000,3.655,3.655,3.62,2,3.62,1113,3.651855,2025-04-03 14:11:00+00:00
1743689520000,3.655,3.655,3.655,1,3.655,135,3.655,2025-04-03 14:12:00+00:00
1743689880000,3.7,3.7,3.7,4,3.7,296,3.7,2025-04-03 14:18:00+00:00
1743692760000,3.7467,3.7467,3.7467,1,3.7467,149,3.7467,2025-04-03 15:06:00+00:00
1743692820000,3.75,3.75,3.75,3,3.75,235,3.75,2025-04-03 15:07:00+00:00
1743693060000,3.8,3.8,3.8,3,3.8,253,3.8,2025-04-03 15:11:00+00:00
1743695700000,3.84,3.84,3.84,6,3.84,422,3.84,2025-04-03 15:55:00+00:00
1743696960000,3.9444,3.9444,3.9444,2,3.9444,127,3.9444,2025-04-03 16:16:00+00:00
1743697380000,4.0,4.0,4.0,7,4.0,276,4.0,2025-04-03 16:23:00+00:00
1743697740000,4.02,4.02,4.01,4,4.01,255,4.015,2025-04-03 16:29:00+00:00
1743708900000,3.81,3.81,3.81,1,3.81,513,3.81,2025-04-03 19:35:00+00:00
1743710340000,3.67,3.67,3.67,6,3.67,154,3.67,2025-04-03 19:59:00+00:00
1743773400000,3.6,3.6,3.6,8,3.6,119,3.6,2025-04-04 13:30:00+00:00
1743774000000,3.65,3.65,3.65,2,3.65,126,3.65,2025-04-04 13:40:00+00:00
1743774060000,3.5366,3.5366,3.5366,1,3.5366,100,3.5366,2025-04-04 13:41:00+00:00
1743775320000,3.68,3.68,3.68,6,3.68,179,3.68,2025-04-04 14:02:00+00:00
1743776040000,3.5413,3.5413,3.5413,1,3.5413,200,3.5413,2025-04-04 14:14:00+00:00
1743778140000,3.5573,3.5573,3.5573,3,3.5573,152,3.5573,2025-04-04 14:49:00+00:00
1743778740000,3.69,3.69,3.69,2,3.69,106,3.69,2025-04-04 14:59:00+00:00
1743785040000,3.64,3.64,3.64,1,3.64,170,3.64,2025-04-04 16:44:00+00:00
1743789180000,3.595,3.595,3.595,1,3.595,100,3.595,2025-04-04 17:53:00+00:00
1743789600000,3.5583,3.5583,3.5583,1,3.5583,130,3.5583,2025-04-04 18:00:00+00:00
1743795360000,3.585,3.585,3.585,1,3.585,166,3.585,2025-04-04 19:36:00+00:00
1744032600000,3.2,3.29,3.2,17,3.29,2553,3.286284,2025-04-07 13:30:00+00:00
1744032660000,3.2,3.2,3.2,3,3.2,417,3.2,2025-04-07 13:31:00+00:00
1744032720000,3.1,3.1,3.1,2,3.1,300,3.1,2025-04-07 13:32:00+00:00
1744032900000,3.1,3.1,3.1,7,3.1,301,3.1,2025-04-07 13:35:00+00:00
1744033140000,3.0,3.0,3.0,1,3.0,354,3.0,2025-04-07 13:39:00+00:00
1744033200000,3.09,3.1663,3.09,2,3.1663,442,3.12815,2025-04-07 13:40:00+00:00
1744034340000,3.135,3.135,3.135,1,3.135,233,3.135,2025-04-07 13:59:00+00:00
1744034400000,3.15,3.19,3.15,12,3.18,1130,3.16,2025-04-07 14:00:00+00:00
1744034460000,3.12,3.12,3.12,5,3.12,273,3.12,2025-04-07 14:01:00+00:00
1744034640000,3.1999,3.1999,3.1999,2,3.1999,155,3.1999,2025-04-07 14:04:00+00:00
1744035240000,3.2,3.2,3.2,3,3.2,174,3.2,2025-04-07 14:14:00+00:00
1744035420000,3.19,3.19,3.19,7,3.19,401,3.19,2025-04-07 14:17:00+00:00
1744035540000,3.25,3.25,3.25,1,3.25,134,3.25,2025-04-07 14:19:00+00:00
1744037820000,3.25,3.25,3.24,3,3.24,230,3.245327,2025-04-07 14:57:00+00:00
1744038540000,3.2775,3.2775,3.25,4,3.25,440,3.259505,2025-04-07 15:09:00+00:00
1744038900000,3.27,3.27,3.27,2,3.27,201,3.27,2025-04-07 15:15:00+00:00
1744039920000,3.2804,3.2804,3.2804,2,3.2804,304,3.2804,2025-04-07 15:32:00+00:00
1744040280000,3.2674,3.2674,3.2674,1,3.2674,100,3.2674,2025-04-07 15:38:00+00:00
1744047720000,3.26,3.26,3.26,1,3.26,200,3.26,2025-04-07 17:42:00+00:00
1744048500000,3.25,3.25,3.25,1,3.25,100,3.25,2025-04-07 17:55:00+00:00
1744050480000,3.2,3.2,3.2,3,3.2,153,3.2,2025-04-07 18:28:00+00:00
1744051980000,3.2,3.2,3.2,4,3.2,600,3.2,2025-04-07 18:53:00+00:00
1744052220000,3.2,3.2,3.2,5,3.2,379,3.2,2025-04-07 18:57:00+00:00
1744053420000,3.2,3.26,3.2,8,3.26,540,3.22,2025-04-07 19:17:00+00:00
1744053600000,3.2519,3.269,3.2519,2,3.269,500,3.263152,2025-04-07 19:20:00+00:00
1744055940000,3.2,3.2,3.2,4,3.2,216,3.2,2025-04-07 19:59:00+00:00
1744119000000,3.2,3.2,3.2,3,3.2,364,3.2,2025-04-08 13:30:00+00:00
1744119060000,3.52,3.52,3.52,1,3.52,131,3.52,2025-04-08 13:31:00+00:00
1744119360000,3.34,3.34,3.34,4,3.34,110,3.34,2025-04-08 13:36:00+00:00
1744120080000,3.34,3.34,3.34,1,3.34,100,3.34,2025-04-08 13:48:00+00:00
1744123920000,3.3001,3.3001,3.3,2,3.3,200,3.30005,2025-04-08 14:52:00+00:00
1744125780000,3.3095,3.3095,3.3095,1,3.3095,200,3.3095,2025-04-08 15:23:00+00:00
1744135440000,3.3099,3.31,3.3099,9,3.31,455,3.30995,2025-04-08 18:04:00+00:00
1744136040000,3.2955,3.2955,3.2955,1,3.2955,1506,3.2955,2025-04-08 18:14:00+00:00
1744139940000,3.25,3.25,3.25,3,3.25,572,3.25,2025-04-08 19:19:00+00:00
1744140780000,3.2899,3.2899,3.2899,27,3.2899,663,3.2899,2025-04-08 19:33:00+00:00
1744140900000,3.225,3.225,3.225,1,3.225,760,3.225,2025-04-08 19:35:00+00:00
1744142040000,3.17,3.17,3.17,5,3.17,135,3.17,2025-04-08 19:54:00+00:00
1744205400000,3.2,3.2,3.2,4,3.2,842,3.2,2025-04-09 13:30:00+00:00
1744209600000,3.1195,3.1195,3.1195,1,3.1195,181,3.1195,2025-04-09 14:40:00+00:00
1744212120000,3.02,3.02,3.02,3,3.02,236,3.02,2025-04-09 15:22:00+00:00
1744212600000,3.32,3.32,3.32,1,3.32,104,3.32,2025-04-09 15:30:00+00:00
1744213740000,3.0109,3.0109,3.0109,2,3.0109,269,3.0109,2025-04-09 15:49:00+00:00
1744214340000,3.01,3.01,3.01,7,3.01,300,3.01,2025-04-09 15:59:00+00:00
1744214640000,3.0342,3.0342,3.0342,2,3.0342,510,3.0342,2025-04-09 16:04:00+00:00
1744214940000,3.0212,3.0212,3.0212,1,3.0212,400,3.0212,2025-04-09 16:09:00+00:00
1744216620000,3.05,3.05,3.05,1,3.05,133,3.05,2025-04-09 16:37:00+00:00
1744217520000,3.05,3.05,3.05,1,3.05,100,3.05,2025-04-09 16:52:00+00:00
1744219560000,3.1,3.1,3.0999,2,3.0999,1100,3.099909,2025-04-09 17:26:00+00:00
1744221780000,3.41,3.41,3.41,6,3.41,517,3.41,2025-04-09 18:03:00+00:00
1744222740000,3.3612,3.3612,3.3612,2,3.3612,268,3.3612,2025-04-09 18:19:00+00:00
1744223640000,3.27,3.27,3.27,2,3.27,175,3.27,2025-04-09 18:34:00+00:00
1744224840000,3.43,3.43,3.43,2,3.43,101,3.43,2025-04-09 18:54:00+00:00
1744224900000,3.5456,3.5456,3.5456,5,3.5456,346,3.5456,2025-04-09 18:55:00+00:00
1744291800000,3.18,3.18,3.18,11,3.18,1116,3.18,2025-04-10 13:30:00+00:00
1744291920000,3.2301,3.2301,3.2301,1,3.2301,110,3.2301,2025-04-10 13:32:00+00:00
1744294260000,3.2582,3.2582,3.2582,1,3.2582,203,3.2582,2025-04-10 14:11:00+00:00
1744295460000,3.315,3.315,3.315,2,3.315,396,3.315,2025-04-10 14:31:00+00:00
1744299900000,3.315,3.315,3.24,5,3.24,1620,3.31028,2025-04-10 15:45:00+00:00
1744300260000,3.23,3.2302,3.23,4,3.2302,400,3.230079,2025-04-10 15:51:00+00:00
1744300320000,3.14,3.18,3.14,4,3.18,302,3.156129,2025-04-10 15:52:00+00:00
1744301820000,3.1236,3.1236,3.1236,1,3.1236,100,3.1236,2025-04-10 16:17:00+00:00
1744301880000,3.1465,3.1465,3.1465,3,3.1465,258,3.1465,2025-04-10 16:18:00+00:00
1744306800000,3.24,3.24,3.24,1,3.24,100,3.24,2025-04-10 17:40:00+00:00
1744378620000,3.11,3.11,3.11,2,3.11,254,3.11,2025-04-11 13:37:00+00:00
1744379760000,3.1626,3.1705,3.1626,3,3.1705,1000,3.16556,2025-04-11 13:56:00+00:00
1744386060000,3.2212,3.2212,3.2212,2,3.2212,108,3.2212,2025-04-11 15:41:00+00:00
