timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747751640000,1.01,1.01,1.01,3,1.01,102,1.01,2025-05-20 14:34:00+00:00
1747755240000,1.02,1.02,1.02,4,1.02,172,1.02,2025-05-20 15:34:00+00:00
1747761480000,1.0001,1.0036,1.0,13,1.0036,4677,1.00119,2025-05-20 17:18:00+00:00
1747761540000,1.0001,1.007,1.0,4,1.0001,1600,1.0018,2025-05-20 17:19:00+00:00
1747770600000,0.99,0.99,0.99,3,0.99,440,0.99,2025-05-20 19:50:00+00:00
1747771200000,1.01,1.01,1.01,1,1.01,260,1.01,2025-05-20 20:00:00+00:00
1747834200000,0.9124,0.9124,0.9124,4,0.9124,161,0.9124,2025-05-21 13:30:00+00:00
1747834680000,1.01,1.01,1.01,1,1.01,289,1.01,2025-05-21 13:38:00+00:00
1747835160000,1.01,1.01,1.01,1,1.01,200,1.01,2025-05-21 13:46:00+00:00
1747838580000,0.9609,0.9609,0.9609,2,0.9609,106,0.9609,2025-05-21 14:43:00+00:00
1747840200000,0.9999,0.9999,0.9998,8,0.9998,1008,0.999833,2025-05-21 15:10:00+00:00
1747840260000,0.983,0.983,0.983,2,0.983,224,0.983,2025-05-21 15:11:00+00:00
1747840440000,1.0,1.0,1.0,1,1.0,497,1.0,2025-05-21 15:14:00+00:00
1747842000000,0.966,0.966,0.966,1,0.966,100,0.966,2025-05-21 15:40:00+00:00
1747842300000,0.966,0.983,0.966,4,0.983,355,0.978184,2025-05-21 15:45:00+00:00
1747857000000,0.966,0.966,0.966,2,0.966,301,0.966,2025-05-21 19:50:00+00:00
1747857240000,0.97,0.97,0.97,3,0.97,153,0.97,2025-05-21 19:54:00+00:00
1747857300000,0.99,0.99,0.99,7,0.99,310,0.99,2025-05-21 19:55:00+00:00
1747857360000,0.99,0.99,0.99,4,0.99,150,0.99,2025-05-21 19:56:00+00:00
1747857420000,0.9835,0.9835,0.9835,2,0.9835,208,0.9835,2025-05-21 19:57:00+00:00
1747857480000,0.9801,0.9999,0.98,10,0.98,1200,0.988167,2025-05-21 19:58:00+00:00
1747857540000,0.98,0.9801,0.98,6,0.98,1000,0.980042,2025-05-21 19:59:00+00:00
1747922640000,0.99,0.99,0.9899,3,0.9899,500,0.98996,2025-05-22 14:04:00+00:00
1747922820000,0.98,0.98,0.98,1,0.98,100,0.98,2025-05-22 14:07:00+00:00
1747922880000,0.99,0.99,0.99,2,0.99,120,0.99,2025-05-22 14:08:00+00:00
1747923300000,0.9801,0.9801,0.9801,1,0.9801,100,0.9801,2025-05-22 14:15:00+00:00
1747924020000,0.985,0.985,0.985,1,0.985,100,0.985,2025-05-22 14:27:00+00:00
1747926060000,0.99,0.99,0.99,1,0.99,100,0.99,2025-05-22 15:01:00+00:00
1747926300000,0.9899,0.9899,0.9899,1,0.9899,1000,0.9899,2025-05-22 15:05:00+00:00
1747926420000,0.99,0.99,0.99,4,0.99,735,0.99,2025-05-22 15:07:00+00:00
1747927440000,1.01,1.01,1.01,1,1.01,100,1.01,2025-05-22 15:24:00+00:00
1747927860000,1.0136,1.015,1.01,9,1.015,1907,1.011879,2025-05-22 15:31:00+00:00
1747928580000,1.16,1.16,1.0198,30,1.0198,5261,1.032621,2025-05-22 15:43:00+00:00
1747929240000,1.1,1.1,1.1,1,1.1,200,1.1,2025-05-22 15:54:00+00:00
1747930740000,1.0408,1.0408,1.0408,1,1.0408,497,1.0408,2025-05-22 16:19:00+00:00
1747931280000,1.05,1.05,1.05,2,1.05,101,1.05,2025-05-22 16:28:00+00:00
1747932000000,1.0932,1.0932,1.0932,1,1.0932,100,1.0932,2025-05-22 16:40:00+00:00
1747933140000,1.0701,1.0711,1.07,7,1.071,1200,1.070873,2025-05-22 16:59:00+00:00
1747940940000,0.99,0.99,0.99,1,0.99,100,0.99,2025-05-22 19:09:00+00:00
1747943760000,1.005,1.005,1.005,1,1.005,1000,1.005,2025-05-22 19:56:00+00:00
1748007000000,1.07,1.15,1.0,11,1.0,1521,1.119471,2025-05-23 13:30:00+00:00
1748007780000,0.985,0.985,0.985,1,0.985,126,0.985,2025-05-23 13:43:00+00:00
1748009100000,0.9971,1.0,0.9961,9,0.9961,596,0.99862,2025-05-23 14:05:00+00:00
1748011980000,1.04,1.05,1.04,9,1.05,501,1.045,2025-05-23 14:53:00+00:00
1748012580000,1.08,1.08,1.08,1,1.08,256,1.08,2025-05-23 15:03:00+00:00
1748012640000,1.06,1.06,1.06,1,1.06,100,1.06,2025-05-23 15:04:00+00:00
