timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757431560000,26.865,26.98,26.865,20,26.95,4784,26.924867,2025-09-09 15:26:00+00:00
1757431620000,26.98,26.98,26.97,9,26.97,514,26.976678,2025-09-09 15:27:00+00:00
1757431680000,26.94,26.98,26.91,18,26.91,4032,26.970051,2025-09-09 15:28:00+00:00
1757431740000,26.98,26.98,26.9,11,26.9,976,26.955034,2025-09-09 15:29:00+00:00
1757431860000,27.46,27.48,26.91,342,26.98,126229,27.033067,2025-09-09 15:31:00+00:00
1757431920000,27.4183,27.5,27.4183,4,27.5,1515,27.44577,2025-09-09 15:32:00+00:00
1757431980000,27.52,27.66,27.1,40,27.5,2691,27.362389,2025-09-09 15:33:00+00:00
1757432100000,27.62,27.62,27.525,7,27.525,941,27.562109,2025-09-09 15:35:00+00:00
1757432280000,28.17,28.17,27.8,47,27.8,5848,28.028043,2025-09-09 15:38:00+00:00
1757432400000,28.99,29.0,28.25,61,28.25,6171,28.899903,2025-09-09 15:40:00+00:00
1757432460000,29.3,29.3,29.0,16,29.0,1293,29.061728,2025-09-09 15:41:00+00:00
1757432520000,29.9,29.9,29.48,25,29.48,2531,29.647499,2025-09-09 15:42:00+00:00
1757432580000,30.6753,30.6753,29.86,58,29.87,4566,30.095544,2025-09-09 15:43:00+00:00
1757432640000,29.52,30.25,29.49,38,30.25,4988,30.096331,2025-09-09 15:44:00+00:00
1757432700000,28.74,29.52,28.74,152,29.305,14993,29.171387,2025-09-09 15:45:00+00:00
1757432760000,29.37,29.37,28.6,20,28.6,1995,29.024482,2025-09-09 15:46:00+00:00
1757432820000,30.47,30.47,29.45,12,29.45,2983,30.154348,2025-09-09 15:47:00+00:00
1757432880000,29.9038,29.9038,29.9038,4,29.9038,1912,29.9038,2025-09-09 15:48:00+00:00
1757432940000,30.28,30.28,30.22,5,30.22,560,30.25,2025-09-09 15:49:00+00:00
1757433000000,30.26,30.26,30.26,5,30.26,510,30.26,2025-09-09 15:50:00+00:00
1757433060000,30.66,30.66,30.66,2,30.66,117,30.66,2025-09-09 15:51:00+00:00
1757433120000,30.1101,30.2319,30.11,6,30.11,431,30.1405,2025-09-09 15:52:00+00:00
1757433180000,30.5229,30.5229,30.5229,2,30.5229,105,30.5229,2025-09-09 15:53:00+00:00
1757433420000,30.18,30.29,30.18,8,30.29,1854,30.198667,2025-09-09 15:57:00+00:00
1757433480000,30.67,30.67,30.66,11,30.66,437,30.665,2025-09-09 15:58:00+00:00
1757433600000,30.6,30.74,30.6,13,30.74,517,30.66875,2025-09-09 16:00:00+00:00
1757433960000,31.08,31.08,31.08,6,31.08,316,31.08,2025-09-09 16:06:00+00:00
1757434080000,31.7697,32.0,31.18,26,31.18,2410,31.792767,2025-09-09 16:08:00+00:00
1757434140000,31.9071,31.9071,31.9071,4,31.9071,254,31.9071,2025-09-09 16:09:00+00:00
1757434200000,31.33,31.33,31.33,10,31.33,198,31.33,2025-09-09 16:10:00+00:00
1757434260000,31.57,31.57,31.57,2,31.57,276,31.57,2025-09-09 16:11:00+00:00
1757434320000,32.5,32.5,31.97,23,31.97,7355,32.013531,2025-09-09 16:12:00+00:00
1757434380000,32.5,32.5,32.5,18,32.5,501,32.5,2025-09-09 16:13:00+00:00
1757434500000,32.23,32.23,32.23,6,32.23,246,32.23,2025-09-09 16:15:00+00:00
