timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756821180000,1517.15,1517.15,1517.15,73,1517.15,929,1517.15,2025-09-02 13:53:00+00:00
1756821300000,1515.85,1515.85,1515.85,36,1515.85,260,1515.85,2025-09-02 13:55:00+00:00
1756821480000,1516.03,1516.03,1516.03,60,1516.03,616,1516.03,2025-09-02 13:58:00+00:00
1756821540000,1517.51,1517.51,1517.51,31,1517.51,287,1517.51,2025-09-02 13:59:00+00:00
1756821600000,1519.82,1519.82,1519.0,125,1519.0,2371,1519.205,2025-09-02 14:00:00+00:00
1756821660000,1519.885,1519.885,1519.34,119,1519.34,2681,1519.752692,2025-09-02 14:01:00+00:00
1756821720000,1519.85,1520.85,1519.12,126,1519.885,3256,1519.837222,2025-09-02 14:02:00+00:00
1756821840000,1522.91,1522.91,1522.91,78,1522.91,597,1522.91,2025-09-02 14:04:00+00:00
1756821900000,1517.11,1520.2,1517.07,90,1520.2,1634,1518.368571,2025-09-02 14:05:00+00:00
1756821960000,1514.01,1518.8899,1511.515,90,1516.57,1760,1515.756688,2025-09-02 14:06:00+00:00
1756822080000,1513.0,1513.0,1512.88,120,1512.88,1181,1512.96,2025-09-02 14:08:00+00:00
1756822200000,1512.17,1512.17,1512.17,44,1512.17,297,1512.17,2025-09-02 14:10:00+00:00
1756822440000,1512.26,1512.26,1512.25,62,1512.25,1167,1512.255714,2025-09-02 14:14:00+00:00
1756822740000,1513.64,1513.69,1512.16,50,1512.41,792,1512.975,2025-09-02 14:19:00+00:00
1756822920000,1512.48,1512.48,1512.48,34,1512.48,623,1512.48,2025-09-02 14:22:00+00:00
1756822980000,1510.89,1512.48,1510.07,129,1510.98,2766,1511.426818,2025-09-02 14:23:00+00:00
1756823040000,1510.07,1510.07,1510.07,75,1510.07,584,1510.07,2025-09-02 14:24:00+00:00
1756823100000,1507.15,1509.4,1507.15,87,1509.4,1094,1507.90614,2025-09-02 14:25:00+00:00
1756823460000,1504.93,1506.21,1504.93,124,1506.21,2002,1505.612,2025-09-02 14:31:00+00:00
1756823520000,1504.69,1504.69,1504.69,86,1504.69,698,1504.69,2025-09-02 14:32:00+00:00
1756823640000,1504.03,1504.03,1504.03,29,1504.03,169,1504.03,2025-09-02 14:34:00+00:00
1756823940000,1503.145,1503.46,1503.145,55,1503.46,491,1503.3025,2025-09-02 14:39:00+00:00
1756824000000,1501.64,1501.64,1501.64,89,1501.64,900,1501.64,2025-09-02 14:40:00+00:00
1756824060000,1503.33,1503.33,1503.33,73,1503.33,588,1503.33,2025-09-02 14:41:00+00:00
1756824120000,1502.015,1502.685,1502.015,39,1502.255,886,1502.358432,2025-09-02 14:42:00+00:00
1756824180000,1501.04,1501.73,1500.0,167,1501.165,2421,1500.783223,2025-09-02 14:43:00+00:00
1756824360000,1499.0092,1499.0092,1499.0092,62,1499.0092,775,1499.0092,2025-09-02 14:46:00+00:00
1756824420000,1495.54,1495.54,1494.08,93,1494.08,1595,1495.22623,2025-09-02 14:47:00+00:00
1756824720000,1495.26,1495.26,1495.26,16,1495.26,160,1495.26,2025-09-02 14:52:00+00:00
