timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757525160000,5.485,5.5638,5.4,34,5.52,5940,5.483799,2025-09-10 17:26:00+00:00
1757525460000,5.45,5.45,5.45,8,5.45,673,5.45,2025-09-10 17:31:00+00:00
1757525520000,5.505,5.505,5.505,2,5.505,105,5.505,2025-09-10 17:32:00+00:00
1757525580000,5.505,5.505,5.505,2,5.505,160,5.505,2025-09-10 17:33:00+00:00
1757525640000,5.5374,5.5374,5.5374,1,5.5374,950,5.5374,2025-09-10 17:34:00+00:00
1757525700000,5.5081,5.5081,5.495,5,5.495,1553,5.496658,2025-09-10 17:35:00+00:00
1757525760000,5.5081,5.5881,5.5,4,5.5881,746,5.564914,2025-09-10 17:36:00+00:00
1757525880000,5.495,5.495,5.495,4,5.495,107,5.495,2025-09-10 17:38:00+00:00
1757526180000,5.4595,5.4595,5.4595,1,5.4595,220,5.4595,2025-09-10 17:43:00+00:00
1757526300000,5.5356,5.5356,5.5356,1,5.5356,180,5.5356,2025-09-10 17:45:00+00:00
1757527380000,5.5029,5.55,5.4749,5,5.475,981,5.500175,2025-09-10 18:03:00+00:00
1757527560000,5.41,5.475,5.41,5,5.475,400,5.438333,2025-09-10 18:06:00+00:00
1757527800000,5.55,5.55,5.55,1,5.55,270,5.55,2025-09-10 18:10:00+00:00
1757528040000,5.4,5.4,5.4,1,5.4,100,5.4,2025-09-10 18:14:00+00:00
1757529000000,5.48,5.48,5.48,5,5.48,222,5.48,2025-09-10 18:30:00+00:00
1757529180000,5.49,5.49,5.421,2,5.421,250,5.4486,2025-09-10 18:33:00+00:00
1757529300000,5.41,5.41,5.41,2,5.41,284,5.41,2025-09-10 18:35:00+00:00
1757529720000,5.5,5.5,5.5,1,5.5,500,5.5,2025-09-10 18:42:00+00:00
1757529780000,5.48,5.48,5.48,1,5.48,100,5.48,2025-09-10 18:43:00+00:00
1757529900000,5.48,5.48,5.48,2,5.48,170,5.48,2025-09-10 18:45:00+00:00
1757531400000,5.48,5.48,5.48,1,5.48,300,5.48,2025-09-10 19:10:00+00:00
1757531580000,5.47,5.47,5.47,1,5.47,200,5.47,2025-09-10 19:13:00+00:00
1757532060000,5.48,5.48,5.48,2,5.48,101,5.48,2025-09-10 19:21:00+00:00
1757532720000,5.46,5.46,5.46,1,5.46,100,5.46,2025-09-10 19:32:00+00:00
1757532960000,5.5132,5.5132,5.5132,4,5.5132,351,5.5132,2025-09-10 19:36:00+00:00
1757533080000,5.48,5.48,5.48,1,5.48,100,5.48,2025-09-10 19:38:00+00:00
1757533140000,5.5553,5.5553,5.5553,1,5.5553,625,5.5553,2025-09-10 19:39:00+00:00
1757533260000,5.46,5.54,5.46,3,5.54,1100,5.494,2025-09-10 19:41:00+00:00
1757533500000,5.48,5.48,5.48,1,5.48,100,5.48,2025-09-10 19:45:00+00:00
1757534040000,5.55,5.56,5.54,15,5.55,1690,5.55,2025-09-10 19:54:00+00:00
