timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758123720000,2.32,2.32,2.32,2,2.32,108,2.32,2025-09-17 15:42:00+00:00
1758124140000,2.32,2.32,2.31,5,2.31,606,2.318333,2025-09-17 15:49:00+00:00
1758124260000,2.32,2.32,2.32,2,2.32,296,2.32,2025-09-17 15:51:00+00:00
1758124380000,2.32,2.32,2.31,3,2.31,325,2.316667,2025-09-17 15:53:00+00:00
1758124560000,2.32,2.32,2.32,1,2.32,100,2.32,2025-09-17 15:56:00+00:00
1758124680000,2.29,2.3,2.29,27,2.3,1797,2.291837,2025-09-17 15:58:00+00:00
1758124800000,2.31,2.31,2.31,1,2.31,500,2.31,2025-09-17 16:00:00+00:00
1758125460000,2.315,2.315,2.315,4,2.315,205,2.315,2025-09-17 16:11:00+00:00
1758125520000,2.29,2.3,2.29,3,2.3,258,2.295,2025-09-17 16:12:00+00:00
1758125760000,2.32,2.32,2.32,1,2.32,818,2.32,2025-09-17 16:16:00+00:00
1758125940000,2.315,2.315,2.315,1,2.315,100,2.315,2025-09-17 16:19:00+00:00
1758126000000,2.315,2.315,2.315,3,2.315,103,2.315,2025-09-17 16:20:00+00:00
1758126180000,2.32,2.32,2.32,7,2.32,1006,2.32,2025-09-17 16:23:00+00:00
1758126540000,2.315,2.315,2.315,1,2.315,100,2.315,2025-09-17 16:29:00+00:00
1758126600000,2.315,2.315,2.315,1,2.315,100,2.315,2025-09-17 16:30:00+00:00
1758126780000,2.315,2.315,2.315,1,2.315,100,2.315,2025-09-17 16:33:00+00:00
1758127020000,2.315,2.315,2.315,1,2.315,100,2.315,2025-09-17 16:37:00+00:00
1758127140000,2.3,2.3,2.3,1,2.3,100,2.3,2025-09-17 16:39:00+00:00
1758127320000,2.315,2.315,2.315,2,2.315,542,2.315,2025-09-17 16:42:00+00:00
1758127440000,2.32,2.32,2.3,4,2.31,360,2.31,2025-09-17 16:44:00+00:00
1758127740000,2.34,2.34,2.32,3,2.32,900,2.335556,2025-09-17 16:49:00+00:00
1758127920000,2.32,2.32,2.32,1,2.32,100,2.32,2025-09-17 16:52:00+00:00
1758128040000,2.26,2.31,2.26,23,2.31,3004,2.289239,2025-09-17 16:54:00+00:00
1758128160000,2.3,2.31,2.2998,14,2.2998,5865,2.301194,2025-09-17 16:56:00+00:00
1758128280000,2.27,2.29,2.26,11,2.28,1016,2.27488,2025-09-17 16:58:00+00:00
1758128700000,2.3399,2.3399,2.28,17,2.28,1700,2.306188,2025-09-17 17:05:00+00:00
1758129000000,2.31,2.31,2.31,1,2.31,100,2.31,2025-09-17 17:10:00+00:00
1758129180000,2.31,2.31,2.31,1,2.31,108,2.31,2025-09-17 17:13:00+00:00
1758129540000,2.31,2.31,2.31,1,2.31,100,2.31,2025-09-17 17:19:00+00:00
1758129660000,2.2801,2.2801,2.2801,1,2.2801,1949,2.2801,2025-09-17 17:21:00+00:00
1758129840000,2.315,2.315,2.2901,4,2.2901,974,2.292687,2025-09-17 17:24:00+00:00
1758129960000,2.33,2.33,2.33,1,2.33,601,2.33,2025-09-17 17:26:00+00:00
1758130080000,2.3349,2.3349,2.3349,1,2.3349,156,2.3349,2025-09-17 17:28:00+00:00
1758130140000,2.31,2.31,2.31,2,2.31,105,2.31,2025-09-17 17:29:00+00:00
1758130200000,2.31,2.31,2.31,1,2.31,200,2.31,2025-09-17 17:30:00+00:00
1758130440000,2.31,2.31,2.31,2,2.31,200,2.31,2025-09-17 17:34:00+00:00
1758130560000,2.28,2.31,2.28,7,2.31,613,2.287042,2025-09-17 17:36:00+00:00
1758130740000,2.31,2.31,2.31,1,2.31,110,2.31,2025-09-17 17:39:00+00:00
1758131220000,2.31,2.31,2.31,1,2.31,100,2.31,2025-09-17 17:47:00+00:00
1758131760000,2.31,2.31,2.31,1,2.31,100,2.31,2025-09-17 17:56:00+00:00
1758131820000,2.29,2.32,2.28,8,2.28,1029,2.310783,2025-09-17 17:57:00+00:00
