timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758547800000,1.58,1.585,1.57,40,1.57,16767,1.571523,2025-09-22 13:30:00+00:00
1758547860000,1.5706,1.5844,1.5706,4,1.5844,5918,1.582287,2025-09-22 13:31:00+00:00
1758548040000,1.585,1.585,1.585,1,1.585,500,1.585,2025-09-22 13:34:00+00:00
1758548280000,1.56,1.5804,1.56,18,1.58,4405,1.57148,2025-09-22 13:38:00+00:00
1758548340000,1.5588,1.5588,1.5588,2,1.5588,265,1.5588,2025-09-22 13:39:00+00:00
1758548400000,1.56,1.56,1.55,22,1.55,1920,1.551339,2025-09-22 13:40:00+00:00
1758548460000,1.55,1.56,1.55,23,1.56,1433,1.558333,2025-09-22 13:41:00+00:00
1758548520000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-22 13:42:00+00:00
1758548580000,1.54,1.55,1.54,4,1.55,1108,1.548182,2025-09-22 13:43:00+00:00
1758548640000,1.545,1.545,1.545,3,1.545,120,1.545,2025-09-22 13:44:00+00:00
1758548760000,1.5412,1.5412,1.5412,1,1.5412,2243,1.5412,2025-09-22 13:46:00+00:00
1758548820000,1.545,1.545,1.545,6,1.545,1882,1.545,2025-09-22 13:47:00+00:00
1758548880000,1.5401,1.5401,1.5401,4,1.5401,563,1.5401,2025-09-22 13:48:00+00:00
1758549240000,1.5499,1.5499,1.5401,5,1.5401,15018,1.541339,2025-09-22 13:54:00+00:00
1758549360000,1.5498,1.5498,1.5498,2,1.5498,580,1.5498,2025-09-22 13:56:00+00:00
1758549420000,1.55,1.55,1.545,6,1.545,389,1.546667,2025-09-22 13:57:00+00:00
1758549540000,1.56,1.56,1.55,47,1.55,18012,1.550262,2025-09-22 13:59:00+00:00
1758549900000,1.57,1.57,1.57,1,1.57,636,1.57,2025-09-22 14:05:00+00:00
1758549960000,1.5798,1.5798,1.57,3,1.57,1645,1.575972,2025-09-22 14:06:00+00:00
1758550020000,1.5699,1.5699,1.5699,5,1.5699,650,1.5699,2025-09-22 14:07:00+00:00
1758550080000,1.575,1.575,1.57,14,1.57,7797,1.570067,2025-09-22 14:08:00+00:00
1758550140000,1.57,1.5794,1.57,2,1.5794,240,1.575483,2025-09-22 14:09:00+00:00
1758550200000,1.575,1.575,1.575,3,1.575,263,1.575,2025-09-22 14:10:00+00:00
1758550320000,1.58,1.59,1.575,6,1.575,997,1.583889,2025-09-22 14:12:00+00:00
1758550380000,1.574,1.58,1.57,4,1.57,501,1.5736,2025-09-22 14:13:00+00:00
1758550440000,1.577,1.58,1.577,3,1.58,380,1.578417,2025-09-22 14:14:00+00:00
1758550500000,1.5886,1.5886,1.5886,2,1.5886,101,1.5886,2025-09-22 14:15:00+00:00
1758550560000,1.59,1.59,1.59,2,1.59,301,1.59,2025-09-22 14:16:00+00:00
1758550620000,1.5898,1.59,1.589,3,1.59,900,1.589533,2025-09-22 14:17:00+00:00
1758550860000,1.59,1.59,1.59,9,1.59,1300,1.59,2025-09-22 14:21:00+00:00
