timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,1.47,1.47,1.47,1,1.47,1360,1.47,2025-09-15 13:30:00+00:00
1757943780000,1.4912,1.4997,1.4912,2,1.4997,442,1.495373,2025-09-15 13:43:00+00:00
1757944320000,1.49,1.49,1.49,1,1.49,500,1.49,2025-09-15 13:52:00+00:00
1757944380000,1.4811,1.4811,1.4811,1,1.4811,300,1.4811,2025-09-15 13:53:00+00:00
1757944620000,1.48,1.48,1.48,1,1.48,1038,1.48,2025-09-15 13:57:00+00:00
1757947620000,1.48,1.48,1.48,1,1.48,1000,1.48,2025-09-15 14:47:00+00:00
1757947740000,1.4729,1.4729,1.4729,1,1.4729,878,1.4729,2025-09-15 14:49:00+00:00
1757948940000,1.47,1.47,1.47,15,1.47,843,1.47,2025-09-15 15:09:00+00:00
1757949240000,1.47,1.47,1.47,10,1.47,385,1.47,2025-09-15 15:14:00+00:00
1757949780000,1.47,1.47,1.47,1,1.47,181,1.47,2025-09-15 15:23:00+00:00
1757949900000,1.47,1.47,1.47,1,1.47,100,1.47,2025-09-15 15:25:00+00:00
1757950740000,1.46,1.46,1.46,5,1.46,371,1.46,2025-09-15 15:39:00+00:00
1757951400000,1.4558,1.4558,1.4558,1,1.4558,107,1.4558,2025-09-15 15:50:00+00:00
1757951760000,1.4671,1.4671,1.45,27,1.46,5486,1.451073,2025-09-15 15:56:00+00:00
1757952480000,1.44,1.45,1.44,7,1.45,1092,1.442726,2025-09-15 16:08:00+00:00
1757953080000,1.43,1.43,1.42,10,1.43,2787,1.42168,2025-09-15 16:18:00+00:00
1757953980000,1.41,1.41,1.41,1,1.41,100,1.41,2025-09-15 16:33:00+00:00
1757955780000,1.4295,1.4295,1.4295,1,1.4295,2200,1.4295,2025-09-15 17:03:00+00:00
1757956440000,1.43,1.43,1.43,7,1.43,441,1.43,2025-09-15 17:14:00+00:00
1757956800000,1.42,1.42,1.42,1,1.42,754,1.42,2025-09-15 17:20:00+00:00
1757957940000,1.4224,1.4224,1.4224,1,1.4224,100,1.4224,2025-09-15 17:39:00+00:00
