timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757340120000,0.8261,0.8261,0.8261,3,0.8261,502,0.8261,2025-09-08 14:02:00+00:00
1757340180000,0.8265,0.8265,0.8265,1,0.8265,2860,0.8265,2025-09-08 14:03:00+00:00
1757341560000,0.8145,0.8328,0.8145,20,0.8292,12872,0.829978,2025-09-08 14:26:00+00:00
1757341680000,0.8217,0.8217,0.8217,2,0.8217,202,0.8217,2025-09-08 14:28:00+00:00
1757341920000,0.8217,0.8217,0.8216,5,0.8217,500,0.82166,2025-09-08 14:32:00+00:00
1757342460000,0.8217,0.8217,0.8217,4,0.8217,10224,0.8217,2025-09-08 14:41:00+00:00
1757342520000,0.8204,0.8204,0.8204,1,0.8204,1000,0.8204,2025-09-08 14:42:00+00:00
1757342580000,0.8201,0.8201,0.8201,2,0.8201,200,0.8201,2025-09-08 14:43:00+00:00
1757343600000,0.8217,0.8217,0.8217,1,0.8217,110,0.8217,2025-09-08 15:00:00+00:00
1757343840000,0.82,0.82,0.82,1,0.82,100,0.82,2025-09-08 15:04:00+00:00
1757345880000,0.82,0.82,0.82,2,0.82,1252,0.82,2025-09-08 15:38:00+00:00
1757346480000,0.8234,0.8234,0.8234,1,0.8234,170,0.8234,2025-09-08 15:48:00+00:00
1757348640000,0.8296,0.8296,0.8233,18,0.8234,7600,0.825328,2025-09-08 16:24:00+00:00
1757349060000,0.8201,0.8201,0.8201,1,0.8201,170,0.8201,2025-09-08 16:31:00+00:00
1757350320000,0.8125,0.8219,0.8125,13,0.8219,682,0.818948,2025-09-08 16:52:00+00:00
1757350380000,0.8113,0.8125,0.8112,5,0.8113,493,0.811575,2025-09-08 16:53:00+00:00
1757351700000,0.8151,0.8151,0.8151,2,0.8151,505,0.8151,2025-09-08 17:15:00+00:00
1757353020000,0.8129,0.8129,0.8129,1,0.8129,5000,0.8129,2025-09-08 17:37:00+00:00
1757356260000,0.8129,0.8129,0.8129,1,0.8129,100,0.8129,2025-09-08 18:31:00+00:00
1757356320000,0.8212,0.8212,0.8212,1,0.8212,3000,0.8212,2025-09-08 18:32:00+00:00
1757357100000,0.8128,0.8175,0.8128,6,0.8175,391,0.814513,2025-09-08 18:45:00+00:00
1757357940000,0.8222,0.8222,0.8222,1,0.8222,2219,0.8222,2025-09-08 18:59:00+00:00
1757358000000,0.8222,0.8222,0.8222,12,0.8222,1190,0.8222,2025-09-08 19:00:00+00:00
1757358360000,0.8134,0.8134,0.8134,1,0.8134,100,0.8134,2025-09-08 19:06:00+00:00
1757360700000,0.8371,0.84,0.8286,30,0.8294,3628,0.8326,2025-09-08 19:45:00+00:00
1757360760000,0.844,0.844,0.844,1,0.844,1000,0.844,2025-09-08 19:46:00+00:00
1757361180000,0.8429,0.8429,0.8429,1,0.8429,1200,0.8429,2025-09-08 19:53:00+00:00
1757361240000,0.839,0.839,0.839,2,0.839,104,0.839,2025-09-08 19:54:00+00:00
1757361600000,0.8422,0.8422,0.8422,1,0.8422,318,0.8422,2025-09-08 20:00:00+00:00
1757424600000,0.8665,0.8665,0.8665,1,0.8665,107,0.8665,2025-09-09 13:30:00+00:00
1757424780000,0.8807,0.8807,0.8807,4,0.8807,1032,0.8807,2025-09-09 13:33:00+00:00
1757424900000,0.8799,0.8799,0.8799,2,0.8799,1080,0.8799,2025-09-09 13:35:00+00:00
1757425680000,0.8799,0.8799,0.8799,1,0.8799,5000,0.8799,2025-09-09 13:48:00+00:00
1757425740000,0.8575,0.8575,0.8575,2,0.8575,1063,0.8575,2025-09-09 13:49:00+00:00
1757425920000,0.8749,0.8749,0.8749,1,0.8749,440,0.8749,2025-09-09 13:52:00+00:00
1757425980000,0.8735,0.8735,0.8701,3,0.8701,201,0.8718,2025-09-09 13:53:00+00:00
1757426580000,0.8687,0.87,0.8687,3,0.87,2419,0.868888,2025-09-09 14:03:00+00:00
1757426640000,0.8337,0.8549,0.8153,69,0.8502,26047,0.840269,2025-09-09 14:04:00+00:00
1757426700000,0.8267,0.8306,0.8267,5,0.8306,450,0.82805,2025-09-09 14:05:00+00:00
1757426760000,0.8249,0.8261,0.8249,7,0.8253,682,0.825233,2025-09-09 14:06:00+00:00
1757426880000,0.8253,0.8253,0.8253,7,0.8253,889,0.8253,2025-09-09 14:08:00+00:00
1757426940000,0.8253,0.8253,0.8253,2,0.8253,239,0.8253,2025-09-09 14:09:00+00:00
1757427480000,0.8253,0.8253,0.8253,5,0.8253,7634,0.8253,2025-09-09 14:18:00+00:00
1757427600000,0.8296,0.8296,0.8296,1,0.8296,1000,0.8296,2025-09-09 14:20:00+00:00
1757427660000,0.8196,0.8196,0.8196,1,0.8196,2000,0.8196,2025-09-09 14:21:00+00:00
1757428080000,0.8036,0.8301,0.8036,25,0.8301,34298,0.814622,2025-09-09 14:28:00+00:00
1757428140000,0.8087,0.8087,0.8087,1,0.8087,100,0.8087,2025-09-09 14:29:00+00:00
1757428260000,0.8138,0.8138,0.8137,4,0.8137,211,0.81375,2025-09-09 14:31:00+00:00
1757428440000,0.8035,0.81,0.8035,5,0.81,10000,0.804025,2025-09-09 14:34:00+00:00
1757428560000,0.8139,0.8139,0.8139,1,0.8139,1000,0.8139,2025-09-09 14:36:00+00:00
1757428620000,0.8035,0.8039,0.8035,3,0.8039,10299,0.803892,2025-09-09 14:37:00+00:00
1757428800000,0.7913,0.8041,0.7913,35,0.8041,14528,0.799599,2025-09-09 14:40:00+00:00
1757428860000,0.793,0.793,0.793,3,0.793,601,0.793,2025-09-09 14:41:00+00:00
1757428920000,0.79,0.793,0.79,4,0.793,620,0.792069,2025-09-09 14:42:00+00:00
1757429160000,0.7915,0.7915,0.7915,3,0.7915,1501,0.7915,2025-09-09 14:46:00+00:00
1757430000000,0.7976,0.7976,0.7976,1,0.7976,500,0.7976,2025-09-09 15:00:00+00:00
1757430060000,0.7976,0.7998,0.7976,3,0.7995,500,0.79842,2025-09-09 15:01:00+00:00
1757430240000,0.798,0.798,0.7951,5,0.7951,2202,0.797736,2025-09-09 15:04:00+00:00
1757430420000,0.7902,0.7902,0.7902,1,0.7902,225,0.7902,2025-09-09 15:07:00+00:00
1757430840000,0.7901,0.7901,0.7901,3,0.7901,106,0.7901,2025-09-09 15:14:00+00:00
1757431320000,0.7798,0.7911,0.7798,17,0.79,2305,0.782622,2025-09-09 15:22:00+00:00
1757431380000,0.7734,0.7763,0.7729,14,0.7732,1600,0.77352,2025-09-09 15:23:00+00:00
1757431440000,0.7718,0.7718,0.7717,4,0.7717,2102,0.771705,2025-09-09 15:24:00+00:00
1757431500000,0.7622,0.773,0.7622,27,0.7725,3833,0.770679,2025-09-09 15:25:00+00:00
1757431560000,0.7082,0.7622,0.7016,75,0.7622,20960,0.734275,2025-09-09 15:26:00+00:00
1757431620000,0.7549,0.7597,0.7251,33,0.7251,10102,0.736099,2025-09-09 15:27:00+00:00
1757431680000,0.7751,0.7751,0.7751,1,0.7751,200,0.7751,2025-09-09 15:28:00+00:00
1757431860000,0.7697,0.7697,0.7697,1,0.7697,200,0.7697,2025-09-09 15:31:00+00:00
1757431920000,0.7751,0.7751,0.7751,2,0.7751,201,0.7751,2025-09-09 15:32:00+00:00
1757432040000,0.7999,0.7999,0.7949,8,0.7999,10000,0.799525,2025-09-09 15:34:00+00:00
1757432100000,0.77,0.77,0.77,1,0.77,100,0.77,2025-09-09 15:35:00+00:00
1757432160000,0.7872,0.8,0.7872,45,0.7975,13436,0.79968,2025-09-09 15:36:00+00:00
1757433180000,0.7794,0.7794,0.7794,1,0.7794,973,0.7794,2025-09-09 15:53:00+00:00
1757433600000,0.7733,0.7733,0.7733,1,0.7733,1000,0.7733,2025-09-09 16:00:00+00:00
1757434320000,0.7865,0.7865,0.7865,5,0.7865,9625,0.7865,2025-09-09 16:12:00+00:00
1757434380000,0.761,0.7615,0.761,4,0.7615,203,0.76125,2025-09-09 16:13:00+00:00
1757435400000,0.7742,0.7742,0.7742,1,0.7742,200,0.7742,2025-09-09 16:30:00+00:00
1757435520000,0.7742,0.7742,0.7742,1,0.7742,200,0.7742,2025-09-09 16:32:00+00:00
1757436360000,0.776,0.776,0.776,1,0.776,100,0.776,2025-09-09 16:46:00+00:00
1757438940000,0.7676,0.7676,0.7676,1,0.7676,100,0.7676,2025-09-09 17:29:00+00:00
1757439780000,0.767,0.768,0.7652,49,0.7669,15700,0.765647,2025-09-09 17:43:00+00:00
1757440680000,0.7673,0.7673,0.7673,1,0.7673,100,0.7673,2025-09-09 17:58:00+00:00
1757440800000,0.7671,0.7671,0.7671,1,0.7671,133,0.7671,2025-09-09 18:00:00+00:00
1757442360000,0.7705,0.7705,0.7705,1,0.7705,100,0.7705,2025-09-09 18:26:00+00:00
1757443560000,0.7855,0.7855,0.775,7,0.7751,783,0.778803,2025-09-09 18:46:00+00:00
1757443980000,0.7712,0.7712,0.7712,1,0.7712,100,0.7712,2025-09-09 18:53:00+00:00
1757444760000,0.7711,0.7711,0.7711,1,0.7711,1000,0.7711,2025-09-09 19:06:00+00:00
1757444820000,0.7714,0.7714,0.7714,1,0.7714,100,0.7714,2025-09-09 19:07:00+00:00
1757444880000,0.779,0.779,0.779,1,0.779,1000,0.779,2025-09-09 19:08:00+00:00
1757444940000,0.7792,0.7816,0.7792,2,0.7816,2000,0.7804,2025-09-09 19:09:00+00:00
1757445180000,0.7791,0.7791,0.7791,1,0.7791,100,0.7791,2025-09-09 19:13:00+00:00
1757445420000,0.771,0.7723,0.771,5,0.7723,437,0.771306,2025-09-09 19:17:00+00:00
1757446500000,0.7705,0.7705,0.7705,1,0.7705,100,0.7705,2025-09-09 19:35:00+00:00
1757447220000,0.7788,0.7872,0.7788,9,0.7852,807,0.783914,2025-09-09 19:47:00+00:00
1757447280000,0.7726,0.787,0.7726,6,0.7859,804,0.784786,2025-09-09 19:48:00+00:00
1757447340000,0.7871,0.7871,0.7867,7,0.7867,402,0.786967,2025-09-09 19:49:00+00:00
