timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758636240000,10.27,10.27,10.225,20,10.225,997,10.246875,2025-09-23 14:04:00+00:00
1758636360000,10.2795,10.29,10.245,19,10.245,4687,10.257555,2025-09-23 14:06:00+00:00
1758636420000,10.395,10.395,10.28,49,10.2899,14255,10.291774,2025-09-23 14:07:00+00:00
1758636480000,10.55,10.55,10.43,15,10.44,1667,10.458906,2025-09-23 14:08:00+00:00
1758636660000,10.425,10.425,10.38,8,10.38,1178,10.420909,2025-09-23 14:11:00+00:00
1758636720000,10.4473,10.4473,10.4473,3,10.4473,1052,10.4473,2025-09-23 14:12:00+00:00
1758636780000,10.375,10.425,10.375,20,10.38,9987,10.418978,2025-09-23 14:13:00+00:00
1758636840000,10.37,10.3787,10.37,6,10.3787,562,10.371827,2025-09-23 14:14:00+00:00
1758636900000,10.31,10.4087,10.29,21,10.4087,2855,10.316251,2025-09-23 14:15:00+00:00
1758636960000,10.29,10.355,10.29,16,10.31,1441,10.314365,2025-09-23 14:16:00+00:00
1758637020000,10.459,10.459,10.375,6,10.375,4126,10.385422,2025-09-23 14:17:00+00:00
1758637080000,10.405,10.405,10.335,15,10.335,900,10.37,2025-09-23 14:18:00+00:00
1758637140000,10.415,10.415,10.415,11,10.415,513,10.415,2025-09-23 14:19:00+00:00
1758637200000,10.48,10.48,10.435,19,10.445,1510,10.447822,2025-09-23 14:20:00+00:00
1758637260000,10.505,10.54,10.48,12,10.48,597,10.514,2025-09-23 14:21:00+00:00
1758637320000,10.61,10.615,10.61,14,10.615,1698,10.611333,2025-09-23 14:22:00+00:00
1758637380000,10.66,10.66,10.66,6,10.66,147,10.66,2025-09-23 14:23:00+00:00
1758637440000,10.659,10.659,10.655,5,10.655,2819,10.655286,2025-09-23 14:24:00+00:00
1758637500000,10.6445,10.6445,10.6445,5,10.6445,293,10.6445,2025-09-23 14:25:00+00:00
1758637560000,10.62,10.63,10.62,13,10.63,2117,10.626232,2025-09-23 14:26:00+00:00
1758637740000,10.62,10.62,10.62,3,10.62,151,10.62,2025-09-23 14:29:00+00:00
1758637800000,10.62,10.62,10.62,1,10.62,100,10.62,2025-09-23 14:30:00+00:00
1758637920000,10.62,10.62,10.62,1,10.62,100,10.62,2025-09-23 14:32:00+00:00
1758637980000,10.62,10.62,10.62,1,10.62,100,10.62,2025-09-23 14:33:00+00:00
1758638100000,10.7045,10.7045,10.62,4,10.62,207,10.66225,2025-09-23 14:35:00+00:00
1758638160000,10.62,10.62,10.62,1,10.62,100,10.62,2025-09-23 14:36:00+00:00
1758638280000,10.62,10.62,10.62,7,10.62,251,10.62,2025-09-23 14:38:00+00:00
1758638340000,10.48,10.48,10.48,3,10.48,111,10.48,2025-09-23 14:39:00+00:00
1758638400000,10.6914,10.6914,10.6914,3,10.6914,310,10.6914,2025-09-23 14:40:00+00:00
1758638520000,10.6001,10.6001,10.6,3,10.6,260,10.60005,2025-09-23 14:42:00+00:00
1758638580000,10.61,10.61,10.61,3,10.61,4373,10.61,2025-09-23 14:43:00+00:00
1758638640000,10.6,10.62,10.6,6,10.62,688,10.610174,2025-09-23 14:44:00+00:00
1758638700000,10.64,10.7871,10.62,11,10.64,805,10.653388,2025-09-23 14:45:00+00:00
1758638760000,10.65,10.78,10.64,18,10.65,1810,10.697956,2025-09-23 14:46:00+00:00
1758638820000,10.69,10.7,10.64,20,10.7,3051,10.665179,2025-09-23 14:47:00+00:00
1758638880000,10.6501,10.6501,10.65,6,10.65,716,10.650014,2025-09-23 14:48:00+00:00
1758638940000,10.63,10.71,10.63,23,10.71,5530,10.668913,2025-09-23 14:49:00+00:00
1758639000000,10.525,10.68,10.4,16,10.68,2214,10.587732,2025-09-23 14:50:00+00:00
1758639120000,10.38,10.38,10.38,3,10.38,121,10.38,2025-09-23 14:52:00+00:00
1758639180000,10.39,10.39,10.39,2,10.39,101,10.39,2025-09-23 14:53:00+00:00
1758639240000,10.39,10.39,10.39,1,10.39,100,10.39,2025-09-23 14:54:00+00:00
1758639300000,10.515,10.515,10.39,3,10.39,230,10.458182,2025-09-23 14:55:00+00:00
1758639540000,10.41,10.41,10.41,1,10.41,100,10.41,2025-09-23 14:59:00+00:00
1758639660000,10.43,10.43,10.38,4,10.38,211,10.405,2025-09-23 15:01:00+00:00
1758639720000,10.39,10.39,10.39,2,10.39,102,10.39,2025-09-23 15:02:00+00:00
1758639840000,10.6387,10.6387,10.39,4,10.39,2605,10.629135,2025-09-23 15:04:00+00:00
1758639900000,10.47,10.515,10.47,4,10.515,305,10.485,2025-09-23 15:05:00+00:00
1758639960000,10.44,10.6264,10.39,3,10.39,1200,10.451367,2025-09-23 15:06:00+00:00
1758640020000,10.41,10.41,10.41,1,10.41,100,10.41,2025-09-23 15:07:00+00:00
1758640080000,10.45,10.45,10.45,4,10.45,159,10.45,2025-09-23 15:08:00+00:00
1758640140000,10.42,10.42,10.42,1,10.42,100,10.42,2025-09-23 15:09:00+00:00
1758640260000,10.54,10.55,10.5,6,10.55,5104,10.547963,2025-09-23 15:11:00+00:00
1758640320000,10.49,10.49,10.45,10,10.46,901,10.462222,2025-09-23 15:12:00+00:00
1758640380000,10.5,10.52,10.5,3,10.52,210,10.51,2025-09-23 15:13:00+00:00
1758640500000,10.49,10.49,10.49,6,10.49,300,10.49,2025-09-23 15:15:00+00:00
1758640800000,10.49,10.49,10.49,1,10.49,152,10.49,2025-09-23 15:20:00+00:00
1758640860000,10.55,10.55,10.55,8,10.55,200,10.55,2025-09-23 15:21:00+00:00
1758640980000,10.4,10.4,10.4,1,10.4,100,10.4,2025-09-23 15:23:00+00:00
1758641040000,10.42,10.42,10.42,2,10.42,101,10.42,2025-09-23 15:24:00+00:00
1758641160000,10.4,10.4,10.4,1,10.4,100,10.4,2025-09-23 15:26:00+00:00
1758641220000,10.41,10.41,10.41,4,10.41,176,10.41,2025-09-23 15:27:00+00:00
1758641280000,10.41,10.41,10.41,3,10.41,180,10.41,2025-09-23 15:28:00+00:00
1758641340000,10.47,10.47,10.41,24,10.41,1773,10.454063,2025-09-23 15:29:00+00:00
1758641400000,10.41,10.41,10.41,5,10.41,136,10.41,2025-09-23 15:30:00+00:00
1758641520000,10.41,10.45,10.41,10,10.45,735,10.443333,2025-09-23 15:32:00+00:00
1758641580000,10.4,10.6161,10.4,22,10.6161,3672,10.455344,2025-09-23 15:33:00+00:00
1758641640000,10.455,10.455,10.4,12,10.4,8018,10.43528,2025-09-23 15:34:00+00:00
1758641760000,10.4501,10.4501,10.4501,2,10.4501,428,10.4501,2025-09-23 15:36:00+00:00
1758641820000,10.41,10.41,10.41,2,10.41,162,10.41,2025-09-23 15:37:00+00:00
1758641940000,10.43,10.43,10.43,5,10.43,200,10.43,2025-09-23 15:39:00+00:00
1758642000000,10.41,10.41,10.41,2,10.41,101,10.41,2025-09-23 15:40:00+00:00
1758642060000,10.42,10.42,10.42,1,10.42,900,10.42,2025-09-23 15:41:00+00:00
1758642120000,10.43,10.43,10.41,7,10.41,512,10.426,2025-09-23 15:42:00+00:00
1758642180000,10.43,10.43,10.41,5,10.41,270,10.42,2025-09-23 15:43:00+00:00
1758642300000,10.5,10.5,10.41,3,10.41,334,10.460599,2025-09-23 15:45:00+00:00
1758642360000,10.43,10.43,10.41,4,10.42,400,10.42,2025-09-23 15:46:00+00:00
1758642420000,10.515,10.515,10.42,6,10.44,580,10.443,2025-09-23 15:47:00+00:00
1758642480000,10.43,10.45,10.43,2,10.45,200,10.44,2025-09-23 15:48:00+00:00
1758642600000,10.43,10.43,10.43,2,10.43,105,10.43,2025-09-23 15:50:00+00:00
1758642660000,10.45,10.45,10.44,5,10.44,302,10.445,2025-09-23 15:51:00+00:00
1758642780000,10.42,10.42,10.42,1,10.42,100,10.42,2025-09-23 15:53:00+00:00
1758642840000,10.43,10.45,10.43,5,10.45,650,10.445,2025-09-23 15:54:00+00:00
1758642900000,10.46,10.46,10.46,1,10.46,100,10.46,2025-09-23 15:55:00+00:00
1758642960000,10.45,10.45,10.42,4,10.42,250,10.435,2025-09-23 15:56:00+00:00
1758643020000,10.42,10.42,10.42,2,10.42,101,10.42,2025-09-23 15:57:00+00:00
1758643140000,10.44,10.44,10.43,2,10.43,200,10.435,2025-09-23 15:59:00+00:00
1758643260000,10.41,10.44,10.4,31,10.44,2727,10.417027,2025-09-23 16:01:00+00:00
1758643320000,10.43,10.435,10.39,30,10.4,13507,10.404886,2025-09-23 16:02:00+00:00
1758643560000,10.44,10.44,10.4,2,10.4,200,10.42,2025-09-23 16:06:00+00:00
1758643620000,10.39,10.4,10.39,6,10.4,329,10.393333,2025-09-23 16:07:00+00:00
1758643740000,10.4,10.4,10.4,1,10.4,100,10.4,2025-09-23 16:09:00+00:00
1758643800000,10.4,10.4,10.38,4,10.38,981,10.382222,2025-09-23 16:10:00+00:00
1758643920000,10.485,10.485,10.4,2,10.4,400,10.46375,2025-09-23 16:12:00+00:00
1758643980000,10.41,10.6,10.41,2,10.6,1100,10.582727,2025-09-23 16:13:00+00:00
1758644100000,10.41,10.41,10.41,2,10.41,101,10.41,2025-09-23 16:15:00+00:00
1758644160000,10.41,10.41,10.41,1,10.41,100,10.41,2025-09-23 16:16:00+00:00
1758644280000,10.516,10.516,10.4,20,10.4,2605,10.497808,2025-09-23 16:18:00+00:00
1758644340000,10.42,10.516,10.42,34,10.49,2630,10.498192,2025-09-23 16:19:00+00:00
1758644460000,10.43,10.43,10.43,1,10.43,100,10.43,2025-09-23 16:21:00+00:00
1758644580000,10.42,10.42,10.42,32,10.42,251,10.42,2025-09-23 16:23:00+00:00
1758644640000,10.42,10.42,10.42,4,10.42,172,10.42,2025-09-23 16:24:00+00:00
1758644760000,10.42,10.42,10.42,2,10.42,130,10.42,2025-09-23 16:26:00+00:00
1758644820000,10.42,10.5,10.42,3,10.5,300,10.473333,2025-09-23 16:27:00+00:00
1758644940000,10.37,10.64,10.37,40,10.42,3533,10.40758,2025-09-23 16:29:00+00:00
1758645000000,10.33,10.37,10.3,21,10.37,4023,10.342204,2025-09-23 16:30:00+00:00
1758645060000,10.4,10.46,10.335,12,10.335,3766,10.34527,2025-09-23 16:31:00+00:00
1758645120000,10.39,10.5,10.39,30,10.425,3868,10.403027,2025-09-23 16:32:00+00:00
1758645180000,10.47,10.47,10.405,15,10.4125,8254,10.407459,2025-09-23 16:33:00+00:00
1758645240000,10.41,10.4125,10.4001,16,10.405,2080,10.407908,2025-09-23 16:34:00+00:00
1758645420000,10.33,10.33,10.29,23,10.325,11663,10.307661,2025-09-23 16:37:00+00:00
1758645600000,10.36,10.385,10.36,14,10.3699,7883,10.383983,2025-09-23 16:40:00+00:00
1758645720000,10.33,10.34,10.32,11,10.322,1498,10.327029,2025-09-23 16:42:00+00:00
1758645840000,10.34,10.34,10.34,2,10.34,101,10.34,2025-09-23 16:44:00+00:00
1758645900000,10.35,10.35,10.35,1,10.35,100,10.35,2025-09-23 16:45:00+00:00
1758645960000,10.415,10.415,10.415,70,10.415,7462,10.415,2025-09-23 16:46:00+00:00
1758646020000,10.405,10.44,10.405,8,10.425,412,10.423333,2025-09-23 16:47:00+00:00
1758646080000,10.43,10.43,10.405,24,10.405,1730,10.422083,2025-09-23 16:48:00+00:00
1758646140000,10.42,10.42,10.42,5,10.42,503,10.42,2025-09-23 16:49:00+00:00
1758646260000,10.39,10.4,10.39,3,10.4,300,10.396667,2025-09-23 16:51:00+00:00
1758646320000,10.4,10.41,10.4,16,10.41,1804,10.401667,2025-09-23 16:52:00+00:00
1758646380000,10.39,10.39,10.39,15,10.39,114,10.39,2025-09-23 16:53:00+00:00
1758646500000,10.4,10.41,10.39,39,10.39,2534,10.401905,2025-09-23 16:55:00+00:00
1758646560000,10.4,10.4,10.4,2,10.4,110,10.4,2025-09-23 16:56:00+00:00
1758646620000,10.4,10.4215,10.4,26,10.4215,6356,10.416884,2025-09-23 16:57:00+00:00
1758646800000,10.4,10.4,10.4,8,10.4,477,10.4,2025-09-23 17:00:00+00:00
1758646920000,10.49,10.49,10.38,31,10.38,1277,10.44875,2025-09-23 17:02:00+00:00
1758646980000,10.38,10.4605,10.38,3,10.41,300,10.416833,2025-09-23 17:03:00+00:00
1758647040000,10.4627,10.4627,10.4,8,10.4,343,10.436791,2025-09-23 17:04:00+00:00
1758647160000,10.38,10.38,10.38,3,10.38,151,10.38,2025-09-23 17:06:00+00:00
1758647220000,10.39,10.45,10.39,12,10.39,1090,10.418741,2025-09-23 17:07:00+00:00
1758647340000,10.415,10.415,10.415,2,10.415,150,10.415,2025-09-23 17:09:00+00:00
1758647400000,10.42,10.42,10.4,16,10.4,6931,10.401475,2025-09-23 17:10:00+00:00
1758647460000,10.4,10.4,10.36,12,10.36,908,10.39,2025-09-23 17:11:00+00:00
1758647520000,10.33,10.385,10.33,20,10.38,1758,10.35624,2025-09-23 17:12:00+00:00
1758647580000,10.29,10.35,10.29,56,10.345,10206,10.33408,2025-09-23 17:13:00+00:00
1758647700000,10.31,10.31,10.305,8,10.305,550,10.308035,2025-09-23 17:15:00+00:00
1758647820000,10.305,10.305,10.305,10,10.305,570,10.305,2025-09-23 17:17:00+00:00
1758647880000,10.3028,10.3028,10.3028,9,10.3028,971,10.3028,2025-09-23 17:18:00+00:00
1758648000000,10.305,10.305,10.29,18,10.305,10069,10.303978,2025-09-23 17:20:00+00:00
1758648060000,10.27,10.31,10.27,52,10.31,7700,10.294609,2025-09-23 17:21:00+00:00
1758648120000,10.23,10.28,10.23,116,10.28,13875,10.256582,2025-09-23 17:22:00+00:00
