timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756838580000,4.04,4.04,4.04,3,4.04,132,4.04,2025-09-02 18:43:00+00:00
1756838760000,4.04,4.04,4.04,3,4.04,112,4.04,2025-09-02 18:46:00+00:00
1756838940000,4.03,4.03,4.03,2,4.03,101,4.03,2025-09-02 18:49:00+00:00
1756839000000,4.015,4.05,4.0,34,4.03,2546,4.012943,2025-09-02 18:50:00+00:00
1756839120000,4.07,4.07,4.07,2,4.07,101,4.07,2025-09-02 18:52:00+00:00
1756839300000,4.08,4.08,4.08,2,4.08,101,4.08,2025-09-02 18:55:00+00:00
1756839480000,4.08,4.08,4.08,3,4.08,103,4.08,2025-09-02 18:58:00+00:00
1756839660000,3.96,4.07,3.96,3,4.07,202,4.015,2025-09-02 19:01:00+00:00
1756840020000,3.96,3.96,3.96,2,3.96,101,3.96,2025-09-02 19:07:00+00:00
1756840080000,4.05,4.05,3.98,6,4.01,319,4.013333,2025-09-02 19:08:00+00:00
1756840140000,4.08,4.08,4.05,4,4.05,302,4.066667,2025-09-02 19:09:00+00:00
1756840200000,4.0,4.0,4.0,2,4.0,101,4.0,2025-09-02 19:10:00+00:00
1756840320000,4.08,4.08,4.08,2,4.08,102,4.08,2025-09-02 19:12:00+00:00
1756840440000,4.08,4.08,4.08,2,4.08,101,4.08,2025-09-02 19:14:00+00:00
1756840620000,4.08,4.08,4.08,3,4.08,127,4.08,2025-09-02 19:17:00+00:00
1756840740000,4.08,4.08,4.08,2,4.08,101,4.08,2025-09-02 19:19:00+00:00
1756840920000,4.08,4.08,4.08,1,4.08,100,4.08,2025-09-02 19:22:00+00:00
1756841040000,4.08,4.08,4.08,2,4.08,102,4.08,2025-09-02 19:24:00+00:00
1756841220000,4.08,4.08,4.08,2,4.08,101,4.08,2025-09-02 19:27:00+00:00
1756841340000,4.05,4.08,4.05,4,4.08,218,4.065,2025-09-02 19:29:00+00:00
1756841460000,4.08,4.08,4.08,1,4.08,100,4.08,2025-09-02 19:31:00+00:00
1756841640000,4.08,4.08,4.08,2,4.08,101,4.08,2025-09-02 19:34:00+00:00
1756841760000,4.08,4.08,4.08,3,4.08,118,4.08,2025-09-02 19:36:00+00:00
1756841880000,4.08,4.08,4.0,3,4.0,270,4.04,2025-09-02 19:38:00+00:00
1756842000000,4.05,4.05,4.05,2,4.05,102,4.05,2025-09-02 19:40:00+00:00
1756842060000,4.08,4.08,4.08,2,4.08,102,4.08,2025-09-02 19:41:00+00:00
1756842180000,4.08,4.08,4.08,1,4.08,100,4.08,2025-09-02 19:43:00+00:00
1756842240000,4.08,4.08,4.08,2,4.08,103,4.08,2025-09-02 19:44:00+00:00
1756842360000,4.05,4.05,4.05,2,4.05,111,4.05,2025-09-02 19:46:00+00:00
1756842540000,4.08,4.08,4.08,3,4.08,159,4.08,2025-09-02 19:49:00+00:00
1756842600000,4.03,4.03,4.03,2,4.03,102,4.03,2025-09-02 19:50:00+00:00
1756842660000,4.06,4.06,4.06,5,4.06,117,4.06,2025-09-02 19:51:00+00:00
1756842720000,4.05,4.06,4.05,22,4.05,643,4.055025,2025-09-02 19:52:00+00:00
1756842780000,4.05,4.05,4.05,2,4.05,102,4.05,2025-09-02 19:53:00+00:00
1756842840000,4.05,4.05,4.015,21,4.015,2439,4.043409,2025-09-02 19:54:00+00:00
1756842900000,4.06,4.06,3.98,6,3.98,1541,4.04117,2025-09-02 19:55:00+00:00
1756842960000,4.01,4.01,4.01,5,4.01,128,4.01,2025-09-02 19:56:00+00:00
1756843140000,3.99,4.04,3.99,44,4.015,1448,4.013229,2025-09-02 19:59:00+00:00
1756843200000,4.0,4.0,4.0,1,4.0,365,4.0,2025-09-02 20:00:00+00:00
1756906200000,4.135,4.2,4.05,42,4.05,4296,4.089907,2025-09-03 13:30:00+00:00
1756906260000,4.23,4.23,4.16,7,4.16,1325,4.190181,2025-09-03 13:31:00+00:00
1756906320000,4.33,4.41,4.28,46,4.28,1820,4.32619,2025-09-03 13:32:00+00:00
1756906380000,4.24,4.33,4.24,8,4.33,1050,4.320973,2025-09-03 13:33:00+00:00
1756906440000,4.44,4.44,4.418,10,4.418,405,4.425333,2025-09-03 13:34:00+00:00
1756906500000,4.49,4.49,4.29,26,4.385,1570,4.357014,2025-09-03 13:35:00+00:00
