timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,0.2853,0.289,0.2853,10,0.289,9594,0.287009,2025-09-15 13:30:00+00:00
1757943420000,0.2806,0.2806,0.2806,1,0.2806,150,0.2806,2025-09-15 13:37:00+00:00
1757943540000,0.2893,0.29,0.2853,4,0.2853,4100,0.288249,2025-09-15 13:39:00+00:00
1757943600000,0.2893,0.29,0.2893,3,0.29,2100,0.289933,2025-09-15 13:40:00+00:00
1757943660000,0.285,0.2893,0.285,6,0.2893,5307,0.285206,2025-09-15 13:41:00+00:00
1757943780000,0.2899,0.2899,0.2891,3,0.2899,1072,0.289825,2025-09-15 13:43:00+00:00
1757943840000,0.2892,0.2899,0.2892,3,0.2899,736,0.2898,2025-09-15 13:44:00+00:00
1757943900000,0.282,0.2821,0.282,2,0.2821,200,0.28205,2025-09-15 13:45:00+00:00
1757944020000,0.2899,0.2899,0.289,34,0.2893,9600,0.289779,2025-09-15 13:47:00+00:00
1757944080000,0.29,0.29,0.2869,4,0.2869,4205,0.286979,2025-09-15 13:48:00+00:00
1757944140000,0.2872,0.2909,0.2872,2,0.2909,500,0.29016,2025-09-15 13:49:00+00:00
1757944260000,0.2872,0.2874,0.2872,6,0.2874,10000,0.287202,2025-09-15 13:51:00+00:00
1757944500000,0.2943,0.2943,0.2931,11,0.2935,1400,0.294077,2025-09-15 13:55:00+00:00
1757944620000,0.2942,0.2943,0.2942,2,0.2943,5500,0.294209,2025-09-15 13:57:00+00:00
1757944860000,0.2942,0.2942,0.292,3,0.292,1203,0.292183,2025-09-15 14:01:00+00:00
1757944920000,0.2942,0.2943,0.2942,4,0.2943,2600,0.294292,2025-09-15 14:02:00+00:00
1757945220000,0.2897,0.2897,0.2897,2,0.2897,101,0.2897,2025-09-15 14:07:00+00:00
1757945280000,0.2897,0.2897,0.2897,1,0.2897,350,0.2897,2025-09-15 14:08:00+00:00
1757945580000,0.294,0.2943,0.2935,4,0.2943,1500,0.2938,2025-09-15 14:13:00+00:00
1757945640000,0.2943,0.295,0.2938,25,0.2942,23308,0.294889,2025-09-15 14:14:00+00:00
1757945700000,0.296,0.296,0.2949,15,0.295,58685,0.294971,2025-09-15 14:15:00+00:00
1757945760000,0.296,0.296,0.2958,2,0.2958,707,0.295859,2025-09-15 14:16:00+00:00
1757945940000,0.2986,0.2986,0.2985,4,0.2985,1115,0.298591,2025-09-15 14:19:00+00:00
1757946240000,0.3,0.3,0.2991,7,0.3,3330,0.299703,2025-09-15 14:24:00+00:00
1757946300000,0.303,0.303,0.2984,16,0.2984,46051,0.300043,2025-09-15 14:25:00+00:00
1757946420000,0.3016,0.3027,0.3016,3,0.3027,14023,0.301624,2025-09-15 14:27:00+00:00
1757946480000,0.2987,0.3015,0.2984,16,0.3015,10657,0.298951,2025-09-15 14:28:00+00:00
1757946660000,0.2943,0.3002,0.2943,7,0.3001,2500,0.296786,2025-09-15 14:31:00+00:00
1757947260000,0.2998,0.2998,0.2998,1,0.2998,1300,0.2998,2025-09-15 14:41:00+00:00
1757947440000,0.2944,0.2944,0.2944,4,0.2944,998,0.2944,2025-09-15 14:44:00+00:00
1757947800000,0.3,0.3,0.3,1,0.3,1000,0.3,2025-09-15 14:50:00+00:00
1757947980000,0.2971,0.2971,0.2971,1,0.2971,100,0.2971,2025-09-15 14:53:00+00:00
1757948160000,0.3009,0.3009,0.2991,3,0.2991,1202,0.29925,2025-09-15 14:56:00+00:00
1757949060000,0.2987,0.2987,0.2987,1,0.2987,100,0.2987,2025-09-15 15:11:00+00:00
1757949360000,0.2966,0.2972,0.2966,9,0.2972,4938,0.297108,2025-09-15 15:16:00+00:00
1757949480000,0.2951,0.2951,0.2951,2,0.2951,3362,0.2951,2025-09-15 15:18:00+00:00
1757950800000,0.2984,0.2984,0.2984,1,0.2984,120,0.2984,2025-09-15 15:40:00+00:00
