timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756821780000,0.4038,0.4038,0.4038,2,0.4038,103,0.4038,2025-09-02 14:03:00+00:00
1756822020000,0.4011,0.4011,0.4011,4,0.4011,500,0.4011,2025-09-02 14:07:00+00:00
1756824000000,0.401,0.401,0.401,2,0.401,150,0.401,2025-09-02 14:40:00+00:00
1756824540000,0.4,0.4,0.4,5,0.4,2059,0.4,2025-09-02 14:49:00+00:00
1756826760000,0.3939,0.3955,0.3911,27,0.3955,19299,0.392396,2025-09-02 15:26:00+00:00
1756826820000,0.3835,0.3998,0.3835,35,0.3912,35953,0.387251,2025-09-02 15:27:00+00:00
1756827000000,0.3955,0.3966,0.3933,3,0.3966,333,0.395133,2025-09-02 15:30:00+00:00
1756827180000,0.39,0.3966,0.39,8,0.3966,5605,0.390444,2025-09-02 15:33:00+00:00
1756827300000,0.3899,0.3899,0.3899,1,0.3899,111,0.3899,2025-09-02 15:35:00+00:00
1756827600000,0.3921,0.3965,0.3921,2,0.3965,608,0.395747,2025-09-02 15:40:00+00:00
1756827840000,0.396,0.396,0.396,2,0.396,530,0.396,2025-09-02 15:44:00+00:00
1756828380000,0.39,0.39,0.39,1,0.39,2500,0.39,2025-09-02 15:53:00+00:00
1756829100000,0.389,0.391,0.389,2,0.391,912,0.389246,2025-09-02 16:05:00+00:00
1756829160000,0.391,0.391,0.3897,2,0.3897,500,0.39074,2025-09-02 16:06:00+00:00
1756829460000,0.3911,0.3911,0.3911,1,0.3911,200,0.3911,2025-09-02 16:11:00+00:00
1756829760000,0.387,0.387,0.387,1,0.387,300,0.387,2025-09-02 16:16:00+00:00
1756829820000,0.3893,0.3955,0.3893,20,0.3896,5572,0.391969,2025-09-02 16:17:00+00:00
1756830300000,0.3959,0.3959,0.3959,4,0.3959,299,0.3959,2025-09-02 16:25:00+00:00
1756830480000,0.3922,0.3922,0.3922,1,0.3922,100,0.3922,2025-09-02 16:28:00+00:00
1756831260000,0.393,0.393,0.3893,14,0.39,8569,0.390553,2025-09-02 16:41:00+00:00
1756831320000,0.3835,0.3856,0.3835,5,0.3855,1452,0.383834,2025-09-02 16:42:00+00:00
1756831380000,0.3848,0.3848,0.3841,3,0.3841,300,0.384333,2025-09-02 16:43:00+00:00
1756831500000,0.3898,0.3959,0.3898,4,0.39,633,0.392774,2025-09-02 16:45:00+00:00
1756831680000,0.389,0.389,0.389,1,0.389,323,0.389,2025-09-02 16:48:00+00:00
1756832220000,0.3903,0.3903,0.3903,1,0.3903,100,0.3903,2025-09-02 16:57:00+00:00
1756832340000,0.3948,0.395,0.3948,2,0.395,3861,0.394865,2025-09-02 16:59:00+00:00
1756832640000,0.3902,0.3902,0.3902,1,0.3902,1261,0.3902,2025-09-02 17:04:00+00:00
1756832700000,0.3903,0.3903,0.3903,1,0.3903,125,0.3903,2025-09-02 17:05:00+00:00
1756832880000,0.384,0.384,0.384,1,0.384,1000,0.384,2025-09-02 17:08:00+00:00
1756833480000,0.3966,0.3966,0.3966,1,0.3966,13900,0.3966,2025-09-02 17:18:00+00:00
1756833540000,0.3933,0.3933,0.3933,2,0.3933,150,0.3933,2025-09-02 17:19:00+00:00
1756833600000,0.3966,0.3966,0.3933,28,0.3934,20000,0.39644,2025-09-02 17:20:00+00:00
1756833660000,0.3965,0.3965,0.3965,1,0.3965,2949,0.3965,2025-09-02 17:21:00+00:00
1756833780000,0.3966,0.3966,0.3966,2,0.3966,10018,0.3966,2025-09-02 17:23:00+00:00
1756834080000,0.395,0.395,0.395,3,0.395,40300,0.395,2025-09-02 17:28:00+00:00
1756834140000,0.39,0.3933,0.39,14,0.3933,20000,0.391204,2025-09-02 17:29:00+00:00
1756834260000,0.3966,0.3966,0.3956,13,0.3956,52704,0.396593,2025-09-02 17:31:00+00:00
1756834500000,0.396,0.396,0.396,2,0.396,5790,0.396,2025-09-02 17:35:00+00:00
1756837320000,0.3955,0.3955,0.3955,1,0.3955,115,0.3955,2025-09-02 18:22:00+00:00
1756838760000,0.395,0.395,0.395,1,0.395,100,0.395,2025-09-02 18:46:00+00:00
1756839660000,0.39,0.3904,0.39,3,0.3904,433,0.390104,2025-09-02 19:01:00+00:00
1756840380000,0.3955,0.3955,0.3955,3,0.3955,700,0.3955,2025-09-02 19:13:00+00:00
1756840980000,0.3955,0.3955,0.3955,5,0.3955,5038,0.3955,2025-09-02 19:23:00+00:00
1756841040000,0.389,0.389,0.389,4,0.389,400,0.389,2025-09-02 19:24:00+00:00
1756841820000,0.3936,0.3936,0.3936,1,0.3936,300,0.3936,2025-09-02 19:37:00+00:00
1756841880000,0.3862,0.3862,0.3861,2,0.3861,5352,0.38615,2025-09-02 19:38:00+00:00
1756842600000,0.3906,0.3906,0.3906,1,0.3906,100,0.3906,2025-09-02 19:50:00+00:00
1756842660000,0.39,0.39,0.39,2,0.39,179,0.39,2025-09-02 19:51:00+00:00
1756842780000,0.395,0.395,0.395,3,0.395,104,0.395,2025-09-02 19:53:00+00:00
1756906200000,0.39,0.39,0.38,5,0.3831,8034,0.383175,2025-09-03 13:30:00+00:00
1756906260000,0.3901,0.3901,0.3901,2,0.3901,200,0.3901,2025-09-03 13:31:00+00:00
1756906560000,0.3911,0.3911,0.3911,1,0.3911,2000,0.3911,2025-09-03 13:36:00+00:00
1756906620000,0.398,0.398,0.3912,2,0.3912,200,0.3946,2025-09-03 13:37:00+00:00
1756906740000,0.39,0.3912,0.39,10,0.391,4277,0.390395,2025-09-03 13:39:00+00:00
1756907040000,0.3901,0.3901,0.39,6,0.3901,5387,0.390083,2025-09-03 13:44:00+00:00
1756907100000,0.3902,0.3902,0.39,2,0.39,4769,0.3901,2025-09-03 13:45:00+00:00
1756907160000,0.4,0.4,0.4,1,0.4,4240,0.4,2025-09-03 13:46:00+00:00
1756907460000,0.3999,0.3999,0.3999,1,0.3999,330,0.3999,2025-09-03 13:51:00+00:00
1756907520000,0.3999,0.3999,0.3999,1,0.3999,3000,0.3999,2025-09-03 13:52:00+00:00
1756908360000,0.39,0.39,0.39,1,0.39,975,0.39,2025-09-03 14:06:00+00:00
1756908720000,0.3848,0.3848,0.3848,4,0.3848,238,0.3848,2025-09-03 14:12:00+00:00
1756909080000,0.3826,0.3826,0.3826,1,0.3826,150,0.3826,2025-09-03 14:18:00+00:00
1756909260000,0.3849,0.3849,0.3849,3,0.3849,200,0.3849,2025-09-03 14:21:00+00:00
1756909500000,0.3825,0.3825,0.3825,3,0.3825,978,0.3825,2025-09-03 14:25:00+00:00
1756909560000,0.385,0.385,0.385,9,0.385,1008,0.385,2025-09-03 14:26:00+00:00
1756909800000,0.381,0.3826,0.381,20,0.3826,5131,0.381585,2025-09-03 14:30:00+00:00
1756909860000,0.38,0.381,0.38,35,0.381,27556,0.380247,2025-09-03 14:31:00+00:00
1756909920000,0.375,0.377,0.3743,9,0.377,5133,0.374471,2025-09-03 14:32:00+00:00
1756909980000,0.375,0.375,0.375,2,0.375,103,0.375,2025-09-03 14:33:00+00:00
1756910100000,0.3799,0.3799,0.375,2,0.375,1500,0.378267,2025-09-03 14:35:00+00:00
1756910340000,0.3734,0.3766,0.3734,4,0.3766,531,0.375085,2025-09-03 14:39:00+00:00
1756910400000,0.3714,0.3714,0.3714,1,0.3714,300,0.3714,2025-09-03 14:40:00+00:00
1756910580000,0.3749,0.3749,0.3735,3,0.3735,3794,0.373537,2025-09-03 14:43:00+00:00
1756910640000,0.3798,0.3798,0.3798,1,0.3798,1000,0.3798,2025-09-03 14:44:00+00:00
1756910700000,0.375,0.375,0.375,3,0.375,1100,0.375,2025-09-03 14:45:00+00:00
1756910820000,0.375,0.375,0.375,1,0.375,260,0.375,2025-09-03 14:47:00+00:00
1756910940000,0.3759,0.3759,0.3759,1,0.3759,100,0.3759,2025-09-03 14:49:00+00:00
