timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757434560000,26.279,26.28,26.279,7,26.28,1500,26.279077,2025-09-09 16:16:00+00:00
1757437440000,26.1363,26.1363,26.1363,1,26.1363,150,26.1363,2025-09-09 17:04:00+00:00
1757440020000,26.27,26.27,26.21,4,26.21,1500,26.2188,2025-09-09 17:47:00+00:00
1757444100000,26.4192,26.4192,26.4192,1,26.4192,1500,26.4192,2025-09-09 18:55:00+00:00
1757444220000,26.385,26.385,26.385,11,26.385,1700,26.385,2025-09-09 18:57:00+00:00
1757444400000,26.589,26.599,26.589,4,26.599,1200,26.594,2025-09-09 19:00:00+00:00
1757444520000,26.6,26.6,26.59,7,26.5957,2700,26.596681,2025-09-09 19:02:00+00:00
1757445060000,26.6,26.6,26.59,7,26.5957,2500,26.595252,2025-09-09 19:11:00+00:00
1757445660000,26.4174,26.4174,26.4174,1,26.4174,1200,26.4174,2025-09-09 19:21:00+00:00
1757445720000,26.589,26.59,26.385,12,26.385,1300,26.437971,2025-09-09 19:22:00+00:00
1757447280000,26.509,26.509,26.5057,2,26.5057,200,26.50735,2025-09-09 19:48:00+00:00
1757511660000,28.38,28.38,28.35,4,28.38,545,28.374495,2025-09-10 13:41:00+00:00
1757512080000,28.4,28.4,28.205,20,28.205,1957,28.332105,2025-09-10 13:48:00+00:00
1757512140000,28.29,28.4,28.29,2,28.4,1100,28.37,2025-09-10 13:49:00+00:00
1757512320000,27.67,27.67,27.67,3,27.67,200,27.67,2025-09-10 13:52:00+00:00
1757512380000,27.525,27.525,27.525,1,27.525,300,27.525,2025-09-10 13:53:00+00:00
1757512500000,27.37,27.37,27.37,1,27.37,1071,27.37,2025-09-10 13:55:00+00:00
1757512680000,27.56,27.56,27.56,2,27.56,634,27.56,2025-09-10 13:58:00+00:00
1757513340000,27.345,27.345,27.345,2,27.345,200,27.345,2025-09-10 14:09:00+00:00
1757513520000,27.13,27.13,27.13,5,27.13,545,27.13,2025-09-10 14:12:00+00:00
1757514480000,27.31,27.39,27.31,5,27.39,700,27.347143,2025-09-10 14:28:00+00:00
1757515200000,27.49,27.49,27.49,2,27.49,120,27.49,2025-09-10 14:40:00+00:00
1757515380000,27.32,27.32,27.32,1,27.32,351,27.32,2025-09-10 14:43:00+00:00
1757515500000,27.34,27.34,27.34,1,27.34,150,27.34,2025-09-10 14:45:00+00:00
1757515680000,27.29,27.29,27.29,1,27.29,100,27.29,2025-09-10 14:48:00+00:00
1757515920000,27.32,27.32,27.32,2,27.32,154,27.32,2025-09-10 14:52:00+00:00
1757516340000,28.07,28.07,28.07,1,28.07,100,28.07,2025-09-10 14:59:00+00:00
1757516820000,28.1,28.1,28.1,3,28.1,2050,28.1,2025-09-10 15:07:00+00:00
1757516880000,28.12,28.12,28.12,1,28.12,100,28.12,2025-09-10 15:08:00+00:00
1757517360000,28.03,28.03,28.03,2,28.03,104,28.03,2025-09-10 15:16:00+00:00
1757517480000,28.03,28.03,28.03,1,28.03,100,28.03,2025-09-10 15:18:00+00:00
1757518380000,27.545,27.56,27.53,8,27.56,756,27.553571,2025-09-10 15:33:00+00:00
1757519280000,27.3,27.3,27.3,1,27.3,100,27.3,2025-09-10 15:48:00+00:00
1757519460000,27.3,27.3,27.3,1,27.3,1828,27.3,2025-09-10 15:51:00+00:00
