timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758896520000,7.545,7.575,7.53,214,7.57,114497,7.547171,2025-09-26 14:22:00+00:00
1758896580000,7.525,7.545,7.52,260,7.5401,108802,7.531564,2025-09-26 14:23:00+00:00
1758896640000,7.5236,7.54,7.51,432,7.535,125563,7.526903,2025-09-26 14:24:00+00:00
1758896700000,7.48,7.5268,7.48,649,7.52,220989,7.498176,2025-09-26 14:25:00+00:00
1758896760000,7.4501,7.4899,7.45,396,7.4835,129580,7.467342,2025-09-26 14:26:00+00:00
1758896820000,7.43,7.495,7.4201,554,7.46,241316,7.445322,2025-09-26 14:27:00+00:00
1758896880000,7.465,7.465,7.43,299,7.4301,95906,7.446599,2025-09-26 14:28:00+00:00
1758896940000,7.4877,7.49,7.45,265,7.465,85114,7.470774,2025-09-26 14:29:00+00:00
1758897000000,7.4835,7.5,7.47,344,7.48,146800,7.484602,2025-09-26 14:30:00+00:00
1758897060000,7.473,7.49,7.45,347,7.485,146010,7.465131,2025-09-26 14:31:00+00:00
1758897120000,7.495,7.5,7.47,237,7.4726,117364,7.480001,2025-09-26 14:32:00+00:00
1758897180000,7.46,7.5,7.46,248,7.495,89043,7.479067,2025-09-26 14:33:00+00:00
1758897240000,7.435,7.465,7.435,279,7.465,105642,7.450306,2025-09-26 14:34:00+00:00
1758897300000,7.445,7.47,7.43,338,7.43,91544,7.447385,2025-09-26 14:35:00+00:00
1758897360000,7.4699,7.4899,7.445,221,7.445,81136,7.47018,2025-09-26 14:36:00+00:00
1758897420000,7.5172,7.5172,7.45,301,7.4663,170041,7.47659,2025-09-26 14:37:00+00:00
1758897480000,7.56,7.56,7.5001,257,7.51,143724,7.539403,2025-09-26 14:38:00+00:00
1758897540000,7.575,7.585,7.5501,302,7.56,151509,7.56867,2025-09-26 14:39:00+00:00
1758897600000,7.6164,7.63,7.56,247,7.57,99856,7.601903,2025-09-26 14:40:00+00:00
1758897660000,7.615,7.62,7.595,284,7.615,119574,7.608291,2025-09-26 14:41:00+00:00
1758897720000,7.63,7.63,7.6,165,7.615,72857,7.614697,2025-09-26 14:42:00+00:00
1758897780000,7.605,7.63,7.59,187,7.625,56333,7.609601,2025-09-26 14:43:00+00:00
1758897840000,7.615,7.62,7.6,168,7.605,119667,7.612822,2025-09-26 14:44:00+00:00
1758897900000,7.575,7.63,7.57,233,7.61,124598,7.604418,2025-09-26 14:45:00+00:00
1758897960000,7.5635,7.6,7.55,226,7.58,236070,7.566017,2025-09-26 14:46:00+00:00
1758898020000,7.5401,7.565,7.5315,189,7.5636,83387,7.548783,2025-09-26 14:47:00+00:00
1758898080000,7.5299,7.5453,7.52,166,7.545,63282,7.528865,2025-09-26 14:48:00+00:00
1758898140000,7.4801,7.5272,7.48,321,7.525,120171,7.498931,2025-09-26 14:49:00+00:00
1758898200000,7.44,7.4899,7.44,349,7.48,116292,7.459509,2025-09-26 14:50:00+00:00
1758898260000,7.4653,7.48,7.4402,250,7.4412,93425,7.465785,2025-09-26 14:51:00+00:00
1758898320000,7.4547,7.4699,7.44,265,7.465,165994,7.452814,2025-09-26 14:52:00+00:00
1758898380000,7.46,7.4798,7.45,156,7.46,46408,7.463481,2025-09-26 14:53:00+00:00
1758898440000,7.4497,7.47,7.44,212,7.465,109754,7.453693,2025-09-26 14:54:00+00:00
1758898500000,7.475,7.48,7.435,191,7.44,46363,7.457682,2025-09-26 14:55:00+00:00
1758898560000,7.455,7.4799,7.44,197,7.4799,86521,7.453023,2025-09-26 14:56:00+00:00
1758898620000,7.455,7.4697,7.4535,102,7.46,23557,7.459552,2025-09-26 14:57:00+00:00
1758898680000,7.4553,7.4688,7.45,149,7.455,63701,7.458713,2025-09-26 14:58:00+00:00
