timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753980540000,7.81,7.81,7.81,7,7.81,1203,7.81,2025-07-31 16:49:00+00:00
1753980600000,7.8,7.815,7.8,4,7.815,1373,7.801832,2025-07-31 16:50:00+00:00
1753980720000,7.81,7.81,7.81,2,7.81,206,7.81,2025-07-31 16:52:00+00:00
1753980780000,7.81,7.81,7.81,1,7.81,1000,7.81,2025-07-31 16:53:00+00:00
1753980840000,7.8,7.8,7.8,2,7.8,4401,7.8,2025-07-31 16:54:00+00:00
1753980900000,7.8,7.8,7.8,3,7.8,1206,7.8,2025-07-31 16:55:00+00:00
1753980960000,7.7,7.78,7.7,16,7.78,2463,7.754417,2025-07-31 16:56:00+00:00
1753981020000,7.75,7.75,7.7,4,7.75,1874,7.732017,2025-07-31 16:57:00+00:00
1753981080000,7.66,7.69,7.66,4,7.69,1111,7.687258,2025-07-31 16:58:00+00:00
1753981260000,7.67,7.7,7.67,2,7.7,3100,7.699032,2025-07-31 17:01:00+00:00
1753981320000,7.7,7.7,7.7,2,7.7,6970,7.7,2025-07-31 17:02:00+00:00
1753981440000,7.7,7.7,7.7,1,7.7,1200,7.7,2025-07-31 17:04:00+00:00
1753981560000,7.67,7.7,7.67,3,7.7,1320,7.697692,2025-07-31 17:06:00+00:00
1753981680000,7.71,7.71,7.71,3,7.71,1201,7.71,2025-07-31 17:08:00+00:00
1753981860000,7.7,7.7,7.7,3,7.7,1250,7.7,2025-07-31 17:11:00+00:00
1753981980000,7.7,7.7,7.7,4,7.7,1265,7.7,2025-07-31 17:13:00+00:00
1753982040000,7.75,7.75,7.75,2,7.75,4001,7.75,2025-07-31 17:14:00+00:00
1753982100000,7.71,7.75,7.67,7,7.75,7420,7.741316,2025-07-31 17:15:00+00:00
1753982160000,7.67,7.67,7.67,1,7.67,100,7.67,2025-07-31 17:16:00+00:00
1753982280000,7.71,7.71,7.71,3,7.71,1201,7.71,2025-07-31 17:18:00+00:00
1753982520000,7.73,7.73,7.73,8,7.73,2400,7.73,2025-07-31 17:22:00+00:00
1753982700000,7.72,7.72,7.72,7,7.72,2403,7.72,2025-07-31 17:25:00+00:00
1753982760000,7.76,7.76,7.76,1,7.76,140,7.76,2025-07-31 17:26:00+00:00
1753982940000,7.73,7.73,7.67,6,7.73,2100,7.724286,2025-07-31 17:29:00+00:00
1753983000000,7.72,7.72,7.67,4,7.72,600,7.711667,2025-07-31 17:30:00+00:00
1753983180000,7.73,7.73,7.73,7,7.73,6769,7.73,2025-07-31 17:33:00+00:00
1753983240000,7.73,7.73,7.73,1,7.73,3590,7.73,2025-07-31 17:34:00+00:00
1753983360000,7.67,7.67,7.67,12,7.67,551,7.67,2025-07-31 17:36:00+00:00
1753983420000,7.71,7.74,7.71,6,7.74,2502,7.7112,2025-07-31 17:37:00+00:00
1753983540000,7.66,7.66,7.66,1,7.66,479,7.66,2025-07-31 17:39:00+00:00
1753983600000,7.69,7.69,7.63,9,7.63,2726,7.683235,2025-07-31 17:40:00+00:00
