timeStamp,close,high,low,trade_count,open,volume,vwap,date
1748973840000,3.61,3.61,3.61,9,3.61,319,3.61,2025-06-03 18:04:00+00:00
1748973900000,3.61,3.61,3.61,10,3.61,319,3.61,2025-06-03 18:05:00+00:00
1748977320000,3.615,3.615,3.61,4,3.61,204,3.6125,2025-06-03 19:02:00+00:00
1748977380000,3.615,3.615,3.615,5,3.615,108,3.615,2025-06-03 19:03:00+00:00
1748977440000,3.615,3.615,3.615,4,3.615,106,3.615,2025-06-03 19:04:00+00:00
1748977560000,3.615,3.615,3.615,4,3.615,106,3.615,2025-06-03 19:06:00+00:00
1748977620000,3.615,3.615,3.615,5,3.615,107,3.615,2025-06-03 19:07:00+00:00
1748977680000,3.615,3.615,3.615,4,3.615,106,3.615,2025-06-03 19:08:00+00:00
1748977740000,3.615,3.615,3.615,5,3.615,108,3.615,2025-06-03 19:09:00+00:00
1748977800000,3.615,3.615,3.615,4,3.615,106,3.615,2025-06-03 19:10:00+00:00
1748977860000,3.615,3.615,3.615,4,3.615,204,3.615,2025-06-03 19:11:00+00:00
1748977920000,3.615,3.615,3.615,3,3.615,104,3.615,2025-06-03 19:12:00+00:00
1748977980000,3.615,3.615,3.615,5,3.615,109,3.615,2025-06-03 19:13:00+00:00
1748978040000,3.615,3.615,3.615,5,3.615,207,3.615,2025-06-03 19:14:00+00:00
1748978100000,3.615,3.615,3.615,4,3.615,204,3.615,2025-06-03 19:15:00+00:00
1748978160000,3.615,3.615,3.615,5,3.615,206,3.615,2025-06-03 19:16:00+00:00
1748978220000,3.615,3.615,3.615,4,3.615,212,3.615,2025-06-03 19:17:00+00:00
1748978280000,3.615,3.615,3.615,3,3.615,120,3.615,2025-06-03 19:18:00+00:00
1748978340000,3.615,3.615,3.615,3,3.615,210,3.615,2025-06-03 19:19:00+00:00
1748978400000,3.61,3.61,3.61,3,3.61,210,3.61,2025-06-03 19:20:00+00:00
1748978460000,3.6,3.6,3.6,6,3.6,228,3.6,2025-06-03 19:21:00+00:00
1748978520000,3.63,3.63,3.63,3,3.63,120,3.63,2025-06-03 19:22:00+00:00
1748978580000,3.61,3.63,3.61,6,3.62,419,3.62,2025-06-03 19:23:00+00:00
1748978640000,3.62,3.63,3.62,8,3.63,618,3.625,2025-06-03 19:24:00+00:00
1748978700000,3.61,3.62,3.61,4,3.62,220,3.615,2025-06-03 19:25:00+00:00
1748978760000,3.61,3.61,3.61,7,3.61,429,3.61,2025-06-03 19:26:00+00:00
1748978820000,3.61,3.61,3.61,2,3.61,110,3.61,2025-06-03 19:27:00+00:00
1748978880000,3.61,3.63,3.61,5,3.63,230,3.62,2025-06-03 19:28:00+00:00
1748978940000,3.61,3.61,3.61,6,3.61,240,3.61,2025-06-03 19:29:00+00:00
1748979000000,3.61,3.61,3.61,12,3.61,592,3.61,2025-06-03 19:30:00+00:00
1748979060000,3.6,3.61,3.6,10,3.61,540,3.6075,2025-06-03 19:31:00+00:00
1748979540000,3.52,3.53,3.52,9,3.527,900,3.523857,2025-06-03 19:39:00+00:00
1748980500000,3.605,3.605,3.6,2,3.6,592,3.600845,2025-06-03 19:55:00+00:00
1748980560000,3.6,3.605,3.6,5,3.605,1275,3.600828,2025-06-03 19:56:00+00:00
1748980620000,3.6,3.61,3.59,40,3.6,6980,3.600301,2025-06-03 19:57:00+00:00
1748980680000,3.6,3.615,3.6,3,3.615,700,3.603571,2025-06-03 19:58:00+00:00
1748980740000,3.6,3.6,3.59,10,3.59,5161,3.59921,2025-06-03 19:59:00+00:00
1749043800000,3.505,3.505,3.505,4,3.505,291,3.505,2025-06-04 13:30:00+00:00
1749044160000,3.51,3.51,3.51,3,3.51,1004,3.51,2025-06-04 13:36:00+00:00
1749045840000,3.5501,3.61,3.5501,6,3.61,2025,3.562038,2025-06-04 14:04:00+00:00
1749047340000,3.57,3.57,3.5698,3,3.5698,204,3.5699,2025-06-04 14:29:00+00:00
1749047760000,3.58,3.7,3.58,33,3.7,2534,3.687735,2025-06-04 14:36:00+00:00
1749048120000,3.6847,3.6847,3.6847,1,3.6847,100,3.6847,2025-06-04 14:42:00+00:00
1749048420000,3.6022,3.6022,3.6022,1,3.6022,1000,3.6022,2025-06-04 14:47:00+00:00
1749048720000,3.5659,3.5659,3.5659,2,3.5659,120,3.5659,2025-06-04 14:52:00+00:00
1749050880000,3.7,3.7,3.7,10,3.7,1000,3.7,2025-06-04 15:28:00+00:00
1749050940000,3.7,3.7,3.7,16,3.7,2110,3.7,2025-06-04 15:29:00+00:00
1749051420000,3.56,3.56,3.56,1,3.56,100,3.56,2025-06-04 15:37:00+00:00
1749051540000,3.7,3.7,3.7,3,3.7,247,3.7,2025-06-04 15:39:00+00:00
1749051840000,3.8,3.8,3.8,28,3.8,3010,3.8,2025-06-04 15:44:00+00:00
1749051960000,3.59,3.59,3.59,1,3.59,100,3.59,2025-06-04 15:46:00+00:00
1749053700000,3.82,3.82,3.78,49,3.8,10331,3.801233,2025-06-04 16:15:00+00:00
1749053760000,3.82,3.8202,3.81,30,3.81,4228,3.819778,2025-06-04 16:16:00+00:00
1749053820000,3.82,3.82,3.82,11,3.82,2567,3.82,2025-06-04 16:17:00+00:00
1749053880000,3.6095,3.6197,3.6095,2,3.6197,300,3.6129,2025-06-04 16:18:00+00:00
1749056700000,3.82,3.82,3.82,12,3.82,1500,3.82,2025-06-04 17:05:00+00:00
1749056760000,3.6089,3.6089,3.6089,1,3.6089,100,3.6089,2025-06-04 17:06:00+00:00
1749057360000,3.81,3.81,3.81,1,3.81,370,3.81,2025-06-04 17:16:00+00:00
1749057420000,3.63,3.66,3.63,2,3.66,500,3.642,2025-06-04 17:17:00+00:00
1749057780000,3.65,3.65,3.65,1,3.65,100,3.65,2025-06-04 17:23:00+00:00
1749058200000,3.65,3.65,3.65,1,3.65,100,3.65,2025-06-04 17:30:00+00:00
1749059160000,3.83,3.83,3.83,1,3.83,100,3.83,2025-06-04 17:46:00+00:00
1749059220000,3.66,3.66,3.66,1,3.66,100,3.66,2025-06-04 17:47:00+00:00
1749060660000,3.6,3.6,3.6,3,3.6,210,3.6,2025-06-04 18:11:00+00:00
1749063240000,3.66,3.66,3.66,2,3.66,366,3.66,2025-06-04 18:54:00+00:00
1749064800000,3.6711,3.6711,3.6711,1,3.6711,100,3.6711,2025-06-04 19:20:00+00:00
1749066000000,3.624,3.624,3.624,1,3.624,100,3.624,2025-06-04 19:40:00+00:00
1749066420000,3.67,3.67,3.67,1,3.67,120,3.67,2025-06-04 19:47:00+00:00
1749067140000,3.6023,3.6023,3.6023,3,3.6023,138,3.6023,2025-06-04 19:59:00+00:00
1749130740000,3.7,3.7,3.7,4,3.7,2000,3.7,2025-06-05 13:39:00+00:00
1749131760000,3.69,3.69,3.69,1,3.69,100,3.69,2025-06-05 13:56:00+00:00
1749133320000,3.6301,3.67,3.6301,2,3.67,318,3.65005,2025-06-05 14:22:00+00:00
1749133800000,3.67,3.67,3.67,1,3.67,5000,3.67,2025-06-05 14:30:00+00:00
1749138060000,3.64,3.66,3.63,3,3.66,1000,3.655,2025-06-05 15:41:00+00:00
1749138240000,3.7,3.7,3.69,5,3.69,676,3.698498,2025-06-05 15:44:00+00:00
1749139260000,3.69,3.69,3.69,1,3.69,500,3.69,2025-06-05 16:01:00+00:00
1749140340000,3.61,3.61,3.61,1,3.61,100,3.61,2025-06-05 16:19:00+00:00
1749140520000,3.6148,3.6148,3.6148,1,3.6148,900,3.6148,2025-06-05 16:22:00+00:00
1749140640000,3.67,3.67,3.67,4,3.67,250,3.67,2025-06-05 16:24:00+00:00
1749140700000,3.65,3.65,3.65,2,3.65,200,3.65,2025-06-05 16:25:00+00:00
1749140760000,3.68,3.68,3.68,5,3.68,180,3.68,2025-06-05 16:26:00+00:00
1749141180000,3.6105,3.6105,3.6105,1,3.6105,100,3.6105,2025-06-05 16:33:00+00:00
1749141660000,3.7987,3.7987,3.7987,1,3.7987,100,3.7987,2025-06-05 16:41:00+00:00
1749141720000,3.7586,3.7586,3.7586,1,3.7586,1000,3.7586,2025-06-05 16:42:00+00:00
