timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756402440000,10.265,10.265,10.265,6,10.265,390,10.265,2025-08-28 17:34:00+00:00
1756402500000,10.05,10.21,10.05,12,10.21,1829,10.18732,2025-08-28 17:35:00+00:00
1756402620000,10.17,10.31,10.17,6,10.31,701,10.20781,2025-08-28 17:37:00+00:00
1756402680000,10.17,10.17,10.0328,5,10.0328,277,10.1014,2025-08-28 17:38:00+00:00
1756402860000,10.2874,10.2874,10.2874,3,10.2874,112,10.2874,2025-08-28 17:41:00+00:00
1756402980000,10.0233,10.04,10.02,29,10.04,897,10.028386,2025-08-28 17:43:00+00:00
1756403100000,10.02,10.0471,10.02,7,10.0471,503,10.027729,2025-08-28 17:45:00+00:00
1756403220000,10.0208,10.06,10.0208,5,10.06,623,10.027603,2025-08-28 17:47:00+00:00
1756403340000,10.06,10.06,10.0278,3,10.0278,770,10.049267,2025-08-28 17:49:00+00:00
1756403460000,10.09,10.09,10.09,4,10.09,226,10.09,2025-08-28 17:51:00+00:00
1756403700000,10.06,10.06,10.06,2,10.06,500,10.06,2025-08-28 17:55:00+00:00
1756403820000,10.1,10.1,10.0906,4,10.0906,724,10.097314,2025-08-28 17:57:00+00:00
1756404060000,10.2018,10.2018,10.2018,3,10.2018,725,10.2018,2025-08-28 18:01:00+00:00
1756404120000,10.195,10.195,10.195,7,10.195,451,10.195,2025-08-28 18:02:00+00:00
1756404360000,10.11,10.11,10.11,3,10.11,146,10.11,2025-08-28 18:06:00+00:00
1756404660000,10.09,10.09,10.09,2,10.09,101,10.09,2025-08-28 18:11:00+00:00
1756404720000,10.1292,10.1292,10.1292,1,10.1292,1500,10.1292,2025-08-28 18:12:00+00:00
1756404840000,10.09,10.165,10.09,2,10.165,510,10.150294,2025-08-28 18:14:00+00:00
1756405020000,10.1,10.1,10.1,1,10.1,100,10.1,2025-08-28 18:17:00+00:00
1756405080000,10.1079,10.1079,10.1079,2,10.1079,1401,10.1079,2025-08-28 18:18:00+00:00
1756405440000,10.09,10.09,10.09,4,10.09,326,10.09,2025-08-28 18:24:00+00:00
1756405500000,10.1682,10.1682,10.1682,2,10.1682,302,10.1682,2025-08-28 18:25:00+00:00
1756405800000,10.0905,10.185,10.07,20,10.185,3555,10.117306,2025-08-28 18:30:00+00:00
1756405860000,10.01,10.08,10.01,21,10.08,1143,10.053886,2025-08-28 18:31:00+00:00
1756405920000,10.01,10.01,9.87,17,9.89,2514,9.911194,2025-08-28 18:32:00+00:00
1756406100000,9.88,10.0298,9.88,10,9.9876,1023,9.987075,2025-08-28 18:35:00+00:00
1756406280000,10.01,10.01,9.8984,4,9.8984,501,9.960816,2025-08-28 18:38:00+00:00
