timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758125640000,3.81,3.8601,3.81,35,3.86,12006,3.835742,2025-09-17 16:14:00+00:00
1758125760000,3.83,3.83,3.83,2,3.83,505,3.83,2025-09-17 16:16:00+00:00
1758125820000,3.79,3.83,3.775,48,3.83,8101,3.80102,2025-09-17 16:17:00+00:00
1758125880000,3.79,3.79,3.79,1,3.79,1000,3.79,2025-09-17 16:18:00+00:00
1758126120000,3.87,3.8953,3.87,11,3.8953,368,3.887988,2025-09-17 16:22:00+00:00
1758126180000,3.8445,3.8445,3.8445,3,3.8445,568,3.8445,2025-09-17 16:23:00+00:00
1758126300000,3.875,3.875,3.875,2,3.875,155,3.875,2025-09-17 16:25:00+00:00
1758126480000,3.8751,3.89,3.84,13,3.89,994,3.870574,2025-09-17 16:28:00+00:00
1758126660000,3.82,3.855,3.82,2,3.855,500,3.827,2025-09-17 16:31:00+00:00
1758126960000,3.8565,3.8565,3.8565,1,3.8565,100,3.8565,2025-09-17 16:36:00+00:00
1758127380000,3.86,3.86,3.86,5,3.86,233,3.86,2025-09-17 16:43:00+00:00
1758127440000,3.8752,3.8752,3.8752,5,3.8752,301,3.8752,2025-09-17 16:44:00+00:00
1758127620000,3.9185,3.9185,3.9185,6,3.9185,383,3.9185,2025-09-17 16:47:00+00:00
1758127680000,3.89,3.89,3.89,1,3.89,250,3.89,2025-09-17 16:48:00+00:00
1758127860000,3.895,3.895,3.895,5,3.895,111,3.895,2025-09-17 16:51:00+00:00
1758128100000,3.84,3.84,3.84,6,3.84,1076,3.84,2025-09-17 16:55:00+00:00
1758128760000,3.8301,3.85,3.83,11,3.85,4227,3.832305,2025-09-17 17:06:00+00:00
1758128880000,3.845,3.845,3.845,1,3.845,390,3.845,2025-09-17 17:08:00+00:00
1758129000000,3.83,3.831,3.83,9,3.831,1996,3.830239,2025-09-17 17:10:00+00:00
1758129060000,3.8293,3.8293,3.8293,1,3.8293,104,3.8293,2025-09-17 17:11:00+00:00
1758129240000,3.83,3.83,3.829,5,3.829,1443,3.829333,2025-09-17 17:14:00+00:00
1758129300000,3.82,3.82,3.81,2,3.81,280,3.813571,2025-09-17 17:15:00+00:00
1758129600000,3.9,3.9,3.89,8,3.89,510,3.896667,2025-09-17 17:20:00+00:00
1758129780000,3.86,3.87,3.86,3,3.87,301,3.866667,2025-09-17 17:23:00+00:00
1758129840000,3.9,3.9,3.9,1,3.9,550,3.9,2025-09-17 17:24:00+00:00
1758129900000,3.8501,3.8501,3.85,12,3.85,3013,3.85005,2025-09-17 17:25:00+00:00
1758129960000,3.9,3.9,3.9,1,3.9,700,3.9,2025-09-17 17:26:00+00:00
1758130200000,3.85,3.85,3.85,6,3.85,203,3.85,2025-09-17 17:30:00+00:00
1758130860000,3.895,3.895,3.895,3,3.895,149,3.895,2025-09-17 17:41:00+00:00
1758130920000,3.8885,3.8885,3.8885,1,3.8885,150,3.8885,2025-09-17 17:42:00+00:00
1758130980000,3.8939,3.8939,3.8939,2,3.8939,153,3.8939,2025-09-17 17:43:00+00:00
1758131220000,3.8616,3.8616,3.8616,1,3.8616,140,3.8616,2025-09-17 17:47:00+00:00
1758131640000,3.9,3.9,3.9,1,3.9,2000,3.9,2025-09-17 17:54:00+00:00
1758131760000,3.905,3.905,3.905,1,3.905,100,3.905,2025-09-17 17:56:00+00:00
1758131880000,3.905,3.9471,3.905,4,3.905,4300,3.945142,2025-09-17 17:58:00+00:00
1758132780000,3.925,3.925,3.925,1,3.925,100,3.925,2025-09-17 18:13:00+00:00
1758132840000,3.86,3.86,3.86,1,3.86,200,3.86,2025-09-17 18:14:00+00:00
1758132900000,3.92,3.92,3.92,1,3.92,1250,3.92,2025-09-17 18:15:00+00:00
1758133260000,3.8601,3.8601,3.8601,1,3.8601,1062,3.8601,2025-09-17 18:21:00+00:00
1758133920000,3.93,3.93,3.93,2,3.93,101,3.93,2025-09-17 18:32:00+00:00
1758134580000,3.9146,3.9146,3.9146,1,3.9146,200,3.9146,2025-09-17 18:43:00+00:00
1758134700000,3.93,3.93,3.93,1,3.93,100,3.93,2025-09-17 18:45:00+00:00
1758134820000,3.95,3.95,3.95,4,3.95,1003,3.95,2025-09-17 18:47:00+00:00
1758135300000,3.935,3.935,3.935,1,3.935,100,3.935,2025-09-17 18:55:00+00:00
1758135840000,3.935,3.935,3.935,1,3.935,100,3.935,2025-09-17 19:04:00+00:00
1758135900000,3.935,3.935,3.935,4,3.935,301,3.935,2025-09-17 19:05:00+00:00
1758135960000,3.91,3.91,3.91,1,3.91,100,3.91,2025-09-17 19:06:00+00:00
1758136200000,3.935,3.9544,3.935,5,3.9544,1380,3.952992,2025-09-17 19:10:00+00:00
1758136500000,3.91,3.91,3.91,1,3.91,100,3.91,2025-09-17 19:15:00+00:00
1758136620000,3.91,3.91,3.91,2,3.91,200,3.91,2025-09-17 19:17:00+00:00
1758136680000,3.9436,3.9436,3.9436,1,3.9436,100,3.9436,2025-09-17 19:18:00+00:00
1758136740000,3.91,3.91,3.91,10,3.91,405,3.91,2025-09-17 19:19:00+00:00
1758136980000,3.905,3.905,3.905,3,3.905,107,3.905,2025-09-17 19:23:00+00:00
1758137580000,3.895,3.895,3.895,1,3.895,100,3.895,2025-09-17 19:33:00+00:00
1758137760000,3.8724,3.8724,3.8724,2,3.8724,241,3.8724,2025-09-17 19:36:00+00:00
1758137820000,3.9047,3.9047,3.9047,1,3.9047,240,3.9047,2025-09-17 19:37:00+00:00
1758137940000,3.91,3.91,3.91,3,3.91,273,3.91,2025-09-17 19:39:00+00:00
1758138060000,3.885,3.885,3.885,5,3.885,271,3.885,2025-09-17 19:41:00+00:00
1758138120000,3.91,3.91,3.91,2,3.91,129,3.91,2025-09-17 19:42:00+00:00
1758138180000,3.8792,3.8792,3.8792,1,3.8792,135,3.8792,2025-09-17 19:43:00+00:00
1758138240000,3.885,3.885,3.885,8,3.885,666,3.885,2025-09-17 19:44:00+00:00
1758138360000,3.85,3.895,3.85,44,3.8838,6494,3.87373,2025-09-17 19:46:00+00:00
1758138480000,3.885,3.885,3.8647,15,3.8647,668,3.869743,2025-09-17 19:48:00+00:00
1758138720000,3.8776,3.8875,3.8776,2,3.8875,1143,3.886261,2025-09-17 19:52:00+00:00
1758139020000,3.8609,3.8609,3.8609,1,3.8609,100,3.8609,2025-09-17 19:57:00+00:00
1758139200000,3.87,3.87,3.87,1,3.87,2229,3.87,2025-09-17 20:00:00+00:00
1758202200000,3.87,3.89,3.87,18,3.89,962,3.874339,2025-09-18 13:30:00+00:00
1758202320000,3.88,3.88,3.88,11,3.88,580,3.88,2025-09-18 13:32:00+00:00
1758202380000,3.88,3.88,3.88,2,3.88,302,3.88,2025-09-18 13:33:00+00:00
1758202500000,3.8808,3.915,3.8808,6,3.915,1180,3.901735,2025-09-18 13:35:00+00:00
1758202560000,3.96,3.96,3.96,1,3.96,500,3.96,2025-09-18 13:36:00+00:00
1758202680000,3.9423,3.9423,3.9423,3,3.9423,120,3.9423,2025-09-18 13:38:00+00:00
1758202920000,3.9108,3.9108,3.9108,5,3.9108,208,3.9108,2025-09-18 13:42:00+00:00
1758203340000,3.8814,3.8814,3.8814,2,3.8814,520,3.8814,2025-09-18 13:49:00+00:00
1758203400000,3.9101,3.9101,3.9101,1,3.9101,700,3.9101,2025-09-18 13:50:00+00:00
1758203520000,3.92,3.92,3.92,3,3.92,301,3.92,2025-09-18 13:52:00+00:00
1758203580000,3.9021,3.92,3.8801,4,3.92,2704,3.899352,2025-09-18 13:53:00+00:00
1758203640000,3.915,3.915,3.915,2,3.915,103,3.915,2025-09-18 13:54:00+00:00
1758203760000,3.91,3.91,3.91,1,3.91,124,3.91,2025-09-18 13:56:00+00:00
1758204300000,3.914,3.914,3.914,2,3.914,146,3.914,2025-09-18 14:05:00+00:00
1758204360000,3.93,3.93,3.93,2,3.93,106,3.93,2025-09-18 14:06:00+00:00
1758204480000,3.92,3.92,3.92,1,3.92,200,3.92,2025-09-18 14:08:00+00:00
1758204540000,3.92,3.92,3.92,1,3.92,100,3.92,2025-09-18 14:09:00+00:00
1758204660000,3.93,3.93,3.93,1,3.93,150,3.93,2025-09-18 14:11:00+00:00
1758204780000,4.0,4.0,3.9496,23,3.9496,2110,3.957589,2025-09-18 14:13:00+00:00
1758205260000,3.9435,3.9435,3.9435,2,3.9435,201,3.9435,2025-09-18 14:21:00+00:00
1758205320000,3.99,3.995,3.99,14,3.995,363,3.9925,2025-09-18 14:22:00+00:00
1758205440000,3.9114,3.9114,3.9114,1,3.9114,705,3.9114,2025-09-18 14:24:00+00:00
1758205620000,3.9288,3.9288,3.9288,3,3.9288,102,3.9288,2025-09-18 14:27:00+00:00
1758205680000,3.9218,3.9218,3.9218,1,3.9218,500,3.9218,2025-09-18 14:28:00+00:00
1758205920000,3.9208,3.9208,3.9208,4,3.9208,203,3.9208,2025-09-18 14:32:00+00:00
1758206040000,3.945,3.945,3.945,3,3.945,151,3.945,2025-09-18 14:34:00+00:00
1758206940000,3.98,3.98,3.94,3,3.94,300,3.956667,2025-09-18 14:49:00+00:00
1758207120000,3.941,3.941,3.941,2,3.941,349,3.941,2025-09-18 14:52:00+00:00
1758207180000,3.96,3.96,3.96,4,3.96,116,3.96,2025-09-18 14:53:00+00:00
1758207240000,3.96,3.96,3.96,5,3.96,857,3.96,2025-09-18 14:54:00+00:00
1758207840000,3.9625,3.9625,3.9625,2,3.9625,127,3.9625,2025-09-18 15:04:00+00:00
1758207900000,3.9476,3.9476,3.9476,3,3.9476,1129,3.9476,2025-09-18 15:05:00+00:00
1758208320000,3.95,3.95,3.95,3,3.95,1892,3.95,2025-09-18 15:12:00+00:00
1758208440000,3.98,3.98,3.98,16,3.98,717,3.98,2025-09-18 15:14:00+00:00
1758208560000,4.0158,4.0158,4.01,2,4.01,400,4.01435,2025-09-18 15:16:00+00:00
1758208620000,4.035,4.035,4.02,5,4.02,1169,4.033636,2025-09-18 15:17:00+00:00
1758208680000,4.04,4.05,4.0399,15,4.0399,2619,4.041895,2025-09-18 15:18:00+00:00
1758208740000,4.03,4.03,4.03,6,4.03,354,4.03,2025-09-18 15:19:00+00:00
1758208800000,4.04,4.04,4.04,8,4.04,216,4.04,2025-09-18 15:20:00+00:00
1758209160000,4.0,4.0,4.0,4,4.0,488,4.0,2025-09-18 15:26:00+00:00
1758209700000,3.99,3.99,3.99,3,3.99,885,3.99,2025-09-18 15:35:00+00:00
1758210660000,3.99,3.99,3.99,4,3.99,693,3.99,2025-09-18 15:51:00+00:00
1758210780000,3.97,3.97,3.97,1,3.97,536,3.97,2025-09-18 15:53:00+00:00
1758210840000,3.99,3.99,3.99,1,3.99,100,3.99,2025-09-18 15:54:00+00:00
1758211020000,4.02,4.02,3.99,5,3.99,1111,3.995994,2025-09-18 15:57:00+00:00
1758211500000,3.99,4.02,3.99,13,4.02,285,4.005,2025-09-18 16:05:00+00:00
1758211800000,4.0474,4.0474,4.0474,2,4.0474,1039,4.0474,2025-09-18 16:10:00+00:00
1758211980000,4.05,4.05,4.03,7,4.0325,966,4.037277,2025-09-18 16:13:00+00:00
