timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755615480000,0.1063,0.1063,0.1063,1,0.1063,2000,0.1063,2025-08-19 14:58:00+00:00
1755615540000,0.0988,0.1062,0.097,305,0.1062,815405,0.100957,2025-08-19 14:59:00+00:00
1755615600000,0.1014,0.1015,0.1,16,0.1,52333,0.101468,2025-08-19 15:00:00+00:00
1755615660000,0.1014,0.1015,0.1008,35,0.1015,135908,0.101381,2025-08-19 15:01:00+00:00
1755615720000,0.102,0.102,0.1001,23,0.1014,73810,0.101434,2025-08-19 15:02:00+00:00
1755615780000,0.102,0.102,0.101,11,0.101,15015,0.101919,2025-08-19 15:03:00+00:00
1755615840000,0.1011,0.102,0.1011,9,0.102,12357,0.101903,2025-08-19 15:04:00+00:00
1755615900000,0.1011,0.1036,0.1011,24,0.102,26359,0.102626,2025-08-19 15:05:00+00:00
1755615960000,0.1037,0.1045,0.1035,11,0.1036,16734,0.103899,2025-08-19 15:06:00+00:00
1755616020000,0.1045,0.1047,0.1038,24,0.1038,59040,0.104333,2025-08-19 15:07:00+00:00
1755616080000,0.1041,0.1045,0.1041,3,0.1045,1750,0.104371,2025-08-19 15:08:00+00:00
1755616140000,0.1025,0.1039,0.1025,7,0.1039,11000,0.103775,2025-08-19 15:09:00+00:00
1755616320000,0.1032,0.1044,0.1031,7,0.1031,12199,0.104188,2025-08-19 15:12:00+00:00
1755616440000,0.1031,0.1038,0.1031,10,0.1032,14101,0.103216,2025-08-19 15:14:00+00:00
1755616500000,0.1031,0.1031,0.1031,1,0.1031,1000,0.1031,2025-08-19 15:15:00+00:00
1755616560000,0.103,0.1035,0.103,16,0.1035,106454,0.103144,2025-08-19 15:16:00+00:00
1755616620000,0.103,0.103,0.103,3,0.103,4376,0.103,2025-08-19 15:17:00+00:00
1755616680000,0.1,0.1026,0.0989,43,0.1026,120862,0.100374,2025-08-19 15:18:00+00:00
1755616740000,0.1026,0.1026,0.102,18,0.102,10001,0.102391,2025-08-19 15:19:00+00:00
1755616800000,0.1002,0.1005,0.1002,2,0.1005,19070,0.100247,2025-08-19 15:20:00+00:00
1755616860000,0.1025,0.1025,0.1025,3,0.1025,4018,0.1025,2025-08-19 15:21:00+00:00
1755616980000,0.1014,0.1014,0.1014,1,0.1014,2000,0.1014,2025-08-19 15:23:00+00:00
1755617040000,0.1015,0.1015,0.1015,2,0.1015,660,0.1015,2025-08-19 15:24:00+00:00
1755617100000,0.1025,0.1025,0.1023,3,0.1023,889,0.102322,2025-08-19 15:25:00+00:00
1755617160000,0.1026,0.1026,0.1026,2,0.1026,252,0.1026,2025-08-19 15:26:00+00:00
1755617220000,0.1017,0.1022,0.1017,18,0.1022,37129,0.102096,2025-08-19 15:27:00+00:00
1755617400000,0.1018,0.1018,0.1018,4,0.1018,306,0.1018,2025-08-19 15:30:00+00:00
1755617460000,0.1017,0.1017,0.1017,3,0.1017,310,0.1017,2025-08-19 15:31:00+00:00
1755617520000,0.1009,0.1016,0.1007,14,0.1016,23560,0.101127,2025-08-19 15:32:00+00:00
1755617580000,0.1015,0.1015,0.1015,2,0.1015,129,0.1015,2025-08-19 15:33:00+00:00
1755617700000,0.1016,0.1017,0.1015,4,0.1017,20521,0.101602,2025-08-19 15:35:00+00:00
