timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757430900000,1.602,1.602,1.602,1,1.602,300,1.602,2025-09-09 15:15:00+00:00
1757430960000,1.5901,1.6,1.58,14,1.6,5694,1.591323,2025-09-09 15:16:00+00:00
1757431500000,1.5701,1.5701,1.5701,2,1.5701,590,1.5701,2025-09-09 15:25:00+00:00
1757431740000,1.5601,1.5601,1.5601,3,1.5601,2301,1.5601,2025-09-09 15:29:00+00:00
1757431800000,1.58,1.58,1.58,1,1.58,100,1.58,2025-09-09 15:30:00+00:00
1757431860000,1.6,1.6,1.6,4,1.6,208,1.6,2025-09-09 15:31:00+00:00
1757432100000,1.5998,1.5998,1.595,8,1.595,865,1.595916,2025-09-09 15:35:00+00:00
1757432220000,1.61,1.61,1.6,9,1.6,514,1.605,2025-09-09 15:37:00+00:00
1757432340000,1.61,1.61,1.61,1,1.61,100,1.61,2025-09-09 15:39:00+00:00
1757432700000,1.6,1.61,1.6,2,1.61,200,1.605,2025-09-09 15:45:00+00:00
1757432760000,1.61,1.61,1.61,4,1.61,600,1.61,2025-09-09 15:46:00+00:00
1757432820000,1.6199,1.6199,1.6199,2,1.6199,295,1.6199,2025-09-09 15:47:00+00:00
1757433000000,1.61,1.61,1.61,1,1.61,100,1.61,2025-09-09 15:50:00+00:00
1757433060000,1.6,1.6064,1.59,11,1.6064,1479,1.602165,2025-09-09 15:51:00+00:00
1757433420000,1.6098,1.6098,1.6098,3,1.6098,619,1.6098,2025-09-09 15:57:00+00:00
1757433480000,1.56,1.59,1.56,21,1.59,7104,1.581441,2025-09-09 15:58:00+00:00
1757433600000,1.58,1.58,1.58,6,1.58,254,1.58,2025-09-09 16:00:00+00:00
1757434380000,1.6,1.6,1.6,5,1.6,405,1.6,2025-09-09 16:13:00+00:00
1757434680000,1.59,1.59,1.59,1,1.59,200,1.59,2025-09-09 16:18:00+00:00
1757434740000,1.59,1.59,1.59,3,1.59,316,1.59,2025-09-09 16:19:00+00:00
1757434860000,1.6,1.6,1.6,1,1.6,100,1.6,2025-09-09 16:21:00+00:00
1757434920000,1.5701,1.5701,1.5701,6,1.5701,173,1.5701,2025-09-09 16:22:00+00:00
1757435100000,1.58,1.58,1.58,4,1.58,156,1.58,2025-09-09 16:25:00+00:00
1757435160000,1.58,1.58,1.58,1,1.58,200,1.58,2025-09-09 16:26:00+00:00
1757435280000,1.595,1.595,1.59,8,1.59,700,1.591,2025-09-09 16:28:00+00:00
1757435580000,1.5838,1.5838,1.5838,2,1.5838,240,1.5838,2025-09-09 16:33:00+00:00
1757435820000,1.595,1.595,1.595,1,1.595,2000,1.595,2025-09-09 16:37:00+00:00
1757436240000,1.595,1.595,1.595,2,1.595,200,1.595,2025-09-09 16:44:00+00:00
1757436360000,1.5926,1.5926,1.5926,1,1.5926,200,1.5926,2025-09-09 16:46:00+00:00
