timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758642360000,0.3123,0.3123,0.312,40,0.312,23816,0.312052,2025-09-23 15:46:00+00:00
1758642420000,0.3124,0.3124,0.3123,12,0.3123,4083,0.312344,2025-09-23 15:47:00+00:00
1758642480000,0.3123,0.3124,0.3123,9,0.3123,2631,0.312361,2025-09-23 15:48:00+00:00
1758642540000,0.3123,0.3124,0.3123,9,0.3123,11022,0.312346,2025-09-23 15:49:00+00:00
1758642600000,0.3123,0.3124,0.3123,10,0.3123,9574,0.312317,2025-09-23 15:50:00+00:00
1758642660000,0.3123,0.3124,0.3123,20,0.3123,11396,0.312352,2025-09-23 15:51:00+00:00
1758642720000,0.3123,0.3124,0.3123,9,0.3123,12728,0.312326,2025-09-23 15:52:00+00:00
1758642780000,0.3119,0.3123,0.3119,46,0.3123,15894,0.312287,2025-09-23 15:53:00+00:00
1758642840000,0.3123,0.3123,0.3116,8,0.3116,3539,0.311641,2025-09-23 15:54:00+00:00
1758642900000,0.3123,0.3123,0.3122,45,0.3123,28288,0.312266,2025-09-23 15:55:00+00:00
1758642960000,0.312,0.3123,0.312,21,0.3123,8603,0.312283,2025-09-23 15:56:00+00:00
1758643020000,0.3119,0.3122,0.3117,5,0.3122,5580,0.311896,2025-09-23 15:57:00+00:00
1758643080000,0.3117,0.3123,0.3117,10,0.3123,2604,0.312108,2025-09-23 15:58:00+00:00
1758643140000,0.3121,0.3122,0.3116,14,0.312,5911,0.311869,2025-09-23 15:59:00+00:00
1758643200000,0.3116,0.3122,0.3116,16,0.3122,1683,0.311981,2025-09-23 16:00:00+00:00
1758643260000,0.312,0.3123,0.3116,12,0.3123,8421,0.31223,2025-09-23 16:01:00+00:00
1758643320000,0.312,0.312,0.3116,9,0.3117,2470,0.311636,2025-09-23 16:02:00+00:00
1758643380000,0.312,0.3123,0.3117,11,0.3123,2593,0.312021,2025-09-23 16:03:00+00:00
1758643440000,0.3121,0.3122,0.3117,26,0.3117,9261,0.31201,2025-09-23 16:04:00+00:00
1758643500000,0.3121,0.3122,0.312,11,0.312,1256,0.312058,2025-09-23 16:05:00+00:00
1758643560000,0.3122,0.3122,0.3121,13,0.3121,52791,0.312101,2025-09-23 16:06:00+00:00
1758643620000,0.3123,0.3123,0.3122,31,0.3122,14627,0.312223,2025-09-23 16:07:00+00:00
1758643680000,0.3122,0.3123,0.3122,6,0.3123,15956,0.312299,2025-09-23 16:08:00+00:00
1758643740000,0.3122,0.3122,0.3122,29,0.3122,3804,0.3122,2025-09-23 16:09:00+00:00
1758643800000,0.3121,0.3123,0.3105,71,0.3122,56845,0.310863,2025-09-23 16:10:00+00:00
1758643860000,0.3102,0.3121,0.3102,55,0.3121,9307,0.311055,2025-09-23 16:11:00+00:00
1758643920000,0.3105,0.3106,0.31,113,0.3101,114647,0.310022,2025-09-23 16:12:00+00:00
1758643980000,0.3112,0.3112,0.311,3,0.311,2556,0.311096,2025-09-23 16:13:00+00:00
1758644040000,0.3111,0.3112,0.3111,5,0.3112,695,0.311184,2025-09-23 16:14:00+00:00
1758644100000,0.3112,0.3112,0.3111,5,0.3111,8121,0.311107,2025-09-23 16:15:00+00:00
1758644160000,0.3045,0.3111,0.3045,93,0.3111,112929,0.307744,2025-09-23 16:16:00+00:00
1758644220000,0.3074,0.31,0.3067,4,0.3098,2800,0.309625,2025-09-23 16:17:00+00:00
1758644280000,0.305,0.3104,0.305,7,0.3066,1500,0.309193,2025-09-23 16:18:00+00:00
1758644340000,0.3098,0.3098,0.3049,6,0.305,688,0.308277,2025-09-23 16:19:00+00:00
1758644400000,0.3096,0.3098,0.3055,10,0.3083,6744,0.308949,2025-09-23 16:20:00+00:00
1758644460000,0.3073,0.3077,0.3055,39,0.3077,123402,0.307324,2025-09-23 16:21:00+00:00
1758644520000,0.3069,0.3079,0.3055,9,0.3079,4754,0.306123,2025-09-23 16:22:00+00:00
1758644580000,0.3067,0.3069,0.3057,10,0.3062,7337,0.306284,2025-09-23 16:23:00+00:00
1758644640000,0.3067,0.3068,0.3057,9,0.3062,3956,0.306281,2025-09-23 16:24:00+00:00
1758644700000,0.3066,0.3067,0.3066,11,0.3066,11037,0.306638,2025-09-23 16:25:00+00:00
1758644760000,0.3066,0.3067,0.3066,16,0.3067,9376,0.306609,2025-09-23 16:26:00+00:00
1758644820000,0.3066,0.3066,0.3066,6,0.3066,232,0.3066,2025-09-23 16:27:00+00:00
1758644880000,0.3066,0.3067,0.3066,14,0.3066,8597,0.306626,2025-09-23 16:28:00+00:00
1758644940000,0.3066,0.3067,0.3066,15,0.3066,4914,0.306634,2025-09-23 16:29:00+00:00
