timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758547800000,0.382,0.382,0.382,16,0.382,19436,0.382,2025-09-22 13:30:00+00:00
1758547860000,0.381,0.381,0.381,2,0.381,2003,0.381,2025-09-22 13:31:00+00:00
1758547920000,0.3801,0.3801,0.3801,1,0.3801,3500,0.3801,2025-09-22 13:32:00+00:00
1758547980000,0.3812,0.3812,0.38,10,0.38,11158,0.380034,2025-09-22 13:33:00+00:00
1758548040000,0.3818,0.3818,0.3818,2,0.3818,204,0.3818,2025-09-22 13:34:00+00:00
1758548160000,0.3811,0.3815,0.3811,2,0.3815,5250,0.381119,2025-09-22 13:36:00+00:00
1758548220000,0.381,0.381,0.381,3,0.381,5038,0.381,2025-09-22 13:37:00+00:00
1758548280000,0.3808,0.3811,0.3806,12,0.3806,2300,0.380939,2025-09-22 13:38:00+00:00
1758548340000,0.3808,0.3809,0.3807,9,0.3809,2431,0.380866,2025-09-22 13:39:00+00:00
1758548580000,0.3808,0.3808,0.3808,3,0.3808,349,0.3808,2025-09-22 13:43:00+00:00
1758548640000,0.3808,0.3809,0.3807,3,0.3809,2162,0.380826,2025-09-22 13:44:00+00:00
1758548700000,0.3808,0.3809,0.3808,6,0.3808,860,0.380837,2025-09-22 13:45:00+00:00
1758548760000,0.3808,0.3808,0.3808,2,0.3808,200,0.3808,2025-09-22 13:46:00+00:00
1758548820000,0.3807,0.3807,0.3807,2,0.3807,202,0.3807,2025-09-22 13:47:00+00:00
1758548940000,0.3809,0.3809,0.3808,5,0.3808,7612,0.380851,2025-09-22 13:49:00+00:00
1758549000000,0.3837,0.3837,0.3809,10,0.3809,4010,0.381813,2025-09-22 13:50:00+00:00
1758549060000,0.3837,0.3837,0.3832,6,0.3832,827,0.38345,2025-09-22 13:51:00+00:00
1758549120000,0.3837,0.3837,0.3824,5,0.3824,2074,0.382716,2025-09-22 13:52:00+00:00
1758549240000,0.385,0.385,0.3841,6,0.3841,3869,0.384949,2025-09-22 13:54:00+00:00
1758549300000,0.3867,0.388,0.3867,10,0.3867,1515,0.387682,2025-09-22 13:55:00+00:00
1758549360000,0.3853,0.3858,0.3852,13,0.3858,10402,0.385263,2025-09-22 13:56:00+00:00
1758549480000,0.3858,0.3869,0.3858,3,0.3869,4332,0.386798,2025-09-22 13:58:00+00:00
1758549540000,0.3861,0.3883,0.3861,8,0.3883,461,0.38715,2025-09-22 13:59:00+00:00
1758549600000,0.3878,0.3878,0.3872,8,0.3872,732,0.387492,2025-09-22 14:00:00+00:00
1758549660000,0.3861,0.3873,0.386,15,0.3873,7973,0.38629,2025-09-22 14:01:00+00:00
1758549720000,0.3865,0.3865,0.386,2,0.386,3000,0.386083,2025-09-22 14:02:00+00:00
1758549780000,0.3816,0.3861,0.3806,26,0.386,13913,0.385118,2025-09-22 14:03:00+00:00
1758549840000,0.3816,0.3816,0.3804,9,0.3804,4520,0.380853,2025-09-22 14:04:00+00:00
1758549900000,0.3835,0.3883,0.3813,14,0.3813,4401,0.386791,2025-09-22 14:05:00+00:00
