timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756839360000,1.34,1.35,1.33,167,1.3399,44792,1.337659,2025-09-02 18:56:00+00:00
1756839420000,1.3411,1.35,1.34,179,1.35,62223,1.347196,2025-09-02 18:57:00+00:00
1756839480000,1.345,1.35,1.34,120,1.345,26129,1.346055,2025-09-02 18:58:00+00:00
1756839540000,1.34,1.35,1.33,232,1.341,65475,1.341359,2025-09-02 18:59:00+00:00
1756839600000,1.35,1.35,1.33,242,1.34,47995,1.344598,2025-09-02 19:00:00+00:00
1756839660000,1.365,1.4,1.34,657,1.35,179866,1.376656,2025-09-02 19:01:00+00:00
1756839720000,1.385,1.39,1.36,407,1.3603,111813,1.378344,2025-09-02 19:02:00+00:00
1756839780000,1.4,1.42,1.37,529,1.3847,200822,1.396075,2025-09-02 19:03:00+00:00
1756839840000,1.3801,1.41,1.38,198,1.3991,57908,1.393412,2025-09-02 19:04:00+00:00
1756839900000,1.3813,1.39,1.38,161,1.3899,26598,1.383963,2025-09-02 19:05:00+00:00
1756839960000,1.398,1.398,1.38,161,1.3858,32131,1.383623,2025-09-02 19:06:00+00:00
1756840020000,1.4,1.4,1.38,150,1.4,19595,1.393066,2025-09-02 19:07:00+00:00
1756840080000,1.3999,1.43,1.39,341,1.4,96445,1.408606,2025-09-02 19:08:00+00:00
1756840140000,1.395,1.4,1.39,91,1.39,11944,1.393143,2025-09-02 19:09:00+00:00
1756840200000,1.35,1.4,1.35,263,1.39,98292,1.376247,2025-09-02 19:10:00+00:00
1756840260000,1.34,1.37,1.33,292,1.3599,105665,1.339694,2025-09-02 19:11:00+00:00
1756840320000,1.3203,1.35,1.31,245,1.34,66541,1.327693,2025-09-02 19:12:00+00:00
1756840380000,1.32,1.33,1.31,129,1.3288,62267,1.318495,2025-09-02 19:13:00+00:00
1756840440000,1.338,1.34,1.31,142,1.3101,58286,1.326566,2025-09-02 19:14:00+00:00
1756840500000,1.36,1.37,1.33,250,1.33,55945,1.351485,2025-09-02 19:15:00+00:00
1756840560000,1.38,1.41,1.35,296,1.35,77515,1.381846,2025-09-02 19:16:00+00:00
1756840620000,1.3801,1.39,1.38,143,1.38,63555,1.384363,2025-09-02 19:17:00+00:00
1756840680000,1.425,1.45,1.38,467,1.385,132059,1.41242,2025-09-02 19:18:00+00:00
1756840740000,1.45,1.485,1.4107,633,1.421,202649,1.449926,2025-09-02 19:19:00+00:00
1756840800000,1.4501,1.47,1.44,291,1.45,85175,1.457078,2025-09-02 19:20:00+00:00
1756840860000,1.4399,1.46,1.43,150,1.45,39869,1.442025,2025-09-02 19:21:00+00:00
1756840920000,1.3747,1.44,1.36,263,1.435,98833,1.386486,2025-09-02 19:22:00+00:00
1756840980000,1.3799,1.39,1.36,213,1.375,100325,1.367395,2025-09-02 19:23:00+00:00
1756841040000,1.3908,1.4,1.37,152,1.38,27607,1.387234,2025-09-02 19:24:00+00:00
1756841100000,1.4,1.4,1.39,105,1.391,41593,1.393609,2025-09-02 19:25:00+00:00
1756841160000,1.395,1.4,1.38,78,1.398,24771,1.395673,2025-09-02 19:26:00+00:00
1756841220000,1.3704,1.4,1.37,102,1.3908,43534,1.37657,2025-09-02 19:27:00+00:00
1756841280000,1.39,1.39,1.37,95,1.37,19582,1.377713,2025-09-02 19:28:00+00:00
1756841340000,1.36,1.39,1.36,153,1.39,21849,1.370501,2025-09-02 19:29:00+00:00
1756841400000,1.3849,1.39,1.3601,172,1.365,32180,1.375645,2025-09-02 19:30:00+00:00
1756841460000,1.39,1.39,1.38,48,1.39,7444,1.386701,2025-09-02 19:31:00+00:00
1756841520000,1.38,1.39,1.375,124,1.39,22538,1.383593,2025-09-02 19:32:00+00:00
1756841580000,1.38,1.38,1.37,48,1.375,7202,1.376358,2025-09-02 19:33:00+00:00
1756841640000,1.39,1.39,1.37,150,1.3795,29253,1.381224,2025-09-02 19:34:00+00:00
1756841700000,1.4299,1.43,1.38,291,1.39,29730,1.407817,2025-09-02 19:35:00+00:00
1756841760000,1.41,1.45,1.4,380,1.43,111080,1.437227,2025-09-02 19:36:00+00:00
1756841820000,1.4401,1.48,1.4109,480,1.4142,162914,1.456756,2025-09-02 19:37:00+00:00
1756841880000,1.4399,1.47,1.4,300,1.445,69531,1.43728,2025-09-02 19:38:00+00:00
1756841940000,1.4691,1.47,1.4301,246,1.435,54420,1.457507,2025-09-02 19:39:00+00:00
1756842000000,1.4698,1.47,1.46,127,1.461,73204,1.465097,2025-09-02 19:40:00+00:00
1756842060000,1.5389,1.57,1.46,1035,1.46,287829,1.522475,2025-09-02 19:41:00+00:00
1756842120000,1.565,1.62,1.53,951,1.531,308967,1.57201,2025-09-02 19:42:00+00:00
1756842180000,1.525,1.57,1.51,329,1.5601,125446,1.539845,2025-09-02 19:43:00+00:00
1756842240000,1.515,1.55,1.51,383,1.53,99510,1.526651,2025-09-02 19:44:00+00:00
1756842300000,1.4991,1.53,1.48,368,1.515,126491,1.504852,2025-09-02 19:45:00+00:00
1756842360000,1.4701,1.5,1.46,298,1.491,140970,1.477663,2025-09-02 19:46:00+00:00
1756842420000,1.51,1.53,1.47,350,1.475,108043,1.505798,2025-09-02 19:47:00+00:00
1756842480000,1.5001,1.52,1.5,185,1.515,55482,1.511007,2025-09-02 19:48:00+00:00
1756842540000,1.495,1.505,1.49,106,1.505,26735,1.492851,2025-09-02 19:49:00+00:00
1756842600000,1.4758,1.5,1.46,258,1.49,69946,1.469783,2025-09-02 19:50:00+00:00
1756842660000,1.4702,1.49,1.47,174,1.471,63406,1.480592,2025-09-02 19:51:00+00:00
1756842720000,1.4801,1.5,1.46,259,1.47,58306,1.484018,2025-09-02 19:52:00+00:00
1756842780000,1.49,1.49,1.46,321,1.49,88526,1.47456,2025-09-02 19:53:00+00:00
1756842840000,1.569,1.57,1.48,687,1.4895,252418,1.527571,2025-09-02 19:54:00+00:00
1756842900000,1.55,1.59,1.54,834,1.57,275185,1.565564,2025-09-02 19:55:00+00:00
1756842960000,1.5689,1.58,1.54,372,1.5501,94488,1.560202,2025-09-02 19:56:00+00:00
1756843020000,1.5699,1.58,1.54,422,1.57,140298,1.558924,2025-09-02 19:57:00+00:00
1756843080000,1.505,1.57,1.49,362,1.57,100357,1.527222,2025-09-02 19:58:00+00:00
1756843140000,1.44,1.51,1.41,550,1.505,165562,1.441393,2025-09-02 19:59:00+00:00
1756843200000,1.44,1.49,1.43,90,1.4301,70465,1.458365,2025-09-02 20:00:00+00:00
1756906200000,1.2,1.26,1.2,145,1.26,61460,1.229175,2025-09-03 13:30:00+00:00
1756906260000,1.195,1.215,1.19,48,1.215,25603,1.193512,2025-09-03 13:31:00+00:00
1756906320000,1.22,1.24,1.19,30,1.195,24212,1.218457,2025-09-03 13:32:00+00:00
1756906380000,1.275,1.2899,1.22,83,1.235,22251,1.25644,2025-09-03 13:33:00+00:00
1756906440000,1.285,1.32,1.2701,43,1.2738,29574,1.291931,2025-09-03 13:34:00+00:00
1756906500000,1.315,1.33,1.28,191,1.3,42715,1.304577,2025-09-03 13:35:00+00:00
1756906560000,1.3,1.34,1.3,63,1.33,20838,1.318871,2025-09-03 13:36:00+00:00
1756906620000,1.28,1.309,1.28,106,1.305,27300,1.292986,2025-09-03 13:37:00+00:00
1756906680000,1.2946,1.2946,1.24,88,1.27,19211,1.253132,2025-09-03 13:38:00+00:00
1756906740000,1.2901,1.32,1.26,43,1.29,22063,1.2948,2025-09-03 13:39:00+00:00
1756906800000,1.28,1.2902,1.28,49,1.2901,11125,1.285629,2025-09-03 13:40:00+00:00
1756906860000,1.34,1.35,1.3001,60,1.3028,18217,1.333417,2025-09-03 13:41:00+00:00
1756906920000,1.37,1.39,1.3314,61,1.3416,13040,1.35342,2025-09-03 13:42:00+00:00
1756906980000,1.43,1.44,1.3534,132,1.37,46895,1.400815,2025-09-03 13:43:00+00:00
1756907040000,1.45,1.4579,1.42,148,1.4302,38072,1.442464,2025-09-03 13:44:00+00:00
1756907100000,1.48,1.49,1.4446,152,1.4446,67278,1.478985,2025-09-03 13:45:00+00:00
1756907160000,1.485,1.49,1.48,145,1.4899,72285,1.487923,2025-09-03 13:46:00+00:00
1756907220000,1.4401,1.4813,1.41,122,1.48,27062,1.462386,2025-09-03 13:47:00+00:00
1756907280000,1.47,1.49,1.43,137,1.442,32280,1.464222,2025-09-03 13:48:00+00:00
1756907340000,1.49,1.5,1.47,66,1.48,16052,1.4876,2025-09-03 13:49:00+00:00
1756907400000,1.5475,1.55,1.485,163,1.485,34870,1.53489,2025-09-03 13:50:00+00:00
1756907460000,1.5,1.55,1.5,127,1.55,41362,1.5185,2025-09-03 13:51:00+00:00
1756907520000,1.5093,1.5184,1.5,53,1.5082,23326,1.504272,2025-09-03 13:52:00+00:00
1756907580000,1.4646,1.5099,1.45,106,1.5099,30360,1.48331,2025-09-03 13:53:00+00:00
1756907640000,1.5,1.51,1.46,68,1.46,7537,1.4848,2025-09-03 13:54:00+00:00
1756907700000,1.54,1.57,1.5013,143,1.5013,43342,1.535789,2025-09-03 13:55:00+00:00
1756907760000,1.725,1.79,1.5413,437,1.5413,158051,1.619383,2025-09-03 13:56:00+00:00
1756907820000,1.57,1.7299,1.5442,249,1.7299,85603,1.603277,2025-09-03 13:57:00+00:00
1756907880000,1.595,1.62,1.56,162,1.5712,56724,1.601285,2025-09-03 13:58:00+00:00
1756907940000,1.59,1.6,1.5801,97,1.595,49653,1.595393,2025-09-03 13:59:00+00:00
1756908000000,1.52,1.589,1.51,98,1.58,31063,1.556921,2025-09-03 14:00:00+00:00
1756908060000,1.43,1.515,1.4,363,1.515,74980,1.446891,2025-09-03 14:01:00+00:00
1756908120000,1.4002,1.43,1.38,207,1.4,56735,1.405274,2025-09-03 14:02:00+00:00
1756908180000,1.41,1.44,1.405,121,1.41,54102,1.413367,2025-09-03 14:03:00+00:00
1756908240000,1.38,1.4299,1.35,165,1.42,35043,1.383552,2025-09-03 14:04:00+00:00
1756908300000,1.41,1.41,1.3607,93,1.37,30375,1.395893,2025-09-03 14:05:00+00:00
1756908360000,1.39,1.41,1.39,86,1.41,30256,1.39166,2025-09-03 14:06:00+00:00
1756908420000,1.4,1.4,1.391,36,1.3912,2082,1.397136,2025-09-03 14:07:00+00:00
1756908480000,1.3991,1.4,1.3935,11,1.395,7039,1.394604,2025-09-03 14:08:00+00:00
1756908540000,1.395,1.395,1.39,30,1.395,9212,1.392048,2025-09-03 14:09:00+00:00
1756908600000,1.3999,1.4,1.39,19,1.391,7165,1.396275,2025-09-03 14:10:00+00:00
1756908660000,1.4,1.4,1.391,8,1.3992,1002,1.39584,2025-09-03 14:11:00+00:00
1756908720000,1.3992,1.3992,1.39,26,1.3908,3523,1.39208,2025-09-03 14:12:00+00:00
1756908780000,1.395,1.3999,1.39,11,1.3999,2259,1.3919,2025-09-03 14:13:00+00:00
1756908840000,1.37,1.3998,1.35,263,1.395,37091,1.374045,2025-09-03 14:14:00+00:00
1756908900000,1.36,1.38,1.36,20,1.3601,2947,1.364189,2025-09-03 14:15:00+00:00
1756908960000,1.3769,1.3916,1.351,27,1.36,5832,1.363136,2025-09-03 14:16:00+00:00
1756909020000,1.37,1.3816,1.36,38,1.3816,9456,1.365116,2025-09-03 14:17:00+00:00
1756909080000,1.385,1.4,1.36,31,1.37,6110,1.378456,2025-09-03 14:18:00+00:00
1756909140000,1.3977,1.3999,1.3801,12,1.3801,7160,1.394609,2025-09-03 14:19:00+00:00
1756909200000,1.4098,1.41,1.39,80,1.4,9391,1.400096,2025-09-03 14:20:00+00:00
1756909260000,1.4072,1.4072,1.4001,7,1.4001,1632,1.406069,2025-09-03 14:21:00+00:00
1756909320000,1.38,1.4092,1.38,27,1.4092,2909,1.403381,2025-09-03 14:22:00+00:00
1756909380000,1.3736,1.4,1.371,44,1.381,8860,1.392098,2025-09-03 14:23:00+00:00
1756909440000,1.3742,1.3899,1.3701,19,1.3886,2581,1.37782,2025-09-03 14:24:00+00:00
1756909500000,1.3584,1.38,1.356,38,1.37,12624,1.367741,2025-09-03 14:25:00+00:00
1756909560000,1.3502,1.355,1.35,24,1.35,4338,1.35125,2025-09-03 14:26:00+00:00
1756909620000,1.3526,1.36,1.35,34,1.3588,10891,1.357275,2025-09-03 14:27:00+00:00
1756909680000,1.38,1.38,1.35,8,1.35,525,1.363025,2025-09-03 14:28:00+00:00
1756909740000,1.36,1.39,1.36,22,1.36,9231,1.384543,2025-09-03 14:29:00+00:00
1756909800000,1.37,1.375,1.36,15,1.3601,11615,1.370073,2025-09-03 14:30:00+00:00
1756909860000,1.39,1.39,1.3603,7,1.3603,1524,1.373025,2025-09-03 14:31:00+00:00
1756909920000,1.4027,1.41,1.39,110,1.39,6618,1.402864,2025-09-03 14:32:00+00:00
1756909980000,1.4,1.4006,1.4,28,1.4006,1636,1.400318,2025-09-03 14:33:00+00:00
1756910040000,1.35,1.3902,1.35,57,1.39,11847,1.358216,2025-09-03 14:34:00+00:00
1756910100000,1.3702,1.3702,1.37,6,1.37,496,1.370112,2025-09-03 14:35:00+00:00
1756910160000,1.36,1.41,1.36,26,1.3742,5807,1.373012,2025-09-03 14:36:00+00:00
1756910220000,1.36,1.3701,1.36,10,1.3701,1172,1.367846,2025-09-03 14:37:00+00:00
1756910340000,1.38,1.38,1.35,42,1.35,7185,1.359492,2025-09-03 14:39:00+00:00
1756910460000,1.39,1.39,1.3701,6,1.38,2437,1.38141,2025-09-03 14:41:00+00:00
1756910520000,1.375,1.3816,1.36,43,1.38,5702,1.369827,2025-09-03 14:42:00+00:00
1756910580000,1.351,1.3653,1.351,21,1.3653,1419,1.357753,2025-09-03 14:43:00+00:00
1756910640000,1.37,1.371,1.35,44,1.35,7059,1.361912,2025-09-03 14:44:00+00:00
1756910700000,1.38,1.38,1.35,17,1.36,1960,1.359512,2025-09-03 14:45:00+00:00
1756910820000,1.4,1.4,1.385,16,1.39,3823,1.390187,2025-09-03 14:47:00+00:00
1756910880000,1.3836,1.39,1.3641,8,1.39,814,1.370586,2025-09-03 14:48:00+00:00
1756911000000,1.3514,1.37,1.35,17,1.37,2023,1.356234,2025-09-03 14:50:00+00:00
1756911060000,1.36,1.37,1.35,13,1.3503,3620,1.359678,2025-09-03 14:51:00+00:00
1756911120000,1.3504,1.37,1.3504,12,1.37,741,1.353415,2025-09-03 14:52:00+00:00
1756911180000,1.3509,1.3509,1.3509,5,1.3509,192,1.3509,2025-09-03 14:53:00+00:00
1756911300000,1.37,1.37,1.351,9,1.351,1368,1.354384,2025-09-03 14:55:00+00:00
1756911360000,1.3501,1.37,1.35,8,1.37,3305,1.351735,2025-09-03 14:56:00+00:00
1756911420000,1.36,1.36,1.35,17,1.35,790,1.352443,2025-09-03 14:57:00+00:00
1756911480000,1.351,1.351,1.351,3,1.351,204,1.351,2025-09-03 14:58:00+00:00
1756911540000,1.35,1.3762,1.34,45,1.3762,3786,1.343841,2025-09-03 14:59:00+00:00
1756911600000,1.37,1.37,1.3402,45,1.3407,4081,1.349987,2025-09-03 15:00:00+00:00
1756911780000,1.35,1.35,1.35,14,1.35,1793,1.35,2025-09-03 15:03:00+00:00
1756911840000,1.35,1.35,1.3417,7,1.35,1233,1.348487,2025-09-03 15:04:00+00:00
1756911900000,1.3443,1.3457,1.341,12,1.341,8513,1.343796,2025-09-03 15:05:00+00:00
1756911960000,1.375,1.38,1.3483,19,1.3483,9026,1.365733,2025-09-03 15:06:00+00:00
1756912020000,1.37,1.38,1.37,10,1.38,4026,1.379488,2025-09-03 15:07:00+00:00
1756912080000,1.37,1.37,1.362,26,1.37,2019,1.367085,2025-09-03 15:08:00+00:00
1756912140000,1.36,1.36,1.35,10,1.36,1191,1.354944,2025-09-03 15:09:00+00:00
1756912200000,1.35,1.36,1.35,25,1.35,4382,1.355099,2025-09-03 15:10:00+00:00
1756912260000,1.355,1.355,1.34,19,1.34,2495,1.347795,2025-09-03 15:11:00+00:00
1756912320000,1.354,1.365,1.34,170,1.35,16136,1.347931,2025-09-03 15:12:00+00:00
1756912380000,1.35,1.35,1.35,13,1.35,1835,1.35,2025-09-03 15:13:00+00:00
1756912500000,1.36,1.36,1.36,4,1.36,386,1.36,2025-09-03 15:15:00+00:00
1756912560000,1.36,1.36,1.35,58,1.35,2701,1.356062,2025-09-03 15:16:00+00:00
1756912620000,1.36,1.365,1.36,11,1.36,1707,1.360297,2025-09-03 15:17:00+00:00
1756912680000,1.3498,1.36,1.33,15,1.36,1803,1.341549,2025-09-03 15:18:00+00:00
1756912740000,1.35,1.35,1.33,51,1.33,2660,1.345435,2025-09-03 15:19:00+00:00
1756912800000,1.355,1.36,1.33,107,1.35,24566,1.348558,2025-09-03 15:20:00+00:00
1756912860000,1.333,1.345,1.333,7,1.345,585,1.335143,2025-09-03 15:21:00+00:00
1756912920000,1.32,1.3534,1.32,41,1.3534,2602,1.332005,2025-09-03 15:22:00+00:00
1756912980000,1.32,1.3207,1.32,16,1.32,8139,1.320285,2025-09-03 15:23:00+00:00
1756913040000,1.32,1.36,1.31,52,1.3207,13532,1.320828,2025-09-03 15:24:00+00:00
1756913100000,1.31,1.33,1.3047,27,1.33,5221,1.311999,2025-09-03 15:25:00+00:00
1756913160000,1.31,1.31,1.28,57,1.31,13991,1.303976,2025-09-03 15:26:00+00:00
1756913220000,1.3251,1.3251,1.3,4,1.3,848,1.306019,2025-09-03 15:27:00+00:00
1756913340000,1.32,1.3252,1.31,11,1.32,2240,1.319587,2025-09-03 15:29:00+00:00
1756913400000,1.33,1.33,1.33,13,1.33,2184,1.33,2025-09-03 15:30:00+00:00
1756913460000,1.34,1.34,1.3302,15,1.3302,1150,1.338476,2025-09-03 15:31:00+00:00
1756913520000,1.33,1.345,1.33,21,1.345,3356,1.344511,2025-09-03 15:32:00+00:00
1756913580000,1.35,1.35,1.35,1,1.35,596,1.35,2025-09-03 15:33:00+00:00
1756913640000,1.345,1.3498,1.345,5,1.3498,1070,1.348075,2025-09-03 15:34:00+00:00
1756913700000,1.34,1.34,1.34,5,1.34,282,1.34,2025-09-03 15:35:00+00:00
1756913760000,1.32,1.325,1.32,24,1.325,1215,1.321429,2025-09-03 15:36:00+00:00
1756913820000,1.34,1.34,1.325,26,1.325,2317,1.338485,2025-09-03 15:37:00+00:00
1756913880000,1.3484,1.3484,1.3484,3,1.3484,321,1.3484,2025-09-03 15:38:00+00:00
1756913940000,1.3487,1.3487,1.33,11,1.34,2452,1.332936,2025-09-03 15:39:00+00:00
