timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758651180000,18.1588,18.2,18.15,144,18.2,14213,18.174721,2025-09-23 18:13:00+00:00
1758651240000,18.17,18.185,18.155,90,18.16,4046,18.170051,2025-09-23 18:14:00+00:00
1758651300000,18.17,18.1824,18.16,43,18.16,3423,18.170707,2025-09-23 18:15:00+00:00
1758651360000,18.125,18.1768,18.12,89,18.165,9293,18.149639,2025-09-23 18:16:00+00:00
1758651420000,18.13,18.14,18.129,59,18.13,3758,18.135429,2025-09-23 18:17:00+00:00
1758651480000,18.15,18.15,18.13,95,18.13,17409,18.137424,2025-09-23 18:18:00+00:00
1758651540000,18.1351,18.15,18.13,49,18.15,6147,18.142136,2025-09-23 18:19:00+00:00
1758651600000,18.17,18.18,18.135,143,18.135,17406,18.164116,2025-09-23 18:20:00+00:00
1758651660000,18.14,18.165,18.14,34,18.165,4770,18.152715,2025-09-23 18:21:00+00:00
1758651720000,18.1716,18.1716,18.1445,50,18.1445,4526,18.154575,2025-09-23 18:22:00+00:00
1758651780000,18.17,18.1875,18.17,89,18.17,5861,18.179222,2025-09-23 18:23:00+00:00
1758651840000,18.17,18.17,18.155,43,18.16,3377,18.164346,2025-09-23 18:24:00+00:00
1758651900000,18.18,18.21,18.17,89,18.17,8979,18.1833,2025-09-23 18:25:00+00:00
1758651960000,18.1912,18.1912,18.175,91,18.18,7913,18.181098,2025-09-23 18:26:00+00:00
1758652020000,18.2053,18.2053,18.1849,62,18.19,6995,18.191935,2025-09-23 18:27:00+00:00
1758652080000,18.19,18.2,18.185,67,18.2,4583,18.192473,2025-09-23 18:28:00+00:00
1758652140000,18.185,18.189,18.185,43,18.185,4452,18.18702,2025-09-23 18:29:00+00:00
1758652200000,18.24,18.24,18.18,221,18.18,13672,18.20297,2025-09-23 18:30:00+00:00
1758652260000,18.245,18.27,18.235,158,18.235,21330,18.251331,2025-09-23 18:31:00+00:00
1758652320000,18.19,18.2538,18.1835,185,18.245,22274,18.216423,2025-09-23 18:32:00+00:00
1758652380000,18.21,18.21,18.18,115,18.18,9933,18.197068,2025-09-23 18:33:00+00:00
1758652440000,18.22,18.22,18.205,73,18.205,7227,18.211887,2025-09-23 18:34:00+00:00
1758652500000,18.2,18.22,18.2,61,18.215,5923,18.21065,2025-09-23 18:35:00+00:00
1758652560000,18.2,18.21,18.195,65,18.2083,9084,18.200659,2025-09-23 18:36:00+00:00
1758652620000,18.16,18.19,18.159,51,18.19,5777,18.170058,2025-09-23 18:37:00+00:00
1758652680000,18.135,18.15,18.13,59,18.15,7529,18.141116,2025-09-23 18:38:00+00:00
1758652740000,18.125,18.1369,18.12,59,18.13,6523,18.127865,2025-09-23 18:39:00+00:00
1758652800000,18.15,18.16,18.125,163,18.13,9058,18.138185,2025-09-23 18:40:00+00:00
1758652860000,18.137,18.1575,18.137,49,18.15,4077,18.148798,2025-09-23 18:41:00+00:00
1758652920000,18.1301,18.1438,18.1301,32,18.14,1860,18.136923,2025-09-23 18:42:00+00:00
1758652980000,18.16,18.175,18.1476,72,18.1476,3686,18.162226,2025-09-23 18:43:00+00:00
1758653040000,18.18,18.18,18.16,42,18.16,2498,18.170789,2025-09-23 18:44:00+00:00
1758653100000,18.18,18.185,18.165,63,18.185,4438,18.177977,2025-09-23 18:45:00+00:00
1758653160000,18.2198,18.2198,18.19,66,18.19,13004,18.196513,2025-09-23 18:46:00+00:00
1758653220000,18.21,18.21,18.195,62,18.21,2911,18.204962,2025-09-23 18:47:00+00:00
1758653280000,18.15,18.19,18.15,49,18.19,3988,18.172598,2025-09-23 18:48:00+00:00
1758653340000,18.128,18.16,18.12,47,18.16,5916,18.131506,2025-09-23 18:49:00+00:00
1758653400000,18.145,18.145,18.125,113,18.13,8181,18.131626,2025-09-23 18:50:00+00:00
1758653460000,18.14,18.15,18.14,65,18.145,5871,18.143602,2025-09-23 18:51:00+00:00
1758653520000,18.13,18.14,18.127,33,18.14,2658,18.129872,2025-09-23 18:52:00+00:00
1758653580000,18.1177,18.13,18.11,106,18.13,8033,18.119171,2025-09-23 18:53:00+00:00
1758653640000,18.113,18.1194,18.1001,63,18.117,3666,18.106942,2025-09-23 18:54:00+00:00
1758653700000,18.13,18.13,18.105,122,18.11,9248,18.116426,2025-09-23 18:55:00+00:00
1758653760000,18.135,18.135,18.12,45,18.12,2725,18.122221,2025-09-23 18:56:00+00:00
1758653820000,18.13,18.14,18.13,47,18.14,7383,18.131816,2025-09-23 18:57:00+00:00
1758653880000,18.105,18.13,18.105,101,18.13,7520,18.117747,2025-09-23 18:58:00+00:00
1758653940000,18.13,18.13,18.105,257,18.105,17226,18.12113,2025-09-23 18:59:00+00:00
1758654000000,18.12,18.15,18.11,291,18.13,35222,18.126439,2025-09-23 19:00:00+00:00
1758654060000,18.12,18.12,18.115,48,18.1158,3039,18.11843,2025-09-23 19:01:00+00:00
1758654120000,18.1,18.1284,18.0999,93,18.1284,10211,18.110939,2025-09-23 19:02:00+00:00
1758654180000,18.08,18.09,18.06,146,18.09,16531,18.077151,2025-09-23 19:03:00+00:00
1758654240000,18.06,18.08,18.06,64,18.08,5836,18.064489,2025-09-23 19:04:00+00:00
1758654300000,18.0835,18.0865,18.06,110,18.06,10144,18.074457,2025-09-23 19:05:00+00:00
1758654360000,18.095,18.095,18.07,65,18.08,3692,18.078788,2025-09-23 19:06:00+00:00
1758654420000,18.09,18.1,18.09,58,18.095,8112,18.095598,2025-09-23 19:07:00+00:00
