timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758635340000,0.3165,0.3172,0.3165,3,0.3172,610,0.317083,2025-09-23 13:49:00+00:00
1758635400000,0.3141,0.3165,0.3109,48,0.3165,38784,0.312924,2025-09-23 13:50:00+00:00
1758635460000,0.315,0.3165,0.3109,12,0.3165,7310,0.314625,2025-09-23 13:51:00+00:00
1758635520000,0.3165,0.3193,0.315,9,0.3158,22029,0.316767,2025-09-23 13:52:00+00:00
1758635580000,0.325,0.325,0.3166,29,0.319,43077,0.319481,2025-09-23 13:53:00+00:00
1758635640000,0.3249,0.3249,0.3218,13,0.3218,14867,0.322133,2025-09-23 13:54:00+00:00
1758635700000,0.3181,0.3249,0.3181,80,0.324,46726,0.324048,2025-09-23 13:55:00+00:00
1758635760000,0.3248,0.3248,0.3215,27,0.3232,38306,0.322832,2025-09-23 13:56:00+00:00
1758635820000,0.3246,0.3247,0.3246,4,0.3247,1571,0.324664,2025-09-23 13:57:00+00:00
1758635880000,0.3228,0.3247,0.3228,9,0.3247,7407,0.324431,2025-09-23 13:58:00+00:00
1758635940000,0.3226,0.325,0.3226,28,0.3228,41389,0.324576,2025-09-23 13:59:00+00:00
1758636000000,0.3203,0.3229,0.318,59,0.3228,21435,0.321123,2025-09-23 14:00:00+00:00
1758636060000,0.3208,0.3224,0.32,15,0.3224,4441,0.321595,2025-09-23 14:01:00+00:00
1758636120000,0.3201,0.3224,0.3201,17,0.3224,10886,0.320757,2025-09-23 14:02:00+00:00
1758636180000,0.32,0.32,0.32,12,0.32,6737,0.32,2025-09-23 14:03:00+00:00
1758636240000,0.3141,0.32,0.3126,77,0.32,48779,0.314866,2025-09-23 14:04:00+00:00
1758636300000,0.3117,0.3127,0.3026,212,0.3127,172423,0.305909,2025-09-23 14:05:00+00:00
1758636360000,0.3084,0.3117,0.3048,27,0.305,11521,0.309988,2025-09-23 14:06:00+00:00
1758636420000,0.3085,0.3194,0.3066,33,0.3194,48132,0.308992,2025-09-23 14:07:00+00:00
1758636480000,0.3085,0.3085,0.305,32,0.3067,7274,0.308248,2025-09-23 14:08:00+00:00
1758636540000,0.305,0.31,0.305,17,0.3085,41702,0.309447,2025-09-23 14:09:00+00:00
1758636600000,0.3067,0.3084,0.305,14,0.305,25273,0.305452,2025-09-23 14:10:00+00:00
1758636660000,0.305,0.3077,0.305,11,0.307,7202,0.306142,2025-09-23 14:11:00+00:00
1758636720000,0.3057,0.3061,0.3057,10,0.3057,2400,0.305929,2025-09-23 14:12:00+00:00
1758636780000,0.3071,0.3085,0.3057,33,0.3085,23483,0.308293,2025-09-23 14:13:00+00:00
1758636840000,0.3061,0.3125,0.3061,10,0.3068,7966,0.311454,2025-09-23 14:14:00+00:00
1758636900000,0.3089,0.3089,0.3089,4,0.3089,1320,0.3089,2025-09-23 14:15:00+00:00
1758636960000,0.3117,0.3117,0.3089,8,0.3089,11238,0.311402,2025-09-23 14:16:00+00:00
1758637020000,0.3059,0.3117,0.3053,9,0.3053,1101,0.307245,2025-09-23 14:17:00+00:00
1758637080000,0.3066,0.3105,0.3066,8,0.3105,6366,0.307295,2025-09-23 14:18:00+00:00
1758637140000,0.3065,0.3065,0.305,10,0.3053,8689,0.305515,2025-09-23 14:19:00+00:00
1758637200000,0.3051,0.3065,0.305,5,0.3065,6598,0.305516,2025-09-23 14:20:00+00:00
1758637260000,0.308,0.308,0.3065,18,0.3079,3238,0.3076,2025-09-23 14:21:00+00:00
1758637320000,0.307,0.308,0.3065,6,0.308,7017,0.307304,2025-09-23 14:22:00+00:00
1758637380000,0.308,0.308,0.308,6,0.308,480,0.308,2025-09-23 14:23:00+00:00
1758637440000,0.307,0.3075,0.306,16,0.3075,5402,0.306994,2025-09-23 14:24:00+00:00
1758637500000,0.3075,0.3079,0.3065,5,0.3079,3779,0.307201,2025-09-23 14:25:00+00:00
1758637560000,0.3071,0.3133,0.3071,43,0.3075,41263,0.311234,2025-09-23 14:26:00+00:00
1758637620000,0.3199,0.32,0.3091,26,0.3133,22400,0.317254,2025-09-23 14:27:00+00:00
1758637680000,0.3166,0.32,0.3166,38,0.3199,41907,0.319386,2025-09-23 14:28:00+00:00
1758637740000,0.3166,0.32,0.3166,24,0.3175,30126,0.319623,2025-09-23 14:29:00+00:00
1758637800000,0.32,0.32,0.3166,21,0.3166,2520,0.317691,2025-09-23 14:30:00+00:00
1758637860000,0.3178,0.3199,0.3151,24,0.3199,15131,0.317466,2025-09-23 14:31:00+00:00
1758637920000,0.3169,0.3184,0.3169,5,0.3184,1459,0.318289,2025-09-23 14:32:00+00:00
1758637980000,0.318,0.3183,0.3169,17,0.3169,4078,0.317255,2025-09-23 14:33:00+00:00
1758638040000,0.3169,0.3183,0.3156,8,0.3169,3225,0.317988,2025-09-23 14:34:00+00:00
