timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758547800000,2.85,2.86,2.84,82,2.86,40663,2.853585,2025-09-22 13:30:00+00:00
1758547860000,2.8,2.84,2.79,137,2.84,35449,2.803107,2025-09-22 13:31:00+00:00
1758547920000,2.7914,2.8,2.78,84,2.8,57851,2.789052,2025-09-22 13:32:00+00:00
1758547980000,2.7699,2.8,2.76,102,2.8,23778,2.780319,2025-09-22 13:33:00+00:00
1758548040000,2.7609,2.77,2.76,47,2.7699,67623,2.765663,2025-09-22 13:34:00+00:00
1758548100000,2.7301,2.77,2.72,133,2.77,45622,2.744598,2025-09-22 13:35:00+00:00
1758548160000,2.75,2.7579,2.73,42,2.73,10479,2.741634,2025-09-22 13:36:00+00:00
1758548220000,2.7226,2.75,2.7,79,2.75,53400,2.723365,2025-09-22 13:37:00+00:00
1758548280000,2.71,2.7291,2.71,54,2.726,27240,2.719206,2025-09-22 13:38:00+00:00
1758548340000,2.7201,2.725,2.71,57,2.71,9796,2.716278,2025-09-22 13:39:00+00:00
1758548400000,2.7,2.73,2.7,140,2.725,87129,2.707257,2025-09-22 13:40:00+00:00
1758548460000,2.695,2.71,2.68,141,2.69,42809,2.690304,2025-09-22 13:41:00+00:00
1758548520000,2.7001,2.7001,2.69,116,2.7,77599,2.698911,2025-09-22 13:42:00+00:00
1758548580000,2.7201,2.73,2.7,72,2.7015,10330,2.714834,2025-09-22 13:43:00+00:00
1758548640000,2.7193,2.72,2.71,32,2.72,10867,2.716093,2025-09-22 13:44:00+00:00
1758548700000,2.705,2.72,2.705,50,2.72,12207,2.713338,2025-09-22 13:45:00+00:00
1758548760000,2.6991,2.71,2.6991,62,2.709,30282,2.700275,2025-09-22 13:46:00+00:00
1758548820000,2.695,2.7,2.69,25,2.7,2286,2.694331,2025-09-22 13:47:00+00:00
1758548880000,2.7,2.7,2.69,24,2.69,8266,2.692674,2025-09-22 13:48:00+00:00
1758548940000,2.72,2.72,2.6901,80,2.695,13097,2.700742,2025-09-22 13:49:00+00:00
