timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758550980000,2.89,2.895,2.89,7,2.895,435,2.893333,2025-09-22 14:23:00+00:00
1758551040000,2.895,2.895,2.895,3,2.895,201,2.895,2025-09-22 14:24:00+00:00
1758551100000,2.895,2.895,2.895,11,2.895,570,2.895,2025-09-22 14:25:00+00:00
1758551160000,2.895,2.895,2.89,16,2.895,1173,2.891818,2025-09-22 14:26:00+00:00
1758551220000,2.9,2.9,2.89,16,2.89,666,2.896988,2025-09-22 14:27:00+00:00
1758551280000,2.9,2.9,2.895,17,2.9,1081,2.898333,2025-09-22 14:28:00+00:00
1758551340000,2.895,2.895,2.895,14,2.895,631,2.895,2025-09-22 14:29:00+00:00
1758551400000,2.895,2.9,2.895,17,2.895,1700,2.897616,2025-09-22 14:30:00+00:00
1758551460000,2.895,2.9,2.895,13,2.9,1304,2.895451,2025-09-22 14:31:00+00:00
1758551520000,2.895,2.9,2.895,23,2.895,2386,2.898,2025-09-22 14:32:00+00:00
1758551580000,2.9,2.9,2.895,15,2.9,1251,2.896667,2025-09-22 14:33:00+00:00
1758551640000,2.895,2.895,2.895,11,2.895,655,2.895,2025-09-22 14:34:00+00:00
1758551700000,2.9,2.9,2.895,20,2.9,2870,2.895967,2025-09-22 14:35:00+00:00
1758551760000,2.91,2.91,2.9,72,2.9,9318,2.903673,2025-09-22 14:36:00+00:00
1758551820000,2.905,2.905,2.9,10,2.905,932,2.903333,2025-09-22 14:37:00+00:00
1758551880000,2.905,2.91,2.9,22,2.905,1769,2.903529,2025-09-22 14:38:00+00:00
1758551940000,2.905,2.905,2.9,8,2.9,468,2.90375,2025-09-22 14:39:00+00:00
1758552000000,2.91,2.91,2.9,15,2.9,1922,2.902569,2025-09-22 14:40:00+00:00
1758552060000,2.905,2.91,2.905,18,2.91,1654,2.905986,2025-09-22 14:41:00+00:00
1758552120000,2.91,2.91,2.905,9,2.905,529,2.9075,2025-09-22 14:42:00+00:00
1758552180000,2.905,2.91,2.901,9,2.901,1163,2.904554,2025-09-22 14:43:00+00:00
1758552240000,2.91,2.91,2.905,21,2.905,1992,2.906587,2025-09-22 14:44:00+00:00
1758552300000,2.905,2.91,2.905,72,2.905,7825,2.908024,2025-09-22 14:45:00+00:00
1758552360000,2.91,2.91,2.905,42,2.905,4854,2.908989,2025-09-22 14:46:00+00:00
1758552420000,2.91,2.91,2.905,12,2.91,1788,2.906437,2025-09-22 14:47:00+00:00
1758552480000,2.905,2.905,2.905,12,2.905,988,2.905,2025-09-22 14:48:00+00:00
1758552540000,2.91,2.91,2.905,19,2.905,1521,2.908265,2025-09-22 14:49:00+00:00
1758552600000,2.91,2.91,2.905,23,2.91,2239,2.907333,2025-09-22 14:50:00+00:00
1758552660000,2.89,2.91,2.89,71,2.91,8310,2.9002,2025-09-22 14:51:00+00:00
1758552720000,2.895,2.895,2.87,129,2.89,20168,2.883436,2025-09-22 14:52:00+00:00
1758552780000,2.895,2.9,2.895,40,2.895,5228,2.897652,2025-09-22 14:53:00+00:00
1758552900000,2.9,2.9,2.895,7,2.895,343,2.8975,2025-09-22 14:55:00+00:00
1758552960000,2.895,2.9,2.895,11,2.9,1026,2.89875,2025-09-22 14:56:00+00:00
1758553020000,2.89,2.895,2.89,9,2.895,537,2.8925,2025-09-22 14:57:00+00:00
1758553080000,2.9,2.9,2.89,98,2.895,13161,2.897554,2025-09-22 14:58:00+00:00
1758553140000,2.9,2.9,2.895,20,2.895,3021,2.897576,2025-09-22 14:59:00+00:00
1758553200000,2.91,2.91,2.9,31,2.9,1702,2.903605,2025-09-22 15:00:00+00:00
1758553260000,2.91,2.91,2.9098,19,2.91,2004,2.909927,2025-09-22 15:01:00+00:00
1758553320000,2.91,2.91,2.91,10,2.91,627,2.91,2025-09-22 15:02:00+00:00
1758553380000,2.91,2.91,2.9,12,2.91,1134,2.90625,2025-09-22 15:03:00+00:00
1758553440000,2.91,2.91,2.905,15,2.91,1042,2.908328,2025-09-22 15:04:00+00:00
1758553500000,2.905,2.91,2.905,22,2.905,2379,2.90792,2025-09-22 15:05:00+00:00
1758553560000,2.905,2.91,2.905,11,2.91,1133,2.905496,2025-09-22 15:06:00+00:00
1758553620000,2.915,2.915,2.91,44,2.91,4520,2.91382,2025-09-22 15:07:00+00:00
1758553680000,2.92,2.92,2.91,29,2.915,5240,2.919063,2025-09-22 15:08:00+00:00
1758553740000,2.92,2.92,2.91,16,2.92,1280,2.9175,2025-09-22 15:09:00+00:00
1758553800000,2.92,2.92,2.91,14,2.915,972,2.916667,2025-09-22 15:10:00+00:00
1758553860000,2.91,2.92,2.91,12,2.915,1038,2.915833,2025-09-22 15:11:00+00:00
1758553920000,2.92,2.92,2.915,16,2.915,1183,2.917637,2025-09-22 15:12:00+00:00
