timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756221840000,0.7272,0.7272,0.7272,1,0.7272,100,0.7272,2025-08-26 15:24:00+00:00
1756222860000,0.7133,0.7133,0.7133,2,0.7133,452,0.7133,2025-08-26 15:41:00+00:00
1756223760000,0.711,0.711,0.711,7,0.711,566,0.711,2025-08-26 15:56:00+00:00
1756224000000,0.705,0.711,0.705,23,0.7059,1593,0.705932,2025-08-26 16:00:00+00:00
1756224060000,0.7019,0.7019,0.7008,13,0.7008,1078,0.701222,2025-08-26 16:01:00+00:00
1756224120000,0.7,0.7008,0.7,23,0.7001,5293,0.700164,2025-08-26 16:02:00+00:00
1756224180000,0.681,0.6931,0.681,8,0.6931,780,0.689986,2025-08-26 16:03:00+00:00
1756224360000,0.68,0.68,0.68,1,0.68,2304,0.68,2025-08-26 16:06:00+00:00
1756226400000,0.73,0.73,0.7022,5,0.7022,500,0.7081,2025-08-26 16:40:00+00:00
1756226640000,0.7253,0.7298,0.7253,3,0.7298,326,0.728415,2025-08-26 16:44:00+00:00
1756228560000,0.7253,0.7253,0.7249,5,0.7249,413,0.7252,2025-08-26 17:16:00+00:00
1756231980000,0.7199,0.7199,0.7199,1,0.7199,100,0.7199,2025-08-26 18:13:00+00:00
1756233120000,0.6979,0.6979,0.6979,1,0.6979,101,0.6979,2025-08-26 18:32:00+00:00
1756233540000,0.71,0.71,0.71,1,0.71,100,0.71,2025-08-26 18:39:00+00:00
1756233660000,0.71,0.71,0.71,3,0.71,550,0.71,2025-08-26 18:41:00+00:00
1756234620000,0.6976,0.7009,0.6976,2,0.7009,864,0.700465,2025-08-26 18:57:00+00:00
1756235820000,0.6948,0.6948,0.6948,1,0.6948,114,0.6948,2025-08-26 19:17:00+00:00
1756236180000,0.7039,0.7039,0.7039,3,0.7039,300,0.7039,2025-08-26 19:23:00+00:00
1756236240000,0.704,0.704,0.704,2,0.704,350,0.704,2025-08-26 19:24:00+00:00
1756238400000,0.71,0.71,0.71,1,0.71,106,0.71,2025-08-26 20:00:00+00:00
1756301520000,0.7082,0.7082,0.7079,4,0.7079,202,0.70805,2025-08-27 13:32:00+00:00
1756302240000,0.6948,0.6948,0.6948,1,0.6948,400,0.6948,2025-08-27 13:44:00+00:00
1756302540000,0.6901,0.6901,0.6901,1,0.6901,100,0.6901,2025-08-27 13:49:00+00:00
1756302600000,0.7099,0.7099,0.7036,2,0.7036,1000,0.70675,2025-08-27 13:50:00+00:00
1756302900000,0.708,0.708,0.708,1,0.708,100,0.708,2025-08-27 13:55:00+00:00
1756306080000,0.7,0.7,0.7,2,0.7,305,0.7,2025-08-27 14:48:00+00:00
1756306860000,0.7065,0.7073,0.7063,5,0.7069,411,0.70675,2025-08-27 15:01:00+00:00
1756307040000,0.7074,0.7074,0.7074,1,0.7074,100,0.7074,2025-08-27 15:04:00+00:00
1756308420000,0.6973,0.6973,0.6973,2,0.6973,710,0.6973,2025-08-27 15:27:00+00:00
1756309200000,0.7009,0.7044,0.7009,2,0.7044,1100,0.704082,2025-08-27 15:40:00+00:00
1756309260000,0.6975,0.6977,0.6975,11,0.6975,923,0.697528,2025-08-27 15:41:00+00:00
1756310040000,0.69,0.6953,0.69,4,0.6953,1164,0.694601,2025-08-27 15:54:00+00:00
1756311360000,0.6917,0.6917,0.6908,5,0.6917,500,0.69152,2025-08-27 16:16:00+00:00
1756311780000,0.6968,0.6968,0.6968,2,0.6968,1100,0.6968,2025-08-27 16:23:00+00:00
1756311840000,0.69,0.69,0.69,4,0.69,434,0.69,2025-08-27 16:24:00+00:00
1756312560000,0.6902,0.6904,0.6902,13,0.6904,828,0.690267,2025-08-27 16:36:00+00:00
1756313220000,0.6969,0.6969,0.6969,1,0.6969,240,0.6969,2025-08-27 16:47:00+00:00
1756313820000,0.6969,0.6969,0.6968,4,0.6969,450,0.696874,2025-08-27 16:57:00+00:00
1756313940000,0.6964,0.6964,0.6964,1,0.6964,500,0.6964,2025-08-27 16:59:00+00:00
1756314060000,0.7029,0.7029,0.7029,2,0.7029,101,0.7029,2025-08-27 17:01:00+00:00
1756315800000,0.6964,0.7026,0.6964,7,0.6965,1340,0.697,2025-08-27 17:30:00+00:00
1756318740000,0.6984,0.6984,0.6984,2,0.6984,137,0.6984,2025-08-27 18:19:00+00:00
1756319400000,0.694,0.694,0.694,1,0.694,350,0.694,2025-08-27 18:30:00+00:00
1756321860000,0.6951,0.6951,0.6951,1,0.6951,169,0.6951,2025-08-27 19:11:00+00:00
1756321980000,0.6986,0.6986,0.6986,3,0.6986,269,0.6986,2025-08-27 19:13:00+00:00
1756322040000,0.6964,0.6986,0.6943,12,0.6986,2303,0.69467,2025-08-27 19:14:00+00:00
1756322100000,0.6964,0.6964,0.6963,2,0.6963,200,0.69635,2025-08-27 19:15:00+00:00
1756323000000,0.703,0.703,0.703,1,0.703,100,0.703,2025-08-27 19:30:00+00:00
1756324800000,0.695,0.695,0.695,1,0.695,1120,0.695,2025-08-27 20:00:00+00:00
1756388400000,0.69,0.69,0.69,11,0.69,2100,0.69,2025-08-28 13:40:00+00:00
1756388580000,0.69,0.69,0.69,1,0.69,1000,0.69,2025-08-28 13:43:00+00:00
1756389180000,0.69,0.69,0.69,7,0.69,521,0.69,2025-08-28 13:53:00+00:00
1756391220000,0.6802,0.69,0.6802,7,0.685,2401,0.682029,2025-08-28 14:27:00+00:00
1756392840000,0.72,0.72,0.72,1,0.72,100,0.72,2025-08-28 14:54:00+00:00
1756394460000,0.7199,0.7199,0.7199,1,0.7199,1000,0.7199,2025-08-28 15:21:00+00:00
1756395480000,0.7015,0.7074,0.7015,3,0.7074,3000,0.702483,2025-08-28 15:38:00+00:00
1756395540000,0.72,0.72,0.7199,4,0.7199,3005,0.719967,2025-08-28 15:39:00+00:00
1756395600000,0.717,0.72,0.715,27,0.7199,11284,0.71973,2025-08-28 15:40:00+00:00
1756395960000,0.72,0.7257,0.715,25,0.7198,5585,0.721427,2025-08-28 15:46:00+00:00
1756396020000,0.7229,0.7299,0.7229,6,0.7299,7316,0.729612,2025-08-28 15:47:00+00:00
1756396080000,0.7229,0.73,0.7229,3,0.73,3180,0.729771,2025-08-28 15:48:00+00:00
1756396260000,0.7229,0.7229,0.7229,1,0.7229,100,0.7229,2025-08-28 15:51:00+00:00
1756396320000,0.7159,0.7229,0.7159,6,0.7229,1012,0.7187,2025-08-28 15:52:00+00:00
1756396620000,0.76,0.76,0.7229,65,0.7229,29465,0.745767,2025-08-28 15:57:00+00:00
1756396680000,0.77,0.78,0.76,15,0.78,7638,0.769654,2025-08-28 15:58:00+00:00
1756396740000,0.765,0.765,0.7642,6,0.7642,4046,0.7647,2025-08-28 15:59:00+00:00
1756396800000,0.757,0.7601,0.757,5,0.7601,685,0.759629,2025-08-28 16:00:00+00:00
1756396860000,0.7698,0.7698,0.7698,1,0.7698,150,0.7698,2025-08-28 16:01:00+00:00
1756396920000,0.75,0.75,0.75,2,0.75,101,0.75,2025-08-28 16:02:00+00:00
1756396980000,0.75,0.75,0.75,3,0.75,1350,0.75,2025-08-28 16:03:00+00:00
