timeStamp,close,high,low,trade_count,open,volume,vwap,date
1743523380000,0.9602,0.9602,0.9602,1,0.9602,300,0.9602,2025-04-01 16:03:00+00:00
1743531780000,0.9602,0.9602,0.9602,1,0.9602,100,0.9602,2025-04-01 18:23:00+00:00
1743531900000,0.9602,0.97,0.9602,11,0.9602,1099,0.9651,2025-04-01 18:25:00+00:00
1743532020000,0.9602,0.9613,0.9602,2,0.9613,299,0.960932,2025-04-01 18:27:00+00:00
1743537060000,0.9801,0.9801,0.9801,1,0.9801,130,0.9801,2025-04-01 19:51:00+00:00
1743537240000,1.0,1.0,1.0,2,1.0,1000,1.0,2025-04-01 19:54:00+00:00
1743537360000,1.0,1.0,1.0,4,1.0,381,1.0,2025-04-01 19:56:00+00:00
1743537420000,0.962,0.962,0.962,1,0.962,100,0.962,2025-04-01 19:57:00+00:00
1743537540000,0.9602,0.9602,0.9602,1,0.9602,118,0.9602,2025-04-01 19:59:00+00:00
1743614700000,0.997,0.997,0.997,6,0.997,611,0.997,2025-04-02 17:25:00+00:00
1743615600000,0.98,0.98,0.98,1,0.98,100,0.98,2025-04-02 17:40:00+00:00
1743623700000,0.9505,0.9505,0.9505,2,0.9505,1000,0.9505,2025-04-02 19:55:00+00:00
1743623820000,0.9962,0.9962,0.9962,1,0.9962,1000,0.9962,2025-04-02 19:57:00+00:00
1743624000000,0.9601,0.9601,0.9601,1,0.9601,892,0.9601,2025-04-02 20:00:00+00:00
1743687000000,0.949,0.949,0.949,2,0.949,705,0.949,2025-04-03 13:30:00+00:00
1743687060000,0.9499,0.9499,0.9143,2,0.9143,1100,0.917536,2025-04-03 13:31:00+00:00
1743691200000,0.9499,0.9499,0.9499,1,0.9499,104,0.9499,2025-04-03 14:40:00+00:00
1743693120000,0.9338,0.9338,0.9338,1,0.9338,103,0.9338,2025-04-03 15:12:00+00:00
1743693360000,0.9178,0.9178,0.9178,3,0.9178,934,0.9178,2025-04-03 15:16:00+00:00
1743693480000,0.917,0.917,0.917,2,0.917,346,0.917,2025-04-03 15:18:00+00:00
1743694320000,0.9204,0.9204,0.9203,3,0.9203,1000,0.92039,2025-04-03 15:32:00+00:00
1743694500000,0.92,0.925,0.92,11,0.925,2000,0.922685,2025-04-03 15:35:00+00:00
1743694860000,0.925,0.93,0.925,2,0.93,600,0.929167,2025-04-03 15:41:00+00:00
1743694980000,0.93,0.93,0.93,3,0.93,254,0.93,2025-04-03 15:43:00+00:00
1743695160000,0.93,0.9397,0.93,9,0.93,2000,0.93314,2025-04-03 15:46:00+00:00
1743695220000,0.93,0.9348,0.93,21,0.9348,5751,0.930365,2025-04-03 15:47:00+00:00
1743695280000,0.9581,0.9582,0.9299,24,0.93,5466,0.940909,2025-04-03 15:48:00+00:00
1743695340000,0.9998,0.9998,0.9581,38,0.9581,11459,0.997353,2025-04-03 15:49:00+00:00
1743695640000,1.0098,1.01,0.9997,25,0.9997,4702,1.001991,2025-04-03 15:54:00+00:00
1743695700000,1.03,1.03,1.01,10,1.01,3835,1.025594,2025-04-03 15:55:00+00:00
1743696240000,1.03,1.03,1.01,8,1.01,1400,1.024308,2025-04-03 16:04:00+00:00
1743696840000,0.9448,0.95,0.9448,4,0.95,2677,0.945006,2025-04-03 16:14:00+00:00
1743697500000,1.02,1.02,0.97,26,0.9735,3998,0.98232,2025-04-03 16:25:00+00:00
1743697620000,1.031,1.031,1.031,3,1.031,399,1.031,2025-04-03 16:27:00+00:00
1743699180000,1.04,1.04,1.04,1,1.04,185,1.04,2025-04-03 16:53:00+00:00
1743699960000,1.07,1.07,1.07,1,1.07,500,1.07,2025-04-03 17:06:00+00:00
1743700860000,1.07,1.07,1.07,2,1.07,199,1.07,2025-04-03 17:21:00+00:00
1743700980000,0.9939,0.9939,0.9939,1,0.9939,250,0.9939,2025-04-03 17:23:00+00:00
1743701460000,1.01,1.01,1.0,2,1.0,200,1.005,2025-04-03 17:31:00+00:00
1743703260000,0.9862,0.9862,0.98,4,0.98,300,0.9831,2025-04-03 18:01:00+00:00
1743703380000,1.01,1.01,0.9762,5,0.9762,390,0.9931,2025-04-03 18:03:00+00:00
1743703500000,0.994,0.994,0.9854,3,0.9854,1555,0.993447,2025-04-03 18:05:00+00:00
1743703560000,1.0,1.0502,1.0,9,1.05,2056,1.039912,2025-04-03 18:06:00+00:00
1743703620000,0.9996,0.9996,0.9883,11,0.999,5672,0.998268,2025-04-03 18:07:00+00:00
1743703680000,1.07,1.07,1.04,26,1.06,6668,1.044997,2025-04-03 18:08:00+00:00
1743703740000,1.0,1.0,1.0,6,1.0,600,1.0,2025-04-03 18:09:00+00:00
1743703800000,1.04,1.055,0.9849,26,0.9849,9168,1.007094,2025-04-03 18:10:00+00:00
1743703860000,1.0401,1.0402,1.04,10,1.04,2472,1.040141,2025-04-03 18:11:00+00:00
1743704700000,0.9702,0.9702,0.9702,1,0.9702,500,0.9702,2025-04-03 18:25:00+00:00
1743706080000,1.04,1.04,1.04,2,1.04,199,1.04,2025-04-03 18:48:00+00:00
1743706620000,1.03,1.05,1.03,2,1.05,700,1.044286,2025-04-03 18:57:00+00:00
1743706680000,1.03,1.05,1.0101,3,1.05,900,1.030022,2025-04-03 18:58:00+00:00
1743708120000,1.024,1.03,1.0138,4,1.0138,2200,1.024955,2025-04-03 19:22:00+00:00
1743708360000,1.0157,1.03,1.0157,2,1.03,400,1.02285,2025-04-03 19:26:00+00:00
1743708660000,1.0138,1.0159,1.0138,3,1.0159,687,1.014369,2025-04-03 19:31:00+00:00
1743708720000,1.05,1.05,1.05,1,1.05,500,1.05,2025-04-03 19:32:00+00:00
