timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757444520000,1.5802,1.5881,1.5802,4,1.5881,1851,1.581517,2025-09-09 19:02:00+00:00
1757444580000,1.5835,1.5835,1.5835,1,1.5835,2750,1.5835,2025-09-09 19:03:00+00:00
1757444640000,1.5835,1.585,1.58,8,1.58,2336,1.582746,2025-09-09 19:04:00+00:00
1757444820000,1.58,1.58,1.58,4,1.58,322,1.58,2025-09-09 19:07:00+00:00
1757445060000,1.581,1.581,1.581,1,1.581,241,1.581,2025-09-09 19:11:00+00:00
1757445300000,1.5854,1.5854,1.5854,4,1.5854,156,1.5854,2025-09-09 19:15:00+00:00
1757445600000,1.58,1.58,1.58,1,1.58,100,1.58,2025-09-09 19:20:00+00:00
1757445780000,1.59,1.59,1.59,3,1.59,403,1.59,2025-09-09 19:23:00+00:00
1757445840000,1.5825,1.5825,1.5825,1,1.5825,1000,1.5825,2025-09-09 19:24:00+00:00
1757445900000,1.585,1.585,1.585,1,1.585,170,1.585,2025-09-09 19:25:00+00:00
1757445960000,1.5738,1.581,1.5738,3,1.581,1450,1.577952,2025-09-09 19:26:00+00:00
1757446080000,1.585,1.585,1.585,2,1.585,101,1.585,2025-09-09 19:28:00+00:00
1757446260000,1.5801,1.5801,1.5801,4,1.5801,177,1.5801,2025-09-09 19:31:00+00:00
1757446320000,1.585,1.585,1.58,9,1.58,1689,1.580938,2025-09-09 19:32:00+00:00
1757446380000,1.585,1.5898,1.585,2,1.5898,261,1.586839,2025-09-09 19:33:00+00:00
1757446500000,1.5887,1.5887,1.5887,2,1.5887,2000,1.5887,2025-09-09 19:35:00+00:00
1757446560000,1.59,1.59,1.58,13,1.58,839,1.583077,2025-09-09 19:36:00+00:00
1757446680000,1.59,1.6,1.59,3,1.6,400,1.595,2025-09-09 19:38:00+00:00
1757447040000,1.6299,1.6299,1.6299,1,1.6299,100,1.6299,2025-09-09 19:44:00+00:00
1757447160000,1.61,1.62,1.61,8,1.62,1410,1.618486,2025-09-09 19:46:00+00:00
1757447280000,1.61,1.61,1.61,4,1.61,244,1.61,2025-09-09 19:48:00+00:00
