timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757433600000,3.92,4.51,3.92,486,4.35,546656,4.300973,2025-09-09 16:00:00+00:00
1757434200000,3.17,3.44,3.05,298,3.39,173147,3.301026,2025-09-09 16:10:00+00:00
1757434260000,3.36,3.6,3.17,500,3.17,77218,3.431269,2025-09-09 16:11:00+00:00
1757434320000,3.49,3.54,3.36,226,3.36,49599,3.487452,2025-09-09 16:12:00+00:00
1757434380000,3.72,3.73,3.49,214,3.49,27495,3.642727,2025-09-09 16:13:00+00:00
1757434440000,3.59,3.74,3.35,202,3.72,54590,3.618366,2025-09-09 16:14:00+00:00
1757434500000,3.75,3.81,3.57,229,3.57,65592,3.725829,2025-09-09 16:15:00+00:00
1757434560000,3.7,3.77,3.61,91,3.7301,23659,3.70299,2025-09-09 16:16:00+00:00
1757434620000,3.8,3.88,3.7,165,3.7,38467,3.83513,2025-09-09 16:17:00+00:00
1757434680000,3.8095,3.84,3.74,65,3.76,11418,3.784128,2025-09-09 16:18:00+00:00
1757434740000,3.82,3.82,3.75,48,3.77,10356,3.807952,2025-09-09 16:19:00+00:00
1757434800000,3.84,3.88,3.8167,72,3.84,21436,3.851725,2025-09-09 16:20:00+00:00
1757434860000,3.76,3.83,3.72,52,3.805,15778,3.772753,2025-09-09 16:21:00+00:00
1757434920000,3.79,3.88,3.74,71,3.7599,12131,3.812236,2025-09-09 16:22:00+00:00
1757434980000,3.8399,3.84,3.774,19,3.8349,7619,3.832784,2025-09-09 16:23:00+00:00
1757435040000,3.745,3.84,3.71,71,3.84,35009,3.785557,2025-09-09 16:24:00+00:00
1757435100000,3.8005,3.8005,3.74,17,3.74,2632,3.770704,2025-09-09 16:25:00+00:00
1757435160000,3.78,3.81,3.78,18,3.8099,12869,3.800176,2025-09-09 16:26:00+00:00
1757435220000,3.74,3.8,3.74,45,3.8,14216,3.765538,2025-09-09 16:27:00+00:00
1757435280000,3.79,3.79,3.735,13,3.7396,10149,3.774904,2025-09-09 16:28:00+00:00
1757435340000,3.8,3.8,3.79,16,3.79,2506,3.799461,2025-09-09 16:29:00+00:00
1757435400000,3.79,3.82,3.77,32,3.78,15211,3.796221,2025-09-09 16:30:00+00:00
1757435460000,3.93,3.93,3.79,50,3.79,7999,3.885676,2025-09-09 16:31:00+00:00
1757435520000,3.9747,3.99,3.91,56,3.94,14096,3.968544,2025-09-09 16:32:00+00:00
1757435580000,3.91,4.05,3.91,97,3.9763,36545,3.99964,2025-09-09 16:33:00+00:00
1757435640000,3.98,4.09,3.94,54,3.9458,23751,4.018064,2025-09-09 16:34:00+00:00
1757435700000,3.95,3.99,3.95,20,3.9822,7731,3.972953,2025-09-09 16:35:00+00:00
1757435760000,3.9732,3.9732,3.9364,14,3.9364,4365,3.959652,2025-09-09 16:36:00+00:00
1757435820000,3.976,4.01,3.96,37,3.99,25570,3.988082,2025-09-09 16:37:00+00:00
1757435880000,4.02,4.02,3.97,15,3.9701,1878,3.990799,2025-09-09 16:38:00+00:00
1757435940000,4.02,4.03,4.01,22,4.03,5634,4.022536,2025-09-09 16:39:00+00:00
1757436000000,4.09,4.1,4.04,46,4.04,16017,4.081246,2025-09-09 16:40:00+00:00
1757436060000,4.09,4.1,4.07,35,4.1,12251,4.091076,2025-09-09 16:41:00+00:00
1757436120000,4.0957,4.0957,4.08,22,4.09,12441,4.083655,2025-09-09 16:42:00+00:00
1757436180000,4.11,4.11,4.08,44,4.08,9824,4.099006,2025-09-09 16:43:00+00:00
1757436240000,4.02,4.14,4.02,77,4.12,29938,4.070632,2025-09-09 16:44:00+00:00
1757436300000,4.05,4.05,4.02,33,4.02,8227,4.024933,2025-09-09 16:45:00+00:00
1757436360000,4.05,4.05,4.03,17,4.05,1894,4.042934,2025-09-09 16:46:00+00:00
1757436420000,4.09,4.09,4.05,14,4.05,2906,4.06169,2025-09-09 16:47:00+00:00
1757436480000,4.1301,4.15,4.1,90,4.1,26764,4.134213,2025-09-09 16:48:00+00:00
1757436540000,4.06,4.15,4.06,50,4.14,13783,4.081447,2025-09-09 16:49:00+00:00
1757436600000,4.06,4.1,4.048,12,4.06,4399,4.062627,2025-09-09 16:50:00+00:00
1757436660000,4.08,4.1,4.06,14,4.0702,6760,4.064011,2025-09-09 16:51:00+00:00
1757436720000,4.106,4.106,4.1,9,4.1,751,4.101,2025-09-09 16:52:00+00:00
1757436780000,4.14,4.15,4.12,35,4.12,12079,4.142052,2025-09-09 16:53:00+00:00
1757436840000,4.14,4.15,4.14,5,4.14,1800,4.148844,2025-09-09 16:54:00+00:00
1757436900000,4.19,4.2,4.14,75,4.14,11589,4.162918,2025-09-09 16:55:00+00:00
1757436960000,4.1621,4.2,4.14,48,4.2,14713,4.163624,2025-09-09 16:56:00+00:00
1757437020000,4.2,4.21,4.16,41,4.16,24729,4.194695,2025-09-09 16:57:00+00:00
1757437080000,4.19,4.19,4.19,3,4.19,313,4.19,2025-09-09 16:58:00+00:00
1757437140000,4.18,4.18,4.18,3,4.18,150,4.18,2025-09-09 16:59:00+00:00
1757437200000,4.19,4.19,4.15,18,4.17,4666,4.165114,2025-09-09 17:00:00+00:00
1757437260000,4.18,4.23,4.17,65,4.2,37189,4.197074,2025-09-09 17:01:00+00:00
1757437320000,4.16,4.18,4.14,36,4.17,10488,4.146866,2025-09-09 17:02:00+00:00
1757437380000,4.16,4.17,4.16,15,4.16,4082,4.164367,2025-09-09 17:03:00+00:00
1757437440000,4.16,4.16,4.1592,5,4.1592,415,4.159469,2025-09-09 17:04:00+00:00
1757437500000,4.1521,4.1521,4.15,2,4.15,600,4.15175,2025-09-09 17:05:00+00:00
1757437560000,4.18,4.18,4.1501,16,4.1501,1344,4.168604,2025-09-09 17:06:00+00:00
1757437620000,4.185,4.185,4.185,4,4.185,313,4.185,2025-09-09 17:07:00+00:00
1757437680000,4.19,4.19,4.19,11,4.19,4550,4.19,2025-09-09 17:08:00+00:00
1757437740000,4.206,4.206,4.2,4,4.2,1500,4.201738,2025-09-09 17:09:00+00:00
1757437800000,4.2,4.215,4.2,10,4.215,16212,4.209616,2025-09-09 17:10:00+00:00
1757437860000,4.15,4.199,4.15,14,4.19,8409,4.164473,2025-09-09 17:11:00+00:00
1757437920000,4.22,4.2399,4.1499,34,4.15,16849,4.228939,2025-09-09 17:12:00+00:00
1757437980000,4.19,4.2399,4.17,24,4.22,7590,4.186825,2025-09-09 17:13:00+00:00
1757438040000,4.16,4.18,4.15,15,4.18,5071,4.175598,2025-09-09 17:14:00+00:00
1757438100000,4.14,4.15,4.14,34,4.15,5175,4.143057,2025-09-09 17:15:00+00:00
1757438160000,4.04,4.15,4.03,43,4.15,12485,4.09281,2025-09-09 17:16:00+00:00
1757438220000,4.1296,4.1296,3.91,85,4.035,16827,3.989952,2025-09-09 17:17:00+00:00
1757438280000,4.1,4.15,4.045,14,4.15,2025,4.071175,2025-09-09 17:18:00+00:00
1757438340000,4.12,4.12,4.1,20,4.12,2751,4.110877,2025-09-09 17:19:00+00:00
1757438400000,4.1121,4.1121,4.1121,1,4.1121,380,4.1121,2025-09-09 17:20:00+00:00
1757438460000,4.1,4.13,4.07,13,4.1121,4630,4.098195,2025-09-09 17:21:00+00:00
1757438520000,4.1,4.1,4.1,3,4.1,232,4.1,2025-09-09 17:22:00+00:00
1757438580000,3.96,4.075,3.96,19,4.07,6478,4.024516,2025-09-09 17:23:00+00:00
1757438640000,3.935,3.935,3.93,3,3.93,296,3.9325,2025-09-09 17:24:00+00:00
1757438700000,3.8735,3.9399,3.8735,38,3.9339,10663,3.904904,2025-09-09 17:25:00+00:00
1757438760000,3.95,4.0,3.95,24,3.95,10487,3.991304,2025-09-09 17:26:00+00:00
1757438820000,4.025,4.05,4.0,13,4.0,3351,4.00894,2025-09-09 17:27:00+00:00
1757438880000,4.0,4.0494,4.0,9,4.0494,5897,4.026039,2025-09-09 17:28:00+00:00
1757439000000,4.02,4.02,3.89,22,3.9899,49339,3.991748,2025-09-09 17:30:00+00:00
1757439060000,4.0,4.05,3.985,62,4.0,49826,4.0184,2025-09-09 17:31:00+00:00
1757439120000,4.0,4.005,4.0,5,4.005,721,4.000775,2025-09-09 17:32:00+00:00
1757439180000,4.0,4.03,4.0,23,4.0,3897,4.014909,2025-09-09 17:33:00+00:00
1757439300000,4.0153,4.03,3.99,7,3.9961,2848,3.992872,2025-09-09 17:35:00+00:00
1757439360000,4.0,4.0,3.9865,24,3.99,18325,3.998816,2025-09-09 17:36:00+00:00
1757439420000,4.02,4.02,4.02,2,4.02,140,4.02,2025-09-09 17:37:00+00:00
1757439480000,4.0,4.02,4.0,7,4.02,725,4.011429,2025-09-09 17:38:00+00:00
1757439600000,4.0,4.02,4.0,3,4.02,2100,4.002381,2025-09-09 17:40:00+00:00
1757439720000,4.005,4.0099,4.0,4,4.0,416,4.003725,2025-09-09 17:42:00+00:00
1757439780000,4.005,4.01,4.0,19,4.0,6017,4.002258,2025-09-09 17:43:00+00:00
1757439840000,4.01,4.01,4.0,19,4.005,2426,4.005724,2025-09-09 17:44:00+00:00
1757439900000,4.0021,4.005,4.0021,3,4.005,204,4.00355,2025-09-09 17:45:00+00:00
